epoch,higuchi_fd,lyapunov_exponent,hurst_exponent
0,"[0.8833967350879333, 0.8834726598277773, 0.8833004632591659, 0.8841249201052626, 0.8885152782563742]","[-21.382987204108343, -21.03611868196051, -20.927241636195394, -20.875622448625776, -20.79446981239926]","[0.3047011406839742, 0.3067181133162508, 0.3056004385008378, 0.3014418790694499, 0.30898822377634894]"
1,"[0.8783652091232328, 0.8784686803285473, 0.8784023001115108, 0.878663328710255, 0.8799380442825575]","[-20.75097914022414, -20.42904999371775, -20.302081131044012, -20.28049426459583, -20.229588757518606]","[0.26938250039269807, 0.26114558342993627, 0.26543359330846555, 0.29469251422688836, 0.3060209609231526]"
2,"[0.8790388421805895, 0.8793777495539014, 0.8791104542591033, 0.8789093078952834, 0.8806162431885044]","[-21.20967311267456, -20.891750387622228, -20.763778846687984, -20.73201246451729, -20.66019667516828]","[0.5501597804289793, 0.5465967625734517, 0.5482493834606355, 0.5506424518738603, 0.561882628428382]"
3,"[0.8762834379493706, 0.8764667453092664, 0.876114345659964, 0.8744784299972779, 0.8785140834117728]","[-21.301329752316516, -20.97873778547338, -20.853430314069975, -20.840391798292533, -20.77806764646521]","[0.43358134422026967, 0.43230937285264454, 0.4333905343942361, 0.43883807642790623, 0.4349674267139897]"
4,"[0.8850769917605958, 0.884909483538408, 0.8848945118654667, 0.8842698225656855, 0.887129966178396]","[-20.996175579957605, -20.677190671111216, -20.54794569563998, -20.51387328246433, -20.47093754841826]","[0.31133032034303, 0.30508562905299086, 0.3101204169929791, 0.3383422709675188, 0.3684900919671657]"
5,"[0.8681545430143127, 0.8683109686178992, 0.8682665714234937, 0.8691068683314255, 0.8712107067379777]","[-20.81334269021897, -20.47997305352488, -20.357968982247545, -20.33795105895397, -20.34910980634828]","[0.3199324220171961, 0.3129243955670993, 0.3175548520885839, 0.3463622686852967, 0.36309025196177075]"
6,"[0.8749414667837259, 0.8747334960003341, 0.8747115964446259, 0.8746054888145778, 0.8802582883171117]","[-21.232676930694016, -20.876147247725388, -20.77836476475536, -20.824654850153784, -20.850132772094103]","[0.4016668634340501, 0.41698480365731916, 0.4010838157637003, 0.33530675063112203, 0.32340669257457116]"
7,"[0.8767161095877426, 0.8770668515965464, 0.8766071730443082, 0.874547687300994, 0.8758400578741271]","[-21.2083547635833, -20.876353144514916, -20.75869514797897, -20.769730372584945, -20.753565022170676]","[0.5036312812534031, 0.5152633101187803, 0.5169417690685275, 0.5488237002217008, 0.4484500332903102]"
8,"[0.876749324040847, 0.8765351579749358, 0.8763973535016187, 0.8752178542598834, 0.8800920719575527]","[-20.99821118524365, -20.66702048584182, -20.551408122246865, -20.586018118671333, -20.53812956201474]","[0.2789358224222985, 0.27775829878836394, 0.2771491776818837, 0.29958698345640045, 0.3128206595489582]"
9,"[0.8784866317845241, 0.8781999086012087, 0.8781904625988026, 0.8783041331169379, 0.8824303142902703]","[-21.26913718244341, -20.936624295509574, -20.815467936714686, -20.77958530218156, -20.743698370623868]","[0.3227538893901662, 0.32014952378573935, 0.32325154756826224, 0.35031870462633485, 0.34579573191605]"
10,"[0.8715577068103239, 0.8713286949600473, 0.8712712680290532, 0.8707610503159094, 0.8745400912086535]","[-21.080857227367932, -20.744655484728806, -20.62615491698504, -20.612700833847153, -20.60702056885407]","[0.40772156885904903, 0.40782699338444467, 0.419353420484965, 0.5246738392305484, 0.5081871847830114]"
11,"[0.8672483204206697, 0.8674457524487519, 0.8671518798696203, 0.8665786237254897, 0.8695923481819232]","[-21.018061288442702, -20.6902176556456, -20.571090245889994, -20.586758552847538, -20.544503328043824]","[0.45383835530242383, 0.4593170979985721, 0.45374494705202617, 0.4164490586712552, 0.414563514588784]"
12,"[0.8771569152706009, 0.8771705961023355, 0.8770405875788415, 0.8776573267935585, 0.8803922982671574]","[-20.901530859271908, -20.579923720778602, -20.450797976852943, -20.339746149543544, -20.28785367981844]","[0.5624163663361469, 0.5632492388524977, 0.5638260658342636, 0.6119946323213533, 0.599532694430526]"
13,"[0.8830652525784122, 0.8833808432920649, 0.8830123575909551, 0.8824590807191096, 0.8847306278296688]","[-21.336651330043964, -20.994519332352578, -20.878059596518042, -20.84099107732148, -20.882056517401836]","[0.19391297231347746, 0.1902845336891591, 0.19079946590560784, 0.18657189398229754, 0.20228529106923823]"
14,"[0.8704935246529079, 0.8704101932368418, 0.8702522994308579, 0.8693230226159594, 0.8732043173441632]","[-21.32892312161823, -20.99343585758155, -20.87208033216531, -20.830186072522288, -20.832426765391755]","[0.5580593275073171, 0.5415318308266023, 0.549104733447989, 0.5426025968498439, 0.6086489324881621]"
15,"[0.8610242944027793, 0.8596598543073077, 0.8601362430251891, 0.8603828092488675, 0.8694336481907846]","[-21.16710966934729, -20.83165418064072, -20.70902164382266, -20.66002899475944, -20.649120139320264]","[0.3844030610972625, 0.3807257053019683, 0.38178941880896783, 0.43277834236164914, 0.47977124442421826]"
16,"[0.8724254224960709, 0.8721015312213994, 0.8720929235517532, 0.8716297854338438, 0.8755572807044664]","[-21.270743045959264, -20.93357644424486, -20.81571039414335, -20.80663526253895, -20.799878684507153]","[0.32028462016815323, 0.32030249859546434, 0.3171522599340613, 0.2517784969158781, 0.2714046010129264]"
