mean,std,variance,skew,kurtosis,rms,zcr,delta_power,delta_relative_power,theta_power,theta_relative_power,alpha_power,alpha_relative_power,beta_power,beta_relative_power,gamma_power,gamma_relative_power,epoch
"[2.10029984e-07 2.40585161e-07 2.71782195e-07 3.96962680e-07
 4.03435704e-07]","[1.31930786e-05 1.56890029e-05 1.65696233e-05 1.70125440e-05
 1.77150952e-05]","[1.74057323e-10 2.46144812e-10 2.74552418e-10 2.89426654e-10
 3.13824600e-10]",[-0.20061524 -0.20606462 -0.19568562 -0.09435735 -0.06780449],[1.65880689 1.54726956 1.59604359 1.48705253 1.9065502 ],"[1.31947503e-05 1.56908474e-05 1.65718521e-05 1.70171747e-05
 1.77196885e-05]",[0.03255208 0.03307292 0.03307292 0.03151042 0.03105469],"[2.00389512e-11 2.80393160e-11 3.12338767e-11 3.50940017e-11
 4.33063533e-11]",[0.37864849 0.38206424 0.37684236 0.38376839 0.41136525],"[1.48948254e-11 2.07743141e-11 2.34169787e-11 2.63998854e-11
 2.91991381e-11]",[0.28144702 0.28307119 0.28253007 0.28869439 0.2773614 ],"[9.16531599e-12 1.26068885e-11 1.43384527e-11 1.53248843e-11
 1.81238252e-11]",[0.17318436 0.17178169 0.17299602 0.16758437 0.17215746],"[1.61990692e-11 2.21459545e-11 2.54110660e-11 2.76646790e-11
 2.98560039e-11]",[0.30609152 0.30176118 0.3065891  0.30252547 0.28360094],"[1.03151758e-12 1.42838238e-12 1.62824679e-12 1.72637551e-12
 1.71931277e-12]",[0.01949117 0.01946316 0.01964509 0.01887868 0.01633168],0
"[9.86676454e-08 1.15633676e-07 1.24253929e-07 1.32719081e-07
 1.30415144e-07]","[1.81087532e-05 2.12698933e-05 2.26654708e-05 2.29176956e-05
 2.35087575e-05]","[3.27926943e-10 4.52408363e-10 5.13723567e-10 5.25220771e-10
 5.52661681e-10]",[ 0.01875808  0.02145485  0.01502384 -0.04745842 -0.06457327],[0.6270444  0.60963375 0.6190029  0.65656707 0.71545787],"[1.81090220e-05 2.12702077e-05 2.26658114e-05 2.29180799e-05
 2.35091193e-05]",[0.0391276  0.03925781 0.03964844 0.04023438 0.04309896],"[3.48962956e-11 4.86525025e-11 5.49504209e-11 5.66980864e-11
 6.02183113e-11]",[0.33965445 0.34396744 0.34075968 0.33305564 0.33125082],"[2.16613766e-11 3.03297381e-11 3.41506534e-11 3.49726454e-11
 3.73141702e-11]",[0.21083564 0.21442766 0.21177573 0.20543615 0.20525898],"[1.74540138e-11 2.38477035e-11 2.73548350e-11 2.95896860e-11
 3.26140640e-11]",[0.16988432 0.16860044 0.16963337 0.1738156  0.17940449],"[3.84736268e-11 5.23966764e-11 6.02075444e-11 6.43554923e-11
 6.78673881e-11]",[0.37447352 0.3704383  0.37336026 0.37803674 0.3733271 ],"[2.41217119e-12 3.27774767e-12 3.77062766e-12 4.02695344e-12
 4.27071990e-12]",[0.02347827 0.02317329 0.02338249 0.02365511 0.02349251],1
"[-1.26074395e-07 -1.44450083e-07 -1.56810088e-07 -1.69714627e-07
 -1.85294716e-07]","[1.43840068e-05 1.68619034e-05 1.79768256e-05 1.82678155e-05
 1.89337335e-05]","[2.06899651e-10 2.84323787e-10 3.23166260e-10 3.33713083e-10
 3.58486266e-10]",[0.13252939 0.13222104 0.13774742 0.18673087 0.13711988],[2.47024692 2.35103415 2.40020644 2.32573707 2.6440513 ],"[1.43845593e-05 1.68625221e-05 1.79775095e-05 1.82686038e-05
 1.89346402e-05]",[0.04095052 0.04042969 0.04029948 0.04147135 0.03964844],"[2.65955058e-11 3.71385878e-11 4.17244958e-11 4.13905691e-11
 4.30956283e-11]",[0.42113262 0.424794   0.42105502 0.40513745 0.39706528],"[1.77330155e-11 2.48038866e-11 2.78827537e-11 2.78750114e-11
 2.98259194e-11]",[0.28079749 0.28370875 0.28137364 0.27284503 0.27480368],"[9.63049120e-12 1.32682527e-11 1.51053645e-11 1.59550648e-11
 1.80578836e-11]",[0.15249622 0.15176329 0.15243299 0.1561707  0.16637787],"[1.89943224e-11 2.59072119e-11 2.97733640e-11 3.21984437e-11
 3.40725209e-11]",[0.30076995 0.29632867 0.30045238 0.31516347 0.31393011],"[1.54453320e-12 2.10671341e-12 2.42031575e-12 2.59257278e-12
 2.67706545e-12]",[0.02445726 0.02409675 0.02442417 0.02537651 0.02466537],2
"[ 1.43513321e-09 -5.21865323e-09 -9.58319717e-11  2.57350527e-08
  6.02253370e-08]","[1.37295902e-05 1.61333805e-05 1.71763844e-05 1.72894961e-05
 1.78312650e-05]","[1.88501647e-10 2.60285966e-10 2.95028180e-10 2.98926674e-10
 3.17954013e-10]",[0.06964978 0.08273295 0.07439922 0.03891807 0.008367  ],[0.78948897 0.81636513 0.7935639  0.61267318 0.49136904],"[1.37295903e-05 1.61333813e-05 1.71763844e-05 1.72895152e-05
 1.78313668e-05]",[0.03268229 0.03372396 0.03333333 0.03333333 0.03203125],"[2.32015702e-11 3.27645704e-11 3.66393566e-11 3.59387285e-11
 3.65381777e-11]",[0.4729604  0.47462115 0.47302641 0.46417465 0.46145459],"[1.35777208e-11 1.93735121e-11 2.14810841e-11 2.06411422e-11
 2.16796406e-11]",[0.27677973 0.2806409  0.27732802 0.26659527 0.27380046],"[6.52191030e-12 9.20412900e-12 1.02866416e-11 1.01387601e-11
 1.08951033e-11]",[0.13294813 0.13332921 0.132804   0.13094941 0.13759842],"[1.27775352e-11 1.77268556e-11 2.01296443e-11 2.10496916e-11
 2.12940918e-11]",[0.26046807 0.25678776 0.25988047 0.27187198 0.26893121],"[1.23670570e-12 1.71271679e-12 1.95172987e-12 2.05538157e-12
 1.99296572e-12]",[0.02521005 0.02481008 0.02519749 0.02654674 0.02516992],3
"[-1.95741890e-07 -2.33575295e-07 -2.49038117e-07 -2.63792844e-07
 -2.35652602e-07]","[1.59937736e-05 1.87602608e-05 2.00122751e-05 2.03553609e-05
 2.07918145e-05]","[2.55800794e-10 3.51947387e-10 4.00491153e-10 4.14340717e-10
 4.32299552e-10]",[-0.02583754 -0.04261529 -0.03348663 -0.00670714  0.08684984],[2.66677245 2.55645272 2.63110214 2.81006195 3.20465462],"[1.59949714e-05 1.87617148e-05 2.00138245e-05 2.03570701e-05
 2.07931499e-05]",[0.03177083 0.03177083 0.03151042 0.03138021 0.03033854],"[2.48366106e-11 3.50533413e-11 3.91198960e-11 3.74530250e-11
 3.66499981e-11]",[0.42512416 0.42944021 0.42533891 0.40521872 0.39258895],"[1.37074925e-11 1.96481850e-11 2.17585782e-11 2.07343096e-11
 1.98301124e-11]",[0.23462888 0.24071088 0.2365745  0.22433249 0.21241701],"[8.36761939e-12 1.16088034e-11 1.31789730e-11 1.39157416e-11
 1.48232510e-11]",[0.14322716 0.14222002 0.14329103 0.15055977 0.15878431],"[1.85593822e-11 2.55040460e-11 2.91294867e-11 3.06702044e-11
 3.15909136e-11]",[0.31767788 0.31245132 0.31671618 0.33183277 0.33839684],"[1.32813588e-12 1.84763012e-12 2.10145864e-12 2.20781470e-12
 2.12536377e-12]",[0.02273348 0.02263541 0.02284853 0.0238872  0.02276656],4
"[3.52540006e-07 4.20142474e-07 4.44798687e-07 4.38424263e-07
 3.97316763e-07]","[1.75355189e-05 2.07165261e-05 2.20192984e-05 2.22388740e-05
 2.21133354e-05]","[3.07494423e-10 4.29174456e-10 4.84849504e-10 4.94567519e-10
 4.88999604e-10]",[-0.06159892 -0.06930125 -0.06582071 -0.06677296 -0.02595418],[0.54977145 0.55868371 0.5611056  0.65524489 0.6042127 ],"[1.75390623e-05 2.07207861e-05 2.20237905e-05 2.22431952e-05
 2.21169045e-05]",[0.03736979 0.03671875 0.03723958 0.03723958 0.03763021],"[3.20293961e-11 4.57754219e-11 5.06581880e-11 4.66493403e-11
 4.34374215e-11]",[0.41221023 0.41609771 0.41242372 0.39118055 0.37138835],"[1.78442783e-11 2.58946278e-11 2.83840366e-11 2.58711087e-11
 2.56228519e-11]",[0.22965135 0.23538167 0.23108308 0.21694357 0.21907444],"[1.10355439e-11 1.56493164e-11 1.75297915e-11 1.79496251e-11
 1.87852394e-11]",[0.14202466 0.14225199 0.14271536 0.15051754 0.1606131 ],"[2.59916038e-11 3.62383942e-11 4.09520294e-11 4.15320600e-11
 4.09575021e-11]",[0.33450537 0.32940631 0.33340293 0.34826932 0.35018513],"[2.26009957e-12 3.17072938e-12 3.56164666e-12 3.47992958e-12
 3.31177126e-12]",[0.02908691 0.02882187 0.02899645 0.02918114 0.02831552],5
"[-1.11851213e-07 -1.34858962e-07 -1.38856391e-07 -1.04735853e-07
 -8.90688380e-08]","[1.42255744e-05 1.69999179e-05 1.78541025e-05 1.74544535e-05
 1.72335607e-05]","[2.02366966e-10 2.88997209e-10 3.18768977e-10 3.04657947e-10
 2.96995614e-10]",[0.16093294 0.13586993 0.14924925 0.1977271  0.19476319],[0.93650187 1.04874794 0.95446226 0.73431842 0.8488316 ],"[1.42260141e-05 1.70004528e-05 1.78546425e-05 1.74547677e-05
 1.72337908e-05]",[0.03893229 0.03919271 0.03893229 0.03841146 0.03802083],"[2.34827716e-11 3.30203985e-11 3.66315339e-11 3.62435855e-11
 3.97088919e-11]",[0.40366239 0.40293022 0.39987465 0.39062542 0.40605939],"[1.53159933e-11 2.17984628e-11 2.41764038e-11 2.38299289e-11
 2.62525420e-11]",[0.26327771 0.26599496 0.26391281 0.25683375 0.26845602],"[8.83733725e-12 1.26371815e-11 1.40446486e-11 1.38932287e-11
 1.51901165e-11]",[0.1519114  0.15420475 0.15331323 0.14973817 0.1553327 ],"[1.82233061e-11 2.54790329e-11 2.88843323e-11 3.04271061e-11
 2.96503705e-11]",[0.31325362 0.31090698 0.31530517 0.32793668 0.3032019 ],"[1.62217963e-12 2.29928797e-12 2.59211812e-12 2.68517012e-12
 2.34624114e-12]",[0.02788482 0.02805698 0.0282959  0.02894017 0.02399244],6
"[-1.11291406e-07 -1.21771849e-07 -1.37604107e-07 -1.77855392e-07
 -2.18882349e-07]","[1.44279596e-05 1.70314122e-05 1.80655140e-05 1.79750670e-05
 1.81233673e-05]","[2.08166020e-10 2.90069003e-10 3.26362798e-10 3.23103033e-10
 3.28456443e-10]",[-0.00364782 -0.00550387 -0.01119895 -0.07177124 -0.0282173 ],[0.61260231 0.61026133 0.61649567 0.60439685 0.49074357],"[1.44283889e-05 1.70318476e-05 1.80660381e-05 1.79759469e-05
 1.81246890e-05]",[0.04264323 0.04238281 0.04290365 0.04433594 0.04407552],"[2.32446415e-11 3.26880003e-11 3.64529546e-11 3.52427628e-11
 3.62028193e-11]",[0.30764639 0.31088131 0.3071773  0.29358004 0.29278917],"[2.16802611e-11 3.05369236e-11 3.40185549e-11 3.23126379e-11
 3.36872741e-11]",[0.28694158 0.29042336 0.2866634  0.26917145 0.27244477],"[1.51940713e-11 2.12184256e-11 2.39277942e-11 2.41508792e-11
 2.48734942e-11]",[0.20109586 0.20179919 0.20163181 0.20118219 0.20116361],"[2.72059529e-11 3.72906535e-11 4.27246723e-11 4.56551200e-11
 4.69601298e-11]",[0.36007496 0.35465514 0.36002705 0.38031729 0.37978858],"[2.50643525e-12 3.41624887e-12 3.92856960e-12 4.23597524e-12
 4.39401848e-12]",[0.03317305 0.03249045 0.03310479 0.03528661 0.03553649],7
"[8.36480582e-08 9.54658469e-08 1.04220603e-07 1.16980929e-07
 1.28660985e-07]","[1.60074455e-05 1.88895215e-05 2.00153903e-05 1.96826485e-05
 2.01548622e-05]","[2.56238311e-10 3.56814022e-10 4.00615849e-10 3.87406653e-10
 4.06218469e-10]",[0.18009381 0.18523321 0.17893253 0.12692134 0.06420803],[2.15827338 2.07752765 2.09849692 1.86458728 2.0301871 ],"[1.60076640e-05 1.88897627e-05 2.00156616e-05 1.96829961e-05
 2.01552728e-05]",[0.04016927 0.04082031 0.04095052 0.04355469 0.0421875 ],"[3.50319995e-11 4.94202221e-11 5.49841871e-11 5.17241676e-11
 5.31102004e-11]",[0.3833336  0.38757222 0.38314163 0.36179008 0.35539351],"[2.50236500e-11 3.57282739e-11 3.93753274e-11 3.60028861e-11
 3.74944469e-11]",[0.27381839 0.28019474 0.27437574 0.25182594 0.25089875],"[1.41770079e-11 1.96306677e-11 2.22696862e-11 2.33299427e-11
 2.60819641e-11]",[0.15513027 0.15395118 0.15517996 0.16318372 0.1745307 ],"[3.01327050e-11 4.14123315e-11 4.73469078e-11 5.02553850e-11
 5.17542606e-11]",[0.32972363 0.32477129 0.32992343 0.35151653 0.34632007],"[2.65318024e-12 3.68719399e-12 4.20600861e-12 4.50366332e-12
 4.24600360e-12]",[0.02903212 0.02891638 0.02930837 0.03150134 0.02841266],8
"[2.29755536e-08 2.79740146e-08 3.11250360e-08 4.77233448e-08
 3.82807404e-08]","[1.39981880e-05 1.65291984e-05 1.75627021e-05 1.78841303e-05
 1.82036766e-05]","[1.95949268e-10 2.73214400e-10 3.08448505e-10 3.19842118e-10
 3.31373841e-10]",[0.0469825  0.05022793 0.04817779 0.04769128 0.04017385],[0.81105835 0.79429622 0.80278426 0.83977771 0.75955858],"[1.39982069e-05 1.65292221e-05 1.75627297e-05 1.78841940e-05
 1.82037168e-05]",[0.04095052 0.04147135 0.04121094 0.04199219 0.03958333],"[2.38397512e-11 3.33719867e-11 3.73847469e-11 3.75397033e-11
 4.10947482e-11]",[0.31421596 0.31706067 0.31390181 0.30395222 0.3090944 ],"[2.07358779e-11 2.91305472e-11 3.23845283e-11 3.09223859e-11
 3.63573721e-11]",[0.27330587 0.27676359 0.27191737 0.25037299 0.2734622 ],"[1.48916655e-11 2.04211785e-11 2.33232093e-11 2.50529623e-11
 2.83114117e-11]",[0.19627718 0.19401759 0.19583382 0.20284933 0.21294446],"[2.72103774e-11 3.75110701e-11 4.28702252e-11 4.59824505e-11
 4.65732462e-11]",[0.35864196 0.35638528 0.35996075 0.37231162 0.35030096],"[2.30252406e-12 3.20791127e-12 3.65088459e-12 3.87613380e-12
 3.65080622e-12]",[0.03034804 0.03047773 0.03065473 0.03138436 0.02745956],9
