epoch,hjorth_activity,hjorth_mobility,hjorth_complexity,perm_entropy,approx_entropy,sample_entropy,shannon_entropy
0,"[1.74057323e-10 2.46144812e-10 2.74552418e-10 2.89426654e-10
 3.13824600e-10]",[0.11761158 0.11590043 0.11743833 0.11909909 0.11881803],[1.87756719 1.98696655 1.98983865 1.96953189 1.96056498],[0.57947829 0.57857922 0.57925354 0.57801053 0.57256675],[0.43158378 0.42891956 0.43187935 0.43225196 0.42195363],[0.32907745 0.32790901 0.32989328 0.32896334 0.31982731],[3.61244751 3.60500329 3.61666717 3.59569481 3.5165589 ]
1,"[3.27926943e-10 4.52408363e-10 5.13723567e-10 5.25220771e-10
 5.52661681e-10]",[0.13152311 0.13081123 0.13157255 0.13460978 0.13471626],[1.88918101 1.93754485 1.94131138 1.90315598 1.90221098],[0.58662173 0.58618634 0.58664864 0.5850445  0.58208864],[0.50583871 0.50558614 0.50647033 0.51169279 0.50936172],[0.39592003 0.3958342  0.39662873 0.40106542 0.39608773],[3.72426917 3.71683283 3.72231368 3.73223145 3.72810513]
2,"[2.06899651e-10 2.84323787e-10 3.23166260e-10 3.33713083e-10
 3.58486266e-10]",[0.11997378 0.11973144 0.12030051 0.12258867 0.12155528],[1.96217824 2.03414321 2.05199721 2.0284049  2.0417925 ],[0.58396558 0.58062649 0.5824127  0.58174303 0.58151939],[0.46688903 0.4672973  0.46839723 0.47302937 0.46884062],[0.36190906 0.36375661 0.3634322  0.36553644 0.36231035],[3.55414803 3.54366713 3.554087   3.5940262  3.60607652]
3,"[1.88501647e-10 2.60285966e-10 2.95028180e-10 2.98926674e-10
 3.17954013e-10]",[0.10625536 0.10671799 0.10675214 0.10807119 0.10488095],[2.1445897  2.2364131  2.27179564 2.26064831 2.30277292],[0.58489703 0.58425631 0.58489721 0.58257172 0.58632855],[0.44469948 0.4467888  0.44666771 0.4514079  0.44027572],[0.36395517 0.36709864 0.3657273  0.36595572 0.3528902 ],[3.42240579 3.41574485 3.42195958 3.45170837 3.45380127]
4,"[2.55800794e-10 3.51947387e-10 4.00491153e-10 4.14340717e-10
 4.32299552e-10]",[0.10333877 0.10353929 0.10364509 0.10449834 0.10333367],[2.19605635 2.27794257 2.30590332 2.3009366  2.31257704],[0.57959242 0.58049469 0.57913688 0.58066494 0.57871538],[0.38643311 0.38946368 0.38832008 0.38829426 0.37887329],[0.27043701 0.27424922 0.27253192 0.27210453 0.26123646],[3.4951338  3.4875066  3.49601214 3.53824987 3.55035239]
5,"[3.07494423e-10 4.29174456e-10 4.84849504e-10 4.94567519e-10
 4.88999604e-10]",[0.11837518 0.11852428 0.11842566 0.11752526 0.11704972],[2.14722327 2.20289335 2.22290881 2.23380254 2.22814305],[0.58772774 0.58791036 0.58772865 0.58774309 0.58750157],[0.47382146 0.47434972 0.47359311 0.4709198  0.46773311],[0.37859661 0.37978108 0.3789911  0.37543892 0.37243424],[3.59414426 3.58558593 3.59347901 3.63554819 3.67183416]
6,"[2.02366966e-10 2.88997209e-10 3.18768977e-10 3.04657947e-10
 2.96995614e-10]",[0.12225463 0.12136526 0.12282377 0.12798867 0.12708079],[1.95607246 2.04714041 2.04502191 1.96744343 1.93312557],[0.58326349 0.5830624  0.58371503 0.58441783 0.58277776],[0.49186571 0.48960227 0.49355644 0.50685086 0.50235422],[0.4039008  0.40161353 0.40519254 0.41718233 0.41353833],[3.61974428 3.62074449 3.62924811 3.64980313 3.594319  ]
7,"[2.08166020e-10 2.90069003e-10 3.26362798e-10 3.23103033e-10
 3.28456443e-10]",[0.14648136 0.14546345 0.1467169  0.15200442 0.15310472],[1.70569676 1.75893994 1.76206566 1.71688352 1.70726063],[0.58379477 0.58385545 0.58381624 0.58527622 0.58346265],[0.54419719 0.54224282 0.54430817 0.55385666 0.55410107],[0.43255922 0.4325004  0.43366814 0.44630894 0.44689281],[3.81317424 3.8044454  3.8136978  3.84651825 3.84689171]
8,"[2.56238311e-10 3.56814022e-10 4.00615849e-10 3.87406653e-10
 4.06218469e-10]",[0.13389062 0.13351174 0.13452496 0.14058671 0.13790077],[1.85273193 1.90785608 1.90989391 1.83932257 1.8452235 ],[0.58564787 0.58453075 0.58475036 0.58496695 0.58279096],[0.50368233 0.5050123  0.50603131 0.5177209  0.50755063],[0.39288852 0.39497569 0.39532666 0.40704248 0.39452325],[3.65652665 3.64768093 3.65850098 3.70791012 3.70101756]
9,"[1.95949268e-10 2.73214400e-10 3.08448505e-10 3.19842118e-10
 3.31373841e-10]",[0.14821544 0.14775635 0.14849655 0.15036632 0.14810361],[1.66317475 1.71540361 1.72200751 1.70781607 1.7094373 ],[0.58490344 0.58552357 0.5846293  0.5848171  0.58260999],[0.54021941 0.54034571 0.54071683 0.54081603 0.52921938],[0.43966201 0.44282727 0.441852   0.43901844 0.41889059],[3.78356432 3.77937137 3.78595799 3.80621563 3.77697391]
10,"[2.37331006e-10 3.32112799e-10 3.73987416e-10 3.79457292e-10
 3.81447656e-10]",[0.16364472 0.16292268 0.16405314 0.16866969 0.16677131],[1.57021923 1.61000231 1.6089606  1.57342715 1.56991521],[0.58869733 0.58787006 0.58870688 0.58935836 0.5860305 ],[0.57145437 0.57189739 0.57252031 0.57819147 0.56954263],[0.46798603 0.47009128 0.46993374 0.4740829  0.4588012 ],[3.91203232 3.90757719 3.91384188 3.93655917 3.92090356]
11,"[2.51227888e-10 3.48680192e-10 3.92851985e-10 3.87126094e-10
 4.03650908e-10]",[0.13426843 0.13407254 0.13493007 0.14027354 0.13793893],[1.89304025 1.94416794 1.94987042 1.88762011 1.90537013],[0.59358518 0.59268334 0.59314292 0.59211445 0.59009335],[0.520546   0.5218511  0.52287119 0.53317361 0.52401514],[0.426317   0.42789658 0.42865972 0.44133485 0.43270872],[3.70696768 3.7064957  3.71235324 3.7443283  3.71071047]
12,"[2.81409522e-10 3.88161837e-10 4.41676835e-10 4.93368429e-10
 5.19512825e-10]",[0.11684496 0.11692671 0.11712427 0.1145648  0.11294929],[2.09409685 2.15426405 2.17272931 2.22765328 2.24287866],[0.58495069 0.58463641 0.58541011 0.58207917 0.58115985],[0.45144991 0.45509704 0.45363425 0.43976364 0.42595568],[0.35849898 0.36263748 0.36056301 0.34791447 0.33211656],[3.54586489 3.54445019 3.54706584 3.51048444 3.50188323]
13,"[1.82338989e-10 2.56675292e-10 2.88420340e-10 2.99413120e-10
 2.87535447e-10]",[0.12374918 0.12266676 0.12354225 0.12486235 0.12882656],[1.85744839 1.94413973 1.95681179 1.9505805  1.87942698],[0.57916817 0.57937796 0.57893672 0.57823338 0.57700286],[0.48724397 0.48544662 0.48662502 0.48919564 0.49890978],[0.38434615 0.3836862  0.38433698 0.38390811 0.39281183],[3.59326024 3.57745131 3.58965023 3.62224232 3.67540655]
14,"[1.85365219e-10 2.59211493e-10 2.92712375e-10 3.05372020e-10
 3.04600191e-10]",[0.16868388 0.16803454 0.16892005 0.17086425 0.16970725],[1.52380657 1.56607378 1.56957736 1.56032372 1.55311025],[0.58489399 0.58421052 0.58466436 0.58563506 0.58541637],[0.56010814 0.56102012 0.56133484 0.56188951 0.55856846],[0.42902695 0.43030438 0.43025336 0.43181142 0.42589528],[3.93085355 3.92592738 3.93086232 3.94617659 3.93771658]
15,"[2.18164360e-10 3.05185992e-10 3.45010761e-10 3.62462375e-10
 3.65646278e-10]",[0.17312732 0.17422711 0.17429949 0.17550818 0.16585313],[1.54009433 1.56846543 1.57382993 1.56497867 1.60156726],[0.59359282 0.5948803  0.59418278 0.59331848 0.58741851],[0.58646665 0.58943532 0.58834865 0.58917095 0.57140287],[0.48910387 0.49299846 0.49165453 0.48958004 0.46397107],[3.94870856 3.95031735 3.95235791 3.96523498 3.93081829]
