epoch,stft_mean_power,wavelet_mean_power
0,"[2.566364829402855e-07, 3.052209650494971e-07, 3.2281890018333214e-07, 3.3264891464157127e-07, 3.3976152502131706e-07]","[1.2472735831793965e-05, 1.4730180848900555e-05, 1.5659623983778778e-05, 1.6371426459214425e-05, 1.7086266558454304e-05]"
1,"[3.7282867782352387e-07, 4.3831556197930176e-07, 4.671024829491263e-07, 4.7495982473237847e-07, 4.851046773625636e-07]","[1.6066199474340462e-05, 1.8963626072883384e-05, 2.016831263336748e-05, 2.062443620672349e-05, 2.135516686064043e-05]"
2,"[2.8713933520643875e-07, 3.372198084741178e-07, 3.595697184347999e-07, 3.666627264801889e-07, 3.7894415147594596e-07]","[1.3842272641191833e-05, 1.6331431211366514e-05, 1.7368726296316424e-05, 1.7757182844478165e-05, 1.8740994880114028e-05]"
3,"[2.709336714161051e-07, 3.194371651360693e-07, 3.3963080230988243e-07, 3.424233330923414e-07, 3.4982675073480084e-07]","[1.220600788349602e-05, 1.455676823007389e-05, 1.5346919447391523e-05, 1.5144712289462141e-05, 1.561549035784796e-05]"
4,"[2.876881141943189e-07, 3.395741858300697e-07, 3.6113653520231524e-07, 3.663935165794915e-07, 3.674920326467426e-07]","[1.2319994210129365e-05, 1.4726283676844596e-05, 1.552411602868164e-05, 1.5311773631429717e-05, 1.5137875461426142e-05]"
5,"[3.5259908878425557e-07, 4.1748351346414223e-07, 4.4286846538982906e-07, 4.4385583507538623e-07, 4.435045647740099e-07]","[1.4697562387448876e-05, 1.7628761962241828e-05, 1.8530976195396373e-05, 1.8146461786226393e-05, 1.847536342067971e-05]"
6,"[2.957047640383357e-07, 3.5113785634580624e-07, 3.7140687484782223e-07, 3.7287635843648996e-07, 3.706115090851269e-07]","[1.3597465941796853e-05, 1.622820945906145e-05, 1.7121315100178013e-05, 1.7078011112908043e-05, 1.763001709813932e-05]"
7,"[3.249167800252629e-07, 3.8299767984643714e-07, 4.0712329863487465e-07, 4.0887458297662786e-07, 4.1479422174494497e-07]","[1.6982375864225768e-05, 2.0138648275183924e-05, 2.1280849655666827e-05, 2.0874163097218193e-05, 2.1417371678640493e-05]"
8,"[3.3380851613898525e-07, 3.9551318456708955e-07, 4.186471459436507e-07, 4.155902158227372e-07, 4.201715837199958e-07]","[1.681585932049554e-05, 2.0029228390216218e-05, 2.1070373538509796e-05, 2.0287365793878454e-05, 2.0889565555774964e-05]"
9,"[3.155234133392401e-07, 3.725934865003532e-07, 3.959920707352353e-07, 4.0288155278565994e-07, 4.0940794248166207e-07]","[1.623130276692215e-05, 1.9236989150544506e-05, 2.0297643387267022e-05, 1.9790213076423972e-05, 2.116743100669047e-05]"
10,"[3.508199548374445e-07, 4.1510839540527574e-07, 4.407112023758819e-07, 4.4442174537223745e-07, 4.435357757461749e-07]","[1.6874898888949058e-05, 2.002504989584511e-05, 2.112893811420884e-05, 2.057945126317494e-05, 2.151240823708246e-05]"
11,"[3.3610976516525703e-07, 3.9618174670696967e-07, 4.20985247358436e-07, 4.2428343155706926e-07, 4.3446551548182763e-07]","[1.4887877894046202e-05, 1.7746347352309892e-05, 1.868222767936117e-05, 1.8297569704965465e-05, 1.8957063540886113e-05]"
12,"[3.3093594959152005e-07, 3.906919944123518e-07, 4.1524365972968266e-07, 4.2560410170600837e-07, 4.309296084112211e-07]","[1.4200326334432958e-05, 1.6867311521198695e-05, 1.7835411012301916e-05, 1.8101450691585602e-05, 1.9175601557903823e-05]"
13,"[2.760384208324442e-07, 3.2681890407730426e-07, 3.468390389237366e-07, 3.544771932758547e-07, 3.5692556878468997e-07]","[1.3129225892547414e-05, 1.5604715526430537e-05, 1.649044700055963e-05, 1.648789866053089e-05, 1.7320263750072452e-05]"
14,"[3.029505033226408e-07, 3.5838777606154256e-07, 3.808833226225017e-07, 3.889488519618563e-07, 3.88710818784849e-07]","[1.5009277684985837e-05, 1.779296620826178e-05, 1.8867397230281248e-05, 1.9033229403301696e-05, 1.9558602021106216e-05]"
15,"[3.3918051890739053e-07, 4.0203775463084094e-07, 4.270888980076421e-07, 4.356864464047575e-07, 4.3209643413604015e-07]","[1.6209713559099517e-05, 1.930499376078928e-05, 2.0419987384327876e-05, 2.0451074500384416e-05, 2.086374028462563e-05]"
16,"[3.195623350580677e-07, 3.7823247331096797e-07, 4.0175144140464674e-07, 4.071501939406625e-07, 4.059857045049097e-07]","[1.4924393000092023e-05, 1.7681769992839094e-05, 1.875461214917764e-05, 1.894520514006429e-05, 1.961483536149533e-05]"
17,"[2.8055860171360104e-07, 3.322707255914221e-07, 3.5060477823312596e-07, 3.557553999669687e-07, 3.509338594682393e-07]","[1.3175099933330232e-05, 1.5635319605660742e-05, 1.6384182981033528e-05, 1.6424261950765438e-05, 1.6558769739551954e-05]"
18,"[2.218922122460534e-07, 2.639966645613092e-07, 2.790718064303523e-07, 2.7707291056292656e-07, 2.734139038797906e-07]","[1.1781574705630964e-05, 1.4080859156704643e-05, 1.4827857400742607e-05, 1.4554063066307966e-05, 1.4835911553883657e-05]"
19,"[2.2380459669581856e-07, 2.66034649429475e-07, 2.8093342664119076e-07, 2.759778035750914e-07, 2.740986922944085e-07]","[1.2164451562376468e-05, 1.453275960387339e-05, 1.5305387904018737e-05, 1.4953874410396287e-05, 1.4864830176530012e-05]"
20,"[2.1825226319239905e-07, 2.540719160034763e-07, 2.73012672599684e-07, 2.9755795230019537e-07, 3.286986289883668e-07]","[1.2148377697724011e-05, 1.4505298697818704e-05, 1.5280682800593202e-05, 1.4981605346025222e-05, 1.5347664076064345e-05]"
21,"[1.8689365098257077e-07, 2.2430854532748903e-07, 2.3618774775629693e-07, 2.3656685011121494e-07, 2.3538832463497497e-07]","[1.1273008056281913e-05, 1.3567834990508425e-05, 1.4236217031708993e-05, 1.3929520280899936e-05, 1.4062256091690971e-05]"
22,"[1.8490310767424766e-07, 2.2147312786637992e-07, 2.335863057661001e-07, 2.3712571364767773e-07, 2.3769686805956726e-07]","[1.1541244799401851e-05, 1.3910785848376038e-05, 1.4599666759777263e-05, 1.4438129434773058e-05, 1.4471194723973581e-05]"
23,"[2.428290118981918e-07, 2.892571603194508e-07, 3.0609971313084635e-07, 3.140570007984159e-07, 3.172294605140948e-07]","[1.2450404564585828e-05, 1.4962563559489069e-05, 1.5683942862534842e-05, 1.520938385635998e-05, 1.5757911922724388e-05]"
24,"[3.294691584280677e-07, 3.910291822993292e-07, 4.156012331936406e-07, 4.31648160525908e-07, 4.259677979219434e-07]","[1.5770590565936414e-05, 1.8749353322474444e-05, 1.9857571591121e-05, 2.005967640586207e-05, 2.0249558865689182e-05]"
25,"[3.0403537729615186e-07, 3.6164194714765227e-07, 3.832391004449206e-07, 3.8907161796479924e-07, 3.8774632644155e-07]","[1.4812976785088784e-05, 1.762997483496252e-05, 1.864728686576587e-05, 1.8735817643338306e-05, 1.9280228074175558e-05]"
26,"[3.2983647126963854e-07, 3.925120603425164e-07, 4.153604445364759e-07, 4.163761651110287e-07, 4.111682690297075e-07]","[1.5673487819937284e-05, 1.872987423743158e-05, 1.975322120356335e-05, 1.9579859879301287e-05, 2.0164952938047277e-05]"
27,"[2.6083928455028146e-07, 3.114422520939271e-07, 3.3014718445820086e-07, 3.4131570602415063e-07, 3.319922826189542e-07]","[1.3549870029661866e-05, 1.6128913941346657e-05, 1.704195475734725e-05, 1.7090526023852e-05, 1.8020516248378837e-05]"
28,"[2.4759810388793587e-07, 2.943296137670556e-07, 3.127785132244546e-07, 3.252121816373145e-07, 3.193136870535487e-07]","[1.1677595046576037e-05, 1.3961225238259012e-05, 1.4725047737809754e-05, 1.4717383013932297e-05, 1.5032600411550049e-05]"
29,"[3.5457825500074265e-07, 4.2026306879317207e-07, 4.467496892897226e-07, 4.6695492808486044e-07, 4.6137424856929647e-07]","[1.4910320319170234e-05, 1.775879318098061e-05, 1.8815793936546347e-05, 1.946500147098336e-05, 1.989573167795098e-05]"
30,"[3.7268234410235806e-07, 4.4146235982445737e-07, 4.687737220450968e-07, 4.781773750774965e-07, 4.737767317001337e-07]","[1.5235987483609013e-05, 1.8107815378986465e-05, 1.919573538461837e-05, 1.991917202603482e-05, 2.04691941336168e-05]"
31,"[4.029450638040484e-07, 4.7620274487034985e-07, 5.073698479450495e-07, 5.290510538892017e-07, 5.250510583339726e-07]","[1.622972483051655e-05, 1.9290377674513364e-05, 2.046751753534952e-05, 2.1011973526986584e-05, 2.1129960037073527e-05]"
32,"[2.894227472444433e-07, 3.4223618224005464e-07, 3.654693660278587e-07, 3.8855554926533644e-07, 3.853280599448456e-07]","[1.3585158266437432e-05, 1.6127554222232066e-05, 1.710219910183641e-05, 1.7471665543925912e-05, 1.801768991175219e-05]"
