epoch,stft_mean_power,wavelet_mean_power
0,"[6.171779171503707e-08, 1.2385310082481433e-07, 1.8591626289622767e-07, 2.014240508252786e-07, 2.2603856919007314e-07]","[3.639371895455738e-06, 7.5795635504167245e-06, 1.1580190007568806e-05, 1.235402060282749e-05, 1.3586441538834146e-05]"
1,"[6.75497959684717e-08, 1.4049695092693557e-07, 2.1552168351275542e-07, 2.3857810539273e-07, 2.4871703415186566e-07]","[4.488683561808678e-06, 9.692785458929756e-06, 1.526730049281381e-05, 1.6942421254740314e-05, 1.7007854716974804e-05]"
2,"[6.81933170167105e-08, 1.3696736094443617e-07, 2.1112882602434663e-07, 2.48882436966277e-07, 2.5817702596512354e-07]","[4.648088494573068e-06, 9.450876422816595e-06, 1.4891239178052637e-05, 1.797996276075272e-05, 1.8892159718785494e-05]"
3,"[7.139064783398005e-08, 1.3944680116515373e-07, 2.0815242331690837e-07, 2.452857355355989e-07, 2.809886952883927e-07]","[4.358820213329888e-06, 8.744026352655362e-06, 1.3313843156684025e-05, 1.5463249153567584e-05, 1.7301068835504834e-05]"
4,"[6.366037938801462e-08, 1.2739672929122754e-07, 1.9219269158912433e-07, 2.1791728483288054e-07, 2.562451925688005e-07]","[4.53063209271356e-06, 9.213136233499646e-06, 1.414627918835478e-05, 1.6181819988180664e-05, 1.907525107827109e-05]"
5,"[6.157594224349146e-08, 1.2365776960757694e-07, 1.8775471254206913e-07, 2.2056918441745804e-07, 2.3708344383220235e-07]","[4.491291950023262e-06, 9.132642976034816e-06, 1.398956885768712e-05, 1.6404809247720224e-05, 1.7691977005638224e-05]"
6,"[5.2673665151222395e-08, 1.0909766615129726e-07, 1.6028317773188934e-07, 1.6572256730535908e-07, 1.6398798923760872e-07]","[3.43901920841166e-06, 7.050997166537834e-06, 1.0461754428689308e-05, 1.148295919539328e-05, 1.2182250590072274e-05]"
7,"[5.839397932904874e-08, 1.1958511977829006e-07, 1.7539575690848098e-07, 1.802222657934783e-07, 1.8124167127338478e-07]","[4.31009064300163e-06, 8.817926263149096e-06, 1.2898591535599982e-05, 1.3148699638995334e-05, 1.378778630443122e-05]"
8,"[5.929903672773794e-08, 1.1894791271718429e-07, 1.7352857969528075e-07, 1.805051590205225e-07, 1.9251512687329394e-07]","[4.43279239147068e-06, 8.678238501649605e-06, 1.2708853018280844e-05, 1.3757747096994853e-05, 1.5563977194768734e-05]"
9,"[7.062689619430992e-08, 1.47591093264224e-07, 2.172205625861227e-07, 2.124215406080182e-07, 2.083871267028839e-07]","[4.829393963192339e-06, 1.00558515899273e-05, 1.4971203718469158e-05, 1.5168002177022632e-05, 1.5478024888379403e-05]"
10,"[7.081128131935496e-08, 1.4562052965594948e-07, 2.1421097246243599e-07, 2.1940561539708712e-07, 2.32140692858467e-07]","[4.90096932806185e-06, 9.698561952421905e-06, 1.4219967936425914e-05, 1.5342213465726927e-05, 1.7635320375576735e-05]"
11,"[8.595164083225089e-08, 1.8092278001602891e-07, 2.6480890419024984e-07, 2.522965238456386e-07, 2.3634441934535166e-07]","[6.442231900141229e-06, 1.3587038945209024e-05, 2.0021232940034412e-05, 1.9376830799693515e-05, 1.877808439257592e-05]"
12,"[7.913210791817863e-08, 1.6554108855756663e-07, 2.42479042423888e-07, 2.3804631844809314e-07, 2.2989625512117932e-07]","[5.392861005120663e-06, 1.1110263050707344e-05, 1.6372743734225175e-05, 1.6902403748090752e-05, 1.7847986356359745e-05]"
13,"[7.492515995736599e-08, 1.5229029573793696e-07, 2.2359883829244306e-07, 2.341869109633148e-07, 2.541194576874702e-07]","[5.641599104932258e-06, 1.0883344227154665e-05, 1.585641133430393e-05, 1.767174774227278e-05, 2.1869744301828995e-05]"
14,"[8.340630147273137e-08, 1.776413675544685e-07, 2.5952023171355773e-07, 2.459737878832317e-07, 2.0703325456082832e-07]","[5.724645181303681e-06, 1.260194581351841e-05, 1.871446419275033e-05, 1.7697297832133756e-05, 1.4309524440246169e-05]"
15,"[6.349007008922134e-08, 1.305112936138094e-07, 1.9003657307517082e-07, 1.9006359781202825e-07, 1.8945358139705137e-07]","[4.470683041666889e-06, 8.93990888062731e-06, 1.2921166199695713e-05, 1.2923457611809695e-05, 1.406399028393864e-05]"
16,"[6.499915348993913e-08, 1.3419891869750023e-07, 1.9589805472200785e-07, 1.9179564426620436e-07, 1.8461985890545605e-07]","[5.201753665662184e-06, 1.0597032588095034e-05, 1.5064662070864061e-05, 1.3515765360725485e-05, 1.200087436113152e-05]"
17,"[5.794692801591091e-08, 1.1699976219395843e-07, 1.6785837052653337e-07, 1.630718011344875e-07, 1.6000930184007814e-07]","[3.905918560185314e-06, 7.896724545619047e-06, 1.1295626250864932e-05, 1.0932812108344727e-05, 1.0584849370366528e-05]"
18,"[5.8844981762508415e-08, 1.1681747596225528e-07, 1.6498825075627906e-07, 1.5354222643885334e-07, 1.4802512044769396e-07]","[3.8158225159072235e-06, 7.390780469558122e-06, 1.0319174948895198e-05, 9.797711578333133e-06, 9.749584089676219e-06]"
19,"[5.8701932114069434e-08, 1.1712841958796005e-07, 1.6692505732814436e-07, 1.6167935821070824e-07, 1.6524889183358993e-07]","[3.988531755302142e-06, 8.013895159044841e-06, 1.1490420144190756e-05, 1.1298683841482257e-05, 1.1233829660836491e-05]"
20,"[6.120324326754108e-08, 1.224870098230649e-07, 1.7441769505677577e-07, 1.666220686088027e-07, 1.7243598435242605e-07]","[3.917789890723541e-06, 7.83598034108203e-06, 1.1202792075117611e-05, 1.102433388213172e-05, 1.1549071391889417e-05]"
21,"[5.217797660489002e-08, 1.0524240921966475e-07, 1.5135567036885812e-07, 1.4924764702182712e-07, 1.5098337853360576e-07]","[3.7895631734883342e-06, 7.608645352011887e-06, 1.091591987846139e-05, 1.0804838544034702e-05, 1.0764825721933082e-05]"
22,"[6.110266695281997e-08, 1.2176115825253257e-07, 1.7378670863810768e-07, 1.669941986941562e-07, 1.700907777738146e-07]","[3.942158417842248e-06, 7.77288477608565e-06, 1.1121903408642527e-05, 1.0961877553088931e-05, 1.161191147772942e-05]"
23,"[6.201744186288534e-08, 1.2361098634594608e-07, 1.793893994068684e-07, 1.8453218858337385e-07, 2.0064509420635737e-07]","[4.260807489293729e-06, 8.549971406191704e-06, 1.2486077005105872e-05, 1.2647996443763608e-05, 1.412699007539587e-05]"
24,"[5.68236780163341e-08, 1.1205646211799691e-07, 1.6296215301709278e-07, 1.7140853622891005e-07, 1.878331209324416e-07]","[3.8601825218128005e-06, 7.6080924132576365e-06, 1.1124596197712709e-05, 1.1804933922411922e-05, 1.3213326387548159e-05]"
25,"[6.159004667074364e-08, 1.2292292129352656e-07, 1.7926172540916124e-07, 1.854579525714816e-07, 2.022975852753636e-07]","[3.7924706459822637e-06, 7.576279644364654e-06, 1.1292123212767883e-05, 1.2466109077391952e-05, 1.4133546958650506e-05]"
26,"[5.0530443880561366e-08, 1.0052038915950402e-07, 1.440069922498234e-07, 1.4342783536274034e-07, 1.4963543615679323e-07]","[3.6071502914359697e-06, 7.210741604915832e-06, 1.038374850300661e-05, 1.0391182530336131e-05, 1.0485560994272336e-05]"
27,"[6.39003997027713e-08, 1.2738089337632258e-07, 1.8351901288405367e-07, 1.8234897181224212e-07, 1.9386319979744928e-07]","[4.82387095380036e-06, 9.677736388652495e-06, 1.390140277739709e-05, 1.3438908875440404e-05, 1.3878665772080195e-05]"
28,"[5.810662353902329e-08, 1.1596537210367653e-07, 1.6823839663714386e-07, 1.629210619018974e-07, 1.7226126435097193e-07]","[4.146088462521561e-06, 8.36976509233744e-06, 1.2206313279428415e-05, 1.1468090379086572e-05, 1.1938315011293927e-05]"
