epoch,hjorth_activity,hjorth_mobility,hjorth_complexity,perm_entropy,approx_entropy,sample_entropy,shannon_entropy
0,"[8.30794169e-12 3.43664211e-11 8.02993256e-11 1.03125303e-10
 1.30526245e-10]",[0.12999745 0.13224444 0.12969215 0.12297318 0.1271752 ],[0.66952868 1.0940594  1.31374694 1.27382677 1.23507845],[0.56685238 0.56528027 0.55756613 0.54694541 0.53900872],[0.53974296 0.53198479 0.5231655  0.4959001  0.50757197],[0.46167946 0.45075597 0.44373099 0.40929635 0.41707294],[3.47723498 3.42125341 3.2840523  3.05669784 2.95182114]
1,"[1.10718829e-11 5.12188884e-11 1.30520701e-10 1.78657641e-10
 1.80980986e-10]",[0.13106661 0.12947838 0.12581759 0.12162293 0.12525745],[0.68369888 1.08792509 1.256137   1.1883551  1.18683204],[0.55114688 0.54638947 0.53745339 0.52400066 0.52609721],[0.53984872 0.52708274 0.51379152 0.49851127 0.51160095],[0.45459894 0.44553988 0.43404841 0.41012875 0.42922413],[2.98229632 2.77875618 2.58263314 2.39990122 2.54454754]
2,"[1.10494536e-11 4.64773378e-11 1.18582451e-10 1.85485060e-10
 1.94476498e-10]",[0.1305306  0.1288133  0.12426036 0.11961023 0.11910597],[0.70587432 1.10781892 1.28740522 1.21602616 1.22122581],[0.55146713 0.54586648 0.53740095 0.52217941 0.52269952],[0.54307196 0.52836784 0.51485827 0.49967784 0.49797517],[0.4731352  0.46464312 0.45633124 0.44918777 0.44478891],[3.07204151 2.92341957 2.71563566 2.45505285 2.56239787]
3,"[1.58557409e-11 5.93894926e-11 1.34033918e-10 2.03747371e-10
 2.80921687e-10]",[0.10130288 0.10466902 0.10530889 0.10291042 0.10032392],[0.83214115 1.31670082 1.53743004 1.50372039 1.56925825],[0.55058284 0.55237796 0.546692   0.53166746 0.52554094],[0.43298375 0.43886801 0.44137014 0.43108552 0.41885609],[0.37252096 0.38083577 0.38219077 0.3627699  0.363211  ],[3.22239166 3.17739828 3.05031067 2.81989418 2.80804598]
4,"[9.17031094e-12 3.82354340e-11 9.28914539e-11 1.32669654e-10
 1.90593208e-10]",[0.12226228 0.12441869 0.12252702 0.12053548 0.12057094],[0.65437303 1.07800272 1.29032056 1.21593021 1.19137804],[0.55356064 0.55423215 0.5471762  0.52953245 0.5221866 ],[0.52638443 0.51812933 0.50907501 0.502451   0.50187954],[0.45630882 0.4528411  0.44224282 0.43673456 0.44918398],[3.09562953 3.03541458 2.88741757 2.66231086 2.51051405]
5,"[8.74966081e-12 3.65203979e-11 8.88502344e-11 1.40190815e-10
 1.69440000e-10]",[0.12456941 0.12529881 0.12273892 0.11939972 0.11917025],[0.65379977 1.06611058 1.27659052 1.21484682 1.20072491],[0.55674009 0.55497431 0.54738594 0.53275475 0.52404048],[0.52850803 0.51501648 0.50374457 0.49421958 0.49230331],[0.44643401 0.42951809 0.41923246 0.40728691 0.40602579],[3.20706909 3.1413015  2.9992114  2.66887216 2.59658786]
6,"[6.37547144e-12 2.80761006e-11 6.17322686e-11 6.78243601e-11
 6.85905889e-11]",[0.11147375 0.11370681 0.11113144 0.10292976 0.09516744],[0.63186451 1.0964781  1.38480243 1.36122503 1.37601067],[0.56609505 0.56158055 0.56135385 0.55378739 0.55150386],[0.47790532 0.46786859 0.46057381 0.4387358  0.41053762],[0.38594657 0.37732945 0.37355982 0.36367657 0.35112461],[3.45640723 3.43695185 3.40269598 3.26652787 3.11658149]
7,"[9.63577216e-12 4.15538144e-11 8.93922409e-11 8.98018162e-11
 8.92451653e-11]",[0.08738153 0.08872864 0.08804173 0.08707173 0.08515914],[0.72362894 1.26956113 1.59423148 1.49687619 1.49390739],[0.56313786 0.5593857  0.55813771 0.54798621 0.54675046],[0.39013178 0.37989844 0.37525505 0.37391317 0.36548366],[0.32262338 0.31482683 0.31325827 0.31343669 0.31318694],[2.95365868 2.95875657 2.96953935 3.01765346 2.9389585 ]
8,"[8.88724002e-12 3.64021575e-11 7.84385687e-11 8.72245908e-11
 1.02166462e-10]",[0.09838093 0.10164294 0.09988722 0.09133792 0.08495097],[0.70329032 1.21419872 1.52903973 1.50578796 1.52159673],[0.56206258 0.56556981 0.56299728 0.55105995 0.54173163],[0.4388575  0.43460037 0.42485205 0.39310623 0.36308535],[0.36489209 0.360895   0.35269131 0.33437915 0.30616991],[3.12313314 3.11898168 3.09157753 2.98643062 2.88904312]
9,"[1.59635011e-11 7.30553792e-11 1.59820302e-10 1.44696826e-10
 1.25764541e-10]",[0.07950352 0.07957533 0.07880087 0.0795511  0.08044511],[0.82574556 1.46592418 1.82002645 1.71203364 1.62718009],[0.55407969 0.55433623 0.5497513  0.54485743 0.54533513],[0.34271309 0.33174847 0.32578613 0.3324331  0.34334894],[0.28131888 0.26895598 0.26478273 0.2780369  0.2950866 ],[2.77426091 2.7381002  2.73186626 2.80208399 2.85008771]
