epoch,higuchi_fd,lyapunov_exponent,hurst_exponent
0,"[0.9079369457076494, 0.9105562453896914, 0.9183112666845306, 0.9340219193436983, 0.9408051124838325]","[-24.430709566912224, -23.01253272108869, -22.163805071926266, -21.91134606326667, -21.673034018863614]","[0.1588111181201904, 0.1393910559904456, 0.13932497542408134, 0.13907505176731774, 0.1514484519071618]"
1,"[0.9256682518448732, 0.9334804249073768, 0.9418440989663258, 0.953837481981441, 0.9523269326701989]","[-24.140500611223693, -22.60761711464609, -21.67140571488729, -21.356682279479685, -21.344394994006375]","[0.27144515703363076, 0.2599443608880211, 0.2615463735269243, 0.31222437580123397, 0.3200089437850438]"
2,"[0.9234716116718996, 0.9297776777316494, 0.940032349172572, 0.9550232535421325, 0.9560544498675021]","[-24.1421811101645, -22.704533812516143, -21.767002243451817, -21.318889293549844, -21.271450828043633]","[0.49943285556267597, 0.5544722068373188, 0.5097107341811862, 0.47199200748659415, 0.46147096016572564]"
3,"[0.9276734534233815, 0.9276447686243517, 0.9335882724560607, 0.9474652854155928, 0.9508841561595359]","[-23.77614860981169, -22.455644350840057, -21.64165987820455, -21.22252250513635, -20.901059562674867]","[0.5866945527060281, 0.5601843191593674, 0.5481805996590672, 0.5513840601446286, 0.5770737327352723]"
4,"[0.9244463652034755, 0.9261120861923389, 0.9329815858549347, 0.9486840372884845, 0.9566376159578297]","[-24.327703737097703, -22.899618794100952, -22.011534010895396, -21.654644498601773, -21.29212048364309]","[0.5078685882363382, 0.4926004241044438, 0.46818864199002447, 0.36612065084690476, 0.2687087160874981]"
5,"[0.9232511954359308, 0.9243571657139834, 0.933091972501761, 0.9503038837000338, 0.9550292620029994]","[-24.375033209209672, -22.9457240910695, -22.056131020733723, -21.599269067242645, -21.409348056103106]","[0.21542180455074506, 0.2108210828394075, 0.21053763186705737, 0.22833237294306596, 0.25493975877812297]"
6,"[0.9069199637802913, 0.9100179123948762, 0.9136606651212639, 0.9250355465484283, 0.9289927826781003]","[-24.689445302164724, -23.206369736799278, -22.417944012875047, -22.32260543659501, -22.310262620060584]","[0.32331898173627005, 0.35701450986450034, 0.3900024683813765, 0.4643365581930665, 0.3896331804878805]"
7,"[0.9143238717147049, 0.9180737905048244, 0.9230266976519588, 0.932672553679381, 0.9338733702854876]","[-24.272862085460844, -22.811431180029658, -22.045354041533614, -22.040434782640613, -22.045898902733374]","[0.4951868297703128, 0.5163336240940519, 0.48115777327504833, 0.3497968409885452, 0.24086666663386933]"
8,"[0.9134108258845726, 0.9132256863759421, 0.9157692525135025, 0.9295419817154551, 0.9378228848034197]","[-24.354955616713628, -22.944922492784645, -22.176924404673308, -22.06961159145102, -21.910582988227393]","[0.2977141714393726, 0.2812776060854169, 0.27923161912419725, 0.2708621388395158, 0.28815046007334627]"
9,"[0.9259336664509654, 0.9271215952941629, 0.9294477874694409, 0.9349415390548892, 0.9386056245065396]","[-23.766713037816846, -22.245775621345118, -21.462886127963472, -21.562131829555796, -21.702273350691403]","[0.4729707532506937, 0.5486724444335824, 0.5868433095565757, 0.6314146908930534, 0.4859355556397646]"
10,"[0.9273923774996344, 0.9288508993084896, 0.9312774161961533, 0.938698114178901, 0.9425011224708476]","[-23.881442565623743, -22.423640556730454, -21.653587089080368, -21.632384399049396, -21.502822481434784]","[0.21235537038043611, 0.2661814056822573, 0.2948171168277789, 0.3309447252205909, 0.27779639179352883]"
11,"[0.9425855837092971, 0.9450280028570074, 0.9466919728243964, 0.9489180530152321, 0.9485858632544844]","[-23.28819416825269, -21.75118685247132, -20.99226944626109, -21.195253490404692, -21.417818902874156]","[0.23650405171300298, 0.2466455667715553, 0.24607178372987218, 0.26061451011852166, 0.25561209239908816]"
12,"[0.9373174173095326, 0.9378816995397319, 0.9389773833432742, 0.9428658288659746, 0.945381011536748]","[-23.530085393437552, -21.979966034509957, -21.197443801375957, -21.30166556782309, -21.47181138732271]","[0.7670760653590423, 0.844516377443921, 0.8633699649508719, 0.7440149303942214, 0.49212915768350773]"
13,"[0.9442041859770136, 0.9436918308082933, 0.944212890477352, 0.9478825787045301, 0.9543016297753594]","[-23.80195497718065, -22.36976284541679, -21.58295684412119, -21.467321295680353, -21.291623419412865]","[0.3358692732513187, 0.30920731990341876, 0.29840823750510714, 0.2950690856474517, 0.28399635005487195]"
14,"[0.9296897205078062, 0.9329574394152791, 0.9354544793037629, 0.9410772637736086, 0.9429994678850674]","[-23.50550755695325, -21.972687751296288, -21.21499635662102, -21.361089906160895, -21.69579099750143]","[0.3813661280433385, 0.3728802326633848, 0.3872038079047839, 0.3816041642521567, 0.3135854595985034]"
15,"[0.9351553449610809, 0.9348844649204463, 0.9359728722230329, 0.9417171019561119, 0.9474065789212024]","[-24.13833307793364, -22.69128979999337, -21.937853813327013, -21.931256864649118, -21.915520913014245]","[0.3369147189855519, 0.3350693632970078, 0.3479480441121196, 0.3496459211910427, 0.303446746929561]"
16,"[0.9377285055374529, 0.9382335922052752, 0.9390783630443441, 0.9407673878996167, 0.9402251752294333]","[-24.079785836986886, -22.608416035244897, -21.85160847992077, -21.91205171062549, -22.02096032551122]","[0.3252439432042282, 0.36047038237749135, 0.36181978576180945, 0.31221598328585126, 0.29436492948173004]"
17,"[0.9161536110918734, 0.9180348031638025, 0.9204469734773917, 0.9294788390525145, 0.9367229736912939]","[-24.34449165537712, -22.919219519493254, -22.19857946152834, -22.27119605814947, -22.303865996452533]","[0.325506007561071, 0.3755700544779857, 0.3918830399299743, 0.3744302449025413, 0.24590498631352006]"
18,"[0.9041378872568863, 0.9039814070872675, 0.9056325694790778, 0.9163785424749433, 0.9279454689325526]","[-24.33297875651592, -22.932719861379407, -22.240200005214515, -22.41275430559246, -22.5102461904281]","[0.4894602721731927, 0.5058125326035555, 0.48442420786846435, 0.40256378641476936, 0.4113350293410945]"
19,"[0.9176053984202924, 0.9186996346321584, 0.9205393091720216, 0.9295274481902092, 0.9413434495813041]","[-24.34554352100163, -22.938194200402062, -22.23135494317104, -22.342306990343882, -22.297640439260046]","[0.31293441960082286, 0.306018127946065, 0.29829871414484926, 0.2642340188899815, 0.35321421167946127]"
20,"[0.919838490218369, 0.9190798628344595, 0.9209595742357238, 0.9303413449450721, 0.9418914597636967]","[-24.270131876759418, -22.849351053234354, -22.138904675325303, -22.278702642576604, -22.231933907867372]","[0.3740460214937047, 0.41498063575303223, 0.4273078482438614, 0.35101845154057576, 0.3430169993707939]"
21,"[0.9235369604835582, 0.9219646852005275, 0.9234136004061889, 0.9314113612711273, 0.9435557573599692]","[-24.611249329196113, -23.192987691575983, -22.462467469864727, -22.49731108718243, -22.462113935770894]","[0.41752776230488203, 0.4034643484717201, 0.3868941085824492, 0.47693366629479056, 0.44393450295941356]"
22,"[0.9135730284832163, 0.9114266011449299, 0.9125471656119288, 0.9257625034610466, 0.9412065031489094]","[-24.351803215898695, -22.955435478330564, -22.237749790375506, -22.29084628782717, -22.187263799251905]","[0.26689435087347396, 0.2894251329006879, 0.33668098729506046, 0.4358089053934564, 0.3762963640319147]"
