epoch,channel,lyapunov_exponent
0,0,0.047834840753928604
0,1,0.04751461235128832
0,2,0.04799936145722938
0,3,0.04961717644516312
0,4,0.05112674772667873
1,0,0.04719271290058991
1,1,0.04738519776196621
1,2,0.04746656081255752
1,3,0.04888139580478196
1,4,0.05080082791478414
2,0,0.04729189241919912
2,1,0.0475689845640406
2,2,0.04904954724809864
2,3,0.04977179299454163
2,4,0.05171101257580671
3,0,0.048565832094556546
3,1,0.049312525699977405
3,2,0.04957196083389422
3,3,0.049566854955483276
3,4,0.051238631148870874
4,0,0.048948154014413575
4,1,0.04841675569458749
4,2,0.049132647520067615
4,3,0.051015530479770144
4,4,0.05065228685468348
5,0,0.0494117963500098
5,1,0.04970923365378874
5,2,0.05005683981356222
5,3,0.051662038136788
5,4,0.05168076445360885
6,0,0.05212687012671307
6,1,0.05204778252243278
6,2,0.05230436327362985
6,3,0.05341272278564754
6,4,0.05558101475453467
7,0,0.05400748537940563
7,1,0.05435728148681362
7,2,0.055262830764019596
7,3,0.05590277695856189
7,4,0.05748010129344716
8,0,0.053315899083021985
8,1,0.05375464220722487
8,2,0.05320389064133971
8,3,0.05586926211829966
8,4,0.05789734147748454
9,0,0.055108694463503353
9,1,0.05524127520576118
9,2,0.05635801189372233
9,3,0.05818506540799914
9,4,0.05812497059981232
10,0,0.055733645234216846
10,1,0.05564543496231517
10,2,0.056958831887857754
10,3,0.05754043927141179
10,4,0.05741622320314863
11,0,0.05823305109397301
11,1,0.05849291449978447
11,2,0.05791297207359529
11,3,0.05967679512600942
11,4,0.05962914786275846
12,0,0.05657975589527812
12,1,0.05703794967083517
12,2,0.05650918298838092
12,3,0.058032981625267446
12,4,0.059990525171250225
13,0,0.05739303112602464
13,1,0.055946541702618556
13,2,0.05726488866725906
13,3,0.05767576778636265
13,4,0.06078535466921147
14,0,0.05580227305766069
14,1,0.05610715772209774
14,2,0.057044785489268966
14,3,0.05825463019069945
14,4,0.05983419351932668
15,0,0.05677888638976111
15,1,0.05690288438373411
15,2,0.0573428027827342
15,3,0.05756583860656098
15,4,0.05962183930579072
16,0,0.0566713327176574
16,1,0.05816118315917698
16,2,0.05785697529439028
16,3,0.0583181106457477
16,4,0.0576509873663822
17,0,0.05383156266962369
17,1,0.054825951437704114
17,2,0.054383450081082425
17,3,0.05548336106903705
17,4,0.05635766655600243
18,0,0.0526424706540332
18,1,0.053178876347902644
18,2,0.05366292703910184
18,3,0.05446945826975818
18,4,0.05570127228442663
19,0,0.05526293796937744
19,1,0.05519521907884263
19,2,0.05532709403341419
19,3,0.05553088738852491
19,4,0.05623182963065604
20,0,0.05443181412274395
20,1,0.05466914590237967
20,2,0.05490518563077096
20,3,0.05663505105411312
20,4,0.0553641606636552
21,0,0.05390289604306075
21,1,0.05433507216363111
21,2,0.05410311874078256
21,3,0.05552603017525375
21,4,0.05624847338837872
22,0,0.05122494865866272
22,1,0.05152364728545237
22,2,0.052059389002183036
22,3,0.053153228622381705
22,4,0.05557962328302909
23,0,0.05019650984783557
23,1,0.05128071266348351
23,2,0.05054636947247168
23,3,0.0517272071792586
23,4,0.05472809076023003
24,0,0.05219181990423134
24,1,0.05198063743930211
24,2,0.052264212417144795
24,3,0.05348546068207574
24,4,0.05542617463550369
25,0,0.0492760210621116
25,1,0.049938397859754374
25,2,0.050723257671598874
25,3,0.05251722370161448
25,4,0.05435939230123203
26,0,0.05317028325001879
26,1,0.05373947633557829
26,2,0.05400002908878409
26,3,0.055248341279871424
26,4,0.056647830427336926
27,0,0.05575273314587077
27,1,0.0550699075101232
27,2,0.05559386126276692
27,3,0.055692760930055644
27,4,0.05558999582499035
28,0,0.053315261163058986
28,1,0.05306949203326356
28,2,0.053385513140803226
28,3,0.054522487003834864
28,4,0.054381447616888554
29,0,0.05495159396461214
29,1,0.055385826174952545
29,2,0.0553185092701631
29,3,0.055462906460802215
29,4,0.05556045518488153
30,0,0.053329420788090755
30,1,0.05361574752276411
30,2,0.05215036344127501
30,3,0.053334610470775305
