mean,std,variance,skew,kurtosis,rms,zcr,delta_power,delta_relative_power,theta_power,theta_relative_power,alpha_power,alpha_relative_power,beta_power,beta_relative_power,gamma_power,gamma_relative_power,epoch
"[-3.63815904e-08 -1.23591010e-07 -1.86961967e-07 -1.41009112e-07
 -9.88156790e-08]","[2.48943033e-06 8.09339167e-06 1.23255116e-05 1.08846604e-05
 6.60001006e-06]","[6.19726338e-12 6.55029887e-11 1.51918237e-10 1.18475832e-10
 4.35601328e-11]",[0.08824086 0.07791903 0.08016242 0.10706892 0.08353897],[0.66126884 0.63371816 0.64211972 0.64786957 0.65283422],"[2.48969617e-06 8.09433527e-06 1.23269296e-05 1.08855737e-05
 6.60074975e-06]",[0.03170573 0.03190104 0.03196615 0.02988281 0.03196615],"[7.09242260e-13 7.16450117e-12 1.67760248e-11 1.42068225e-11
 4.88354077e-12]",[0.4035411  0.38909474 0.39164405 0.42995013 0.39617085],"[4.46347227e-13 4.53850959e-12 1.06162722e-11 8.81205053e-12
 3.08427085e-12]",[0.2539604  0.24648055 0.24784178 0.26668471 0.25020743],"[2.93597860e-13 3.11381597e-12 7.23090089e-12 5.34924295e-12
 2.07337580e-12]",[0.16704984 0.1691073  0.16880872 0.16188755 0.1681999 ],"[5.34026739e-13 5.84991373e-12 1.35014866e-11 9.24417941e-12
 3.83150065e-12]",[0.30384785 0.31770121 0.31519844 0.2797625  0.31082547],"[4.51815472e-14 5.22246643e-13 1.19325112e-12 7.17185957e-13
 3.32874796e-13]",[0.02570717 0.02836254 0.027857   0.02170466 0.02700403],0
"[3.06741529e-08 7.23772499e-08 1.18639634e-07 1.81478071e-07
 7.08417415e-08]","[2.83283419e-06 8.99901475e-06 1.37559237e-05 1.29783749e-05
 7.41835488e-06]","[8.02494954e-12 8.09822665e-11 1.89225436e-10 1.68438216e-10
 5.50319891e-11]",[-0.56783634 -0.51845369 -0.53278019 -0.52326252 -0.55177172],[3.95750096 3.80202545 3.86901435 3.54343752 3.94039549],"[2.83300025e-06 8.99930580e-06 1.37564353e-05 1.29796437e-05
 7.41869312e-06]",[0.02760417 0.02760417 0.02760417 0.02617188 0.02695313],"[7.88639355e-13 7.64994894e-12 1.79961550e-11 1.77167115e-11
 5.29880563e-12]",[0.53965393 0.52428417 0.5269893  0.56463883 0.53183149],"[3.27072484e-13 3.29413307e-12 7.67352571e-12 7.33767634e-12
 2.22877712e-12]",[0.22381073 0.22576122 0.22470722 0.23385474 0.22369831],"[1.21315972e-13 1.25872947e-12 2.91929818e-12 2.55939798e-12
 8.40364279e-13]",[0.08301468 0.08626619 0.08548709 0.08156906 0.08434584],"[3.16048740e-13 3.38018616e-12 7.82745392e-12 5.84731264e-12
 2.23691066e-12]",[0.21626735 0.23165881 0.22921477 0.18635624 0.22451466],"[3.43221606e-14 3.86075801e-13 8.86678406e-13 5.69066458e-13
 2.49502587e-13]",[0.02348613 0.02645945 0.02596499 0.01813638 0.02504212],1
"[3.50382427e-08 1.35424322e-07 2.00199835e-07 1.04417751e-07
 1.01631379e-07]","[2.82301240e-06 8.69749962e-06 1.33495345e-05 1.38753536e-05
 7.26405517e-06]","[7.96939902e-12 7.56464996e-11 1.78210071e-10 1.92525437e-10
 5.27664975e-11]",[0.33523343 0.0996453  0.14967313 0.47432817 0.2302865 ],[2.28862177 1.27833884 1.40266678 4.27558693 1.6999547 ],"[2.82322983e-06 8.69855387e-06 1.33510356e-05 1.38757465e-05
 7.26476609e-06]",[0.03014323 0.03014323 0.03040365 0.02832031 0.0297526 ],"[5.82658760e-13 5.63718857e-12 1.31274817e-11 1.55438775e-11
 3.84617598e-12]",[0.43987691 0.41692176 0.41853416 0.51633502 0.4244257 ],"[2.84607239e-13 2.88430230e-12 6.67276447e-12 6.99529207e-12
 1.92792564e-12]",[0.21486359 0.21332059 0.212743   0.23236894 0.21274669],"[1.49294170e-13 1.63001979e-12 3.73891092e-12 3.03543593e-12
 1.05786318e-12]",[0.1127093  0.1205549  0.11920504 0.10083082 0.11673525],"[4.07161653e-13 4.42906699e-12 1.02311315e-11 7.20926778e-12
 2.90921626e-12]",[0.30738577 0.3275701  0.32619189 0.23947676 0.32103215],"[4.67595396e-14 5.17453446e-13 1.19254048e-12 7.86109483e-13
 3.37449800e-13]",[0.03530101 0.03827042 0.03802092 0.02611291 0.0372376 ],2
"[-4.07622734e-08 -1.32378276e-07 -2.02042214e-07 -1.70578743e-07
 -1.08350933e-07]","[1.36302953e-06 4.27853199e-06 6.56580374e-06 6.15394722e-06
 3.55769109e-06]","[1.85784951e-12 1.83058360e-11 4.31097788e-11 3.78710664e-11
 1.26571659e-11]",[-0.11093871 -0.1587514  -0.14962909 -0.04383358 -0.13420677],[0.70812714 0.85906825 0.82929536 0.50774038 0.78006092],"[1.36363891e-06 4.28057940e-06 6.56891162e-06 6.15631087e-06
 3.55934064e-06]",[0.03098958 0.03138021 0.03138021 0.03059896 0.03151042],"[2.90495342e-13 2.86804815e-12 6.75650066e-12 5.82107630e-12
 1.98321199e-12]",[0.51039638 0.50206183 0.50383539 0.51952549 0.50661412],"[1.98733831e-13 1.99937050e-12 4.69179281e-12 3.89093948e-12
 1.36863265e-12]",[0.34917265 0.34999678 0.34986916 0.34726263 0.34961902],"[7.65489883e-14 7.91154018e-13 1.84615381e-12 1.45229646e-12
 5.33762516e-13]",[0.13449553 0.13849427 0.13766854 0.12961607 0.13635034],"[1.17722874e-13 1.20326806e-12 2.81390281e-12 2.26998600e-12
 8.16480042e-13]",[0.20683749 0.21063627 0.20983404 0.20259408 0.2085709 ],"[7.67245289e-15 8.51533772e-14 1.96150127e-13 1.28193952e-13
 5.54543094e-14]",[0.0134804  0.0149064  0.01462701 0.01144119 0.01416588],3
"[4.20051616e-09 1.35363853e-08 2.06869534e-08 1.78000102e-08
 1.11238097e-08]","[1.06470804e-06 3.35352177e-06 5.14287088e-06 4.78443487e-06
 2.78359096e-06]","[1.13360322e-12 1.12461083e-11 2.64491209e-11 2.28908171e-11
 7.74837865e-12]",[-0.01342979 -0.02222651 -0.02094039  0.00965273 -0.01830517],[ 0.00399663 -0.02714105 -0.02068556  0.03307305 -0.01021241],"[1.06471633e-06 3.35354909e-06 5.14291248e-06 4.78446799e-06
 2.78361319e-06]",[0.03502604 0.03502604 0.03515625 0.03398437 0.03528646],"[2.19319130e-13 2.14992743e-12 5.06986609e-12 4.47446143e-12
 1.49128357e-12]",[0.48472834 0.48457905 0.48467101 0.48376777 0.4847515 ],"[1.80080258e-13 1.74595844e-12 4.12603578e-12 3.73268141e-12
 1.21798089e-12]",[0.39800452 0.39352718 0.39444236 0.40356834 0.39591267],"[6.27884175e-14 6.21560396e-13 1.46268107e-12 1.26781019e-12
 4.28829569e-13]",[0.13877187 0.1400955  0.13982995 0.13707252 0.13939386],"[8.78613726e-14 8.65554746e-13 2.03801124e-12 1.79795179e-12
 5.98343551e-13]",[0.19418688 0.19509017 0.19483058 0.19439013 0.19449549],"[2.93423334e-15 3.17072261e-14 7.33298347e-14 5.25041103e-14
 2.08986104e-14]",[0.0064851  0.00714659 0.00701021 0.00567662 0.00679323],4
"[-4.11321585e-09 -1.50401487e-08 -2.24464525e-08 -1.39390812e-08
 -1.15963913e-08]","[2.79789442e-06 7.82930513e-06 1.21908728e-05 1.60554836e-05
 6.83376272e-06]","[7.82821320e-12 6.12980188e-11 1.48617380e-10 2.57778553e-10
 4.67003129e-11]",[0.99530848 0.09749286 0.3022996  1.44072875 0.61973918],[8.97286874 5.71274009 6.40185181 9.80096874 7.57326441],"[2.79789745e-06 7.82931958e-06 1.21908935e-05 1.60554896e-05
 6.83377256e-06]",[0.02910156 0.02936198 0.03001302 0.02604167 0.03001302],"[4.83067336e-13 4.42265217e-12 1.03802777e-11 1.40966372e-11
 3.09280136e-12]",[0.58572824 0.55550991 0.55849285 0.65894181 0.56689365],"[2.33227065e-13 2.52404292e-12 5.78875275e-12 4.97580850e-12
 1.64068842e-12]",[0.28279221 0.31703394 0.31145381 0.23259223 0.30072926],"[7.83488147e-14 8.54150916e-13 1.96862407e-12 1.44500690e-12
 5.58761282e-13]",[0.09499941 0.10728614 0.10591841 0.06754628 0.1024179 ],"[1.38137036e-13 1.43767357e-12 3.34456514e-12 2.69428467e-12
 9.63856247e-13]",[0.16749376 0.18057986 0.17994853 0.12594329 0.1766696 ],"[1.45414507e-14 1.57027182e-13 3.63328881e-13 2.58616074e-13
 1.03586157e-13]",[0.01763178 0.01972349 0.01954828 0.01208891 0.01898678],5
"[3.22884337e-09 8.16150488e-09 1.31528475e-08 1.80305898e-08
 7.67037436e-09]","[1.32200137e-06 4.13663106e-06 6.35114361e-06 6.01078870e-06
 3.44470628e-06]","[1.74768762e-12 1.71117165e-11 4.03370251e-11 3.61295808e-11
 1.18660014e-11]",[-0.73409108 -0.50623607 -0.54692884 -1.10387033 -0.61905178],[5.18463153 4.31934411 4.45425122 6.87181238 4.71839776],"[1.32200531e-06 4.13663911e-06 6.35115723e-06 6.01081574e-06
 3.44471482e-06]",[0.03645833 0.03606771 0.03580729 0.03678385 0.03645833],"[2.40470380e-13 2.36364057e-12 5.56543469e-12 4.97986587e-12
 1.63476776e-12]",[0.47945909 0.46901611 0.47101707 0.49465102 0.47438627],"[1.73963817e-13 1.73771146e-12 4.07923001e-12 3.51568631e-12
 1.19204503e-12]",[0.34685574 0.34481328 0.34523574 0.34921379 0.34591445],"[7.16079394e-14 7.29958923e-13 1.70498486e-12 1.43832092e-12
 4.94663114e-13]",[0.14277466 0.14484541 0.14429726 0.14286869 0.14354417],"[1.07522979e-13 1.12141367e-12 2.61232765e-12 2.01300593e-12
 7.53065361e-13]",[0.21438345 0.2225216  0.22108802 0.19995226 0.21852882],"[6.56496035e-15 7.56345287e-14 1.72931479e-13 1.04527815e-13
 4.82927049e-14]",[0.01308947 0.01500812 0.01463564 0.01038277 0.01401385],6
"[-5.70403360e-09 -2.24684588e-08 -3.31056230e-08 -1.61740452e-08
 -1.67110727e-08]","[1.38165944e-06 4.58327703e-06 6.88027180e-06 7.19336942e-06
 3.63672834e-06]","[1.90898280e-12 2.10064283e-11 4.73381401e-11 5.17445636e-11
 1.32257930e-11]",[0.21970291 0.17564121 0.18030906 0.30015637 0.1922323 ],[0.72708124 0.68214062 0.57926505 1.70123842 0.54423344],"[1.38167121e-06 4.58333210e-06 6.88035145e-06 7.19338761e-06
 3.63676674e-06]",[0.03222656 0.03170573 0.03183594 0.02988281 0.03170573],"[2.36711285e-13 2.39003451e-12 5.56037731e-12 5.36878548e-12
 1.61294711e-12]",[0.44229122 0.43674573 0.43626551 0.47975964 0.43719542],"[1.57859683e-13 1.59483598e-12 3.73139935e-12 3.21015595e-12
 1.08569817e-12]",[0.29495827 0.2914342  0.29276446 0.28686251 0.2942826 ],"[7.88622969e-14 7.95719840e-13 1.86347358e-12 1.58416047e-12
 5.42624270e-13]",[0.14735293 0.14540679 0.14620757 0.14156205 0.14708036],"[1.44530032e-13 1.50668918e-12 3.50848515e-12 2.73496747e-12
 1.01124227e-12]",[0.27005203 0.2753266  0.27527468 0.24439922 0.27410104],"[9.60034512e-15 1.04212309e-13 2.40841777e-13 1.69667806e-13
 6.85505919e-14]",[0.01793809 0.01904336 0.01889637 0.01516167 0.0185809 ],7
"[-1.77416198e-08 -4.60736891e-08 -7.37884822e-08 -9.67388479e-08
 -4.26265195e-08]","[1.50766105e-06 4.36620518e-06 6.77495433e-06 8.07154649e-06
 3.76019791e-06]","[2.27304183e-12 1.90637476e-11 4.59000062e-11 6.51498627e-11
 1.41390883e-11]",[0.12598352 0.01439242 0.01919151 0.63212294 0.04319   ],[2.95483538 1.96012919 2.13068726 5.19020802 2.43865062],"[1.50776543e-06 4.36644826e-06 6.77535615e-06 8.07212618e-06
 3.76043952e-06]",[0.03053385 0.03170573 0.03157552 0.02884115 0.03092448],"[2.49679480e-13 2.67409267e-12 6.17664017e-12 4.85005625e-12
 1.76192814e-12]",[0.48810721 0.48856841 0.48790588 0.50034959 0.48742277],"[1.85765192e-13 2.01646027e-12 4.65639467e-12 3.35920403e-12
 1.32431603e-12]",[0.36315892 0.3684161  0.36781847 0.34654781 0.36636102],"[7.82763342e-14 8.46053073e-13 1.95440763e-12 1.44120786e-12
 5.56467021e-13]",[0.15302516 0.15457759 0.1543828  0.14868029 0.15394198],"[9.51839284e-14 1.02401563e-12 2.36917613e-12 1.73464605e-12
 6.75853374e-13]",[0.18607841 0.18709213 0.18714624 0.17895245 0.18696922],"[6.12640654e-15 7.22981273e-14 1.64225294e-13 9.92122578e-14
 4.54387283e-14]",[0.01197673 0.01320918 0.0129725  0.0102351  0.01257025],8
"[1.70547675e-08 5.45702008e-08 8.35348170e-08 7.29452422e-08
 4.50117461e-08]","[1.13581298e-06 3.61634117e-06 5.53410204e-06 5.02852159e-06
 2.98484615e-06]","[1.29007113e-12 1.30779234e-11 3.06262854e-11 2.52860294e-11
 8.90930654e-12]",[0.16416155 0.1569521  0.15893744 0.16244058 0.16160291],[0.27742473 0.29023993 0.28765006 0.25669145 0.2833978 ],"[1.13594102e-06 3.61675287e-06 5.53473247e-06 5.02905065e-06
 2.98518552e-06]",[0.0297526  0.02910156 0.02858073 0.03222656 0.02910156],"[2.04943635e-13 2.01359999e-12 4.74512121e-12 4.18642109e-12
 1.39461258e-12]",[0.47750507 0.47889156 0.47861093 0.47565296 0.47816625],"[1.68579710e-13 1.62751536e-12 3.84952865e-12 3.51357192e-12
 1.13801475e-12]",[0.39277954 0.38706961 0.38827806 0.39920516 0.39018739],"[6.61604430e-14 6.43124319e-13 1.51936478e-12 1.36237203e-12
 4.48164020e-13]",[0.15414944 0.15295332 0.1532489  0.15479004 0.15366053],"[8.62711836e-14 8.58323204e-13 2.01713778e-12 1.74052400e-12
 5.90315055e-13]",[0.20100613 0.20413376 0.20345617 0.19775493 0.20239939],"[3.46845535e-15 3.81428552e-14 8.79007117e-14 6.10786013e-14
 2.49006809e-14]",[0.00808127 0.00907146 0.008866   0.00693963 0.00853762],9
