epoch,higuchi_fd,lyapunov_exponent,hurst_exponent
0,"[0.8766272001224096, 0.8749858405872799, 0.875308822444188, 0.8797305753391048, 0.8758189555086204]","[-24.717522531531383, -22.359824928054284, -21.518538374652774, -21.766166118274665, -22.767653952405364]","[0.6074214258267995, 0.4803135842442955, 0.49879582628117813, 0.5071881141448588, 0.5347331308582152]"
1,"[0.8742821294870569, 0.8721846648882297, 0.872571011544324, 0.8783548251315489, 0.8732385881858448]","[-24.454267099879427, -22.142975404720353, -21.294201451317516, -21.409575359064167, -22.52910660236441]","[0.36465126303359485, 0.41508299377749314, 0.4041044164082237, 0.3268041799185213, 0.38720792034532453]"
2,"[0.8690643028458613, 0.8675092325767914, 0.8676950047083309, 0.8736652423211761, 0.8681841121005031]","[-24.463046403804665, -22.213365553882642, -21.3563588344195, -21.27692773592682, -22.57320941659196]","[0.5099405745260662, 0.5117259338347113, 0.5190557306480589, 0.4573848426358655, 0.5174684693490291]"
3,"[0.8913789164095097, 0.8898607039539967, 0.8901722517943175, 0.8936466249659526, 0.8907097702963219]","[-25.921604797098276, -23.6343467158958, -22.777714445582852, -22.90600210391054, -24.003067030443823]","[0.20364410065983224, 0.20440652641169024, 0.20396408565706023, 0.20862356832114312, 0.20335327300724132]"
4,"[0.9021576980135205, 0.9007192971045688, 0.9010386159500707, 0.9041799482741286, 0.9015167352807646]","[-26.414884568528077, -24.12029559816248, -23.265086536273504, -23.409539656943355, -24.492814445443916]","[0.29573434841960416, 0.29099858639300563, 0.29082939103575767, 0.2784162001581584, 0.2927199877792235]"
5,"[0.8858183628011966, 0.8842629503520287, 0.8843660332474012, 0.8899217414802181, 0.8847797904320671]","[-24.476663600187724, -22.41941182490888, -21.533656521310235, -20.981386486155674, -22.691034718553404]","[0.9465146032279954, 0.8528026142305096, 0.8722928073397245, 1.0853224605900897, 0.9028677930502939]"
6,"[0.8924273539207337, 0.8905307460583445, 0.8908419475096842, 0.8956958513286305, 0.8913777021634642]","[-25.98071420520044, -23.699765761239924, -22.842156412964638, -22.951191766512483, -24.065578771749163]","[0.8442067512736737, 0.811966522527095, 0.8189086802717598, 0.8705361587002861, 0.8299612067571016]"
7,"[0.8855820619375635, 0.8840011760657033, 0.8841332583862737, 0.8888565439210864, 0.8845736129153833]","[-25.89361932434622, -23.49504177441587, -22.68278339404142, -22.591443481683417, -23.95814261865266]","[0.6077970947484798, 0.7122727607779524, 0.6922710049433056, 0.7432629463726985, 0.6573789092450478]"
8,"[0.9017893473668267, 0.9008498730078608, 0.9010433920990895, 0.9033856876691675, 0.9013265542898024]","[-25.71672778963029, -23.591823558888926, -22.71282789719069, -22.358956786348717, -23.889777953527023]","[0.6372349131599947, 0.5441820543889418, 0.5648785119155946, 0.7382368147257611, 0.5985074790691935]"
9,"[0.9007835928269717, 0.8984271104512298, 0.8988796836337957, 0.9034494897015148, 0.8996334759409139]","[-26.28627744635277, -23.969700164230858, -23.118837471476226, -23.311170682397915, -24.353713926551183]","[0.25913146994531067, 0.28129433605444376, 0.276870326291052, 0.22464404637412708, 0.26970951123914494]"
10,"[0.8968665219948121, 0.8965292519451122, 0.8966067852589278, 0.8976030320627963, 0.8967072220463865]","[-26.285437114640843, -23.961736494356263, -23.112262212528517, -23.320508027715093, -24.349441062985584]","[0.5862902112277862, 0.5962318968010016, 0.5939632135925975, 0.5664105881809659, 0.5903781744891438]"
11,"[0.8940520485122132, 0.8927341360253085, 0.8929772815259979, 0.8964628934923866, 0.8933804709856202]","[-26.402723519214916, -24.03882540711665, -23.202317802902446, -23.383075130419197, -24.455569111108673]","[0.32040333864376963, 0.31438832719767423, 0.3154963001358748, 0.3456775893676356, 0.3173406409464186]"
12,"[0.9005610426251336, 0.8991661506231984, 0.8994580876377686, 0.9022320921736786, 0.8999327170435919]","[-26.350036547753295, -24.022078352655253, -23.173828924669415, -23.382855925113624, -24.412598160102085]","[0.38124710702260556, 0.43139682617009967, 0.4209716696748333, 0.3170129785854819, 0.40433696116329554]"
13,"[0.8774813094623135, 0.8753931728440039, 0.8757154988591984, 0.8812757145132385, 0.8763814501784238]","[-24.698667904859867, -22.779985811868443, -21.85446077653566, -21.183549071381695, -22.960329947002926]","[0.825870389489481, 0.7395869490823025, 0.7590381653997381, 0.9295038388308511, 0.7881420385176312]"
14,"[0.8967852928954387, 0.895256418385182, 0.8955555399288829, 0.8995345128653673, 0.8960877470015957]","[-25.708156349740257, -23.643347604129954, -22.757036125304342, -22.240416337109018, -23.916032982141083]","[0.1885908095310547, 0.21595823144499368, 0.20786458762469653, 0.2035836288696373, 0.1966673335387313]"
15,"[0.8891182255823133, 0.887690359284464, 0.8879130636996935, 0.8921825242607025, 0.8883588889767469]","[-25.149332626339184, -23.031996876914004, -22.150803195951898, -21.79210675326025, -23.32490219357987]","[0.7160017481849743, 0.6692686889934181, 0.6777708769531623, 0.7675251993484933, 0.6943245369002359]"
16,"[0.9073090891483863, 0.9070583484070656, 0.9071110075940544, 0.9069230455216932, 0.907229672981077]","[-26.590022567245306, -24.280335243786112, -23.42820212414857, -23.603832417167325, -24.660887429348858]","[0.37144721524636026, 0.358202391100617, 0.361325316827929, 0.3826835656762672, 0.36575632056815643]"
17,"[0.9041106472567647, 0.9030049721267932, 0.9032776469677948, 0.905006890097676, 0.9036894884577363]","[-26.009070439235494, -23.769981176186384, -22.90402350122126, -22.924535293683046, -24.11377519310021]","[0.46995098041340144, 0.43769440479374583, 0.4448794514977613, 0.5062234565952857, 0.4558761927819485]"
18,"[0.8878446623017501, 0.8859679460714385, 0.8864346533182225, 0.8900082704770231, 0.8870794385554694]","[-25.526963755749843, -23.345183362843645, -22.46787293009305, -22.36620157541053, -23.65892639728842]","[0.25670781059516135, 0.24371452862471354, 0.24649421789074638, 0.2720858356186223, 0.2508066640256064]"
19,"[0.9055014240654614, 0.9050940797655479, 0.9051463472039586, 0.9052383202583513, 0.9053115052319305]","[-26.426059251588438, -24.155265043118362, -23.295415125027738, -23.387265567264677, -24.515420137531894]","[0.4022711080484808, 0.4105695547413863, 0.4093107270558633, 0.4080634164344989, 0.4064971900776088]"
20,"[0.9006691026490716, 0.8991095215658172, 0.8993835474366036, 0.9031028779767079, 0.8999089712070156]","[-26.144369096811083, -23.90916814677768, -23.042930383460675, -23.045892703872425, -24.251698831515174]","[0.5964877761337335, 0.5407880895319777, 0.5533211381026232, 0.6424134681584054, 0.572112797109896]"
21,"[0.8846685059728785, 0.8828290074505618, 0.8831633161815359, 0.887637980119163, 0.8837644725029586]","[-25.686121868615746, -23.57796833994677, -22.689945478518727, -22.38035649321258, -23.85868788535674]","[0.26355024376445424, 0.261944196559315, 0.26211675772037135, 0.2725154492984465, 0.2625600087625611]"
22,"[0.8912173244709376, 0.8894855856322925, 0.8898613792115317, 0.8936887034602408, 0.8904223905296745]","[-26.295112476272127, -23.958850694397817, -23.11116689595996, -23.362489048039123, -24.352026762110405]","[0.3232796850789458, 0.32929681452968657, 0.3272306737258233, 0.3281138939383904, 0.32403089144113495]"
23,"[0.8917736757032406, 0.8903101031086611, 0.890681513298242, 0.8935022970548268, 0.8912005824355326]","[-26.3704624315714, -24.055223946416987, -23.20420557742206, -23.391303104214785, -24.438704396669877]","[0.22342222008070803, 0.2128478530332385, 0.2151960918089511, 0.22568570127057297, 0.21882442881102496]"
24,"[0.873199937249784, 0.8720920726561818, 0.8723084997217708, 0.8755739638866398, 0.872659590700997]","[-24.609202609758135, -22.708010964696495, -21.780675197921262, -21.061954518402047, -22.881301866410087]","[0.8246497927320003, 0.8249227401433663, 0.8233774125701564, 0.8293415490431982, 0.8215250831259323]"
25,"[0.8793896704821336, 0.8775060106986735, 0.8778938554097374, 0.8828424485588717, 0.8784823979638922]","[-25.417813500188956, -23.269484155042257, -22.38629353792363, -22.20284596666701, -23.566762401515927]","[0.4513959876620467, 0.41801631209961765, 0.42654945808212086, 0.40976825688480245, 0.4426988503557385]"
26,"[0.9074049978848632, 0.9069723672672946, 0.9070847763801486, 0.9078945343662108, 0.9072524444237563]","[-26.527213757641853, -24.250145548745106, -23.391718845616648, -23.493144532830488, -24.61385916188723]","[0.31847701066037226, 0.2869858526021396, 0.2938634494962561, 0.35328519731105895, 0.30458653612993797]"
27,"[0.9075648922012645, 0.9075476062035818, 0.9075509415630324, 0.9070497054416493, 0.9075494208995198]","[-26.443970419289574, -24.20522341532842, -23.342203129842954, -23.307617801179692, -24.55339255849445]","[0.3359968020567458, 0.31561324941486635, 0.3183002947572259, 0.35081612414145324, 0.32248623472709187]"
