epoch,hjorth_activity,hjorth_mobility,hjorth_complexity,perm_entropy,approx_entropy,sample_entropy,shannon_entropy
0,"[6.19726338e-12 6.55029887e-11 1.51918237e-10 1.18475832e-10
 4.35601328e-11]",[0.10965227 0.11970554 0.1198655  0.11159007 0.1181873 ],[0.7089624  1.62050361 1.91770009 1.88263886 1.44945813],[0.58110983 0.57958607 0.58114285 0.57678554 0.58164078],[0.44086929 0.44736096 0.44648566 0.42905263 0.44505684],[0.31950225 0.32057852 0.32014672 0.31463968 0.31945282],[3.60947877 3.65024432 3.64315947 3.53085251 3.63047062]
1,"[8.02494954e-12 8.09822665e-11 1.89225436e-10 1.68438216e-10
 5.50319891e-11]",[0.07617543 0.08302176 0.08287114 0.07507495 0.08151181],[0.83245631 2.07016982 2.59557336 2.59807574 1.8230321 ],[0.58125534 0.58210864 0.58182892 0.5775826  0.58184042],[0.31887355 0.3301723  0.32828724 0.29422065 0.32507756],[0.24411077 0.25014679 0.24968652 0.22834446 0.24787937],[3.13538877 3.20928172 3.19624746 3.01229818 3.17298333]
2,"[7.96939902e-12 7.56464996e-11 1.78210071e-10 1.92525437e-10
 5.27664975e-11]",[0.08785399 0.0996248  0.09890324 0.07945899 0.09611541],[0.82913874 1.8957442  2.31763741 2.62709803 1.72013407],[0.58581669 0.58680728 0.58698696 0.58249155 0.58680189],[0.35704839 0.37821528 0.37566151 0.30899384 0.36880077],[0.24454561 0.25466392 0.25352072 0.21485078 0.25074011],[3.52475123 3.60059387 3.59411659 3.26498794 3.57425197]
3,"[1.85784951e-12 1.83058360e-11 4.31097788e-11 3.78710664e-11
 1.26571659e-11]",[0.08078368 0.10000499 0.10104731 0.09534062 0.09761752],[0.4363796  1.05754862 1.44734278 1.37668208 0.90970341],[0.57585633 0.57522176 0.57429064 0.57373404 0.57497682],[0.4221335  0.43043977 0.42898942 0.41225313 0.42578521],[0.35868332 0.36361753 0.36264823 0.35161266 0.36107206],[3.26363557 3.29393078 3.28770875 3.22612432 3.27773422]
4,"[1.13360322e-12 1.12461083e-11 2.64491209e-11 2.28908171e-11
 7.74837865e-12]",[0.0802997  0.10575562 0.10827825 0.1077953  0.10374479],[0.35501954 0.8096763  1.12235533 1.04830474 0.69455565],[0.56890421 0.5693693  0.56937228 0.56681415 0.56955154],[0.46990521 0.47090153 0.47059906 0.46864417 0.47073605],[0.40727988 0.40829844 0.40793572 0.40540925 0.40778057],[3.2501819  3.25862062 3.25669727 3.2431859  3.25382201]
5,"[7.82821320e-12 6.12980188e-11 1.48617380e-10 2.57778553e-10
 4.67003129e-11]",[0.05417317 0.06626178 0.06511872 0.04384779 0.06176516],[0.81657492 1.95382541 2.67249266 3.59348651 1.77305296],[0.57285352 0.57600986 0.57513256 0.56996285 0.57394168],[0.20784029 0.24291161 0.23740003 0.14944566 0.22679315],[0.14949673 0.17017787 0.16737142 0.11015327 0.16091419],[2.97737784 3.11140554 3.09844768 2.61021635 3.06193284]
6,"[1.74768762e-12 1.71117165e-11 4.03370251e-11 3.61295808e-11
 1.18660014e-11]",[0.08068407 0.10198588 0.10292859 0.09447518 0.09889661],[0.43251656 1.03990524 1.42511961 1.3626481  0.89517309],[0.57360151 0.57286678 0.57309275 0.573401   0.57330584],[0.41478302 0.42087968 0.41988649 0.40133833 0.41798798],[0.34240351 0.34459745 0.34427655 0.33698889 0.3435772 ],[3.33070163 3.37240894 3.36464962 3.26447607 3.3513225 ]
7,"[1.90898280e-12 2.10064283e-11 4.73381401e-11 5.17445636e-11
 1.32257930e-11]",[0.08867431 0.10441429 0.10741897 0.09061889 0.10618776],[0.45614876 1.14738419 1.5153876  1.6179909  0.95049357],[0.57694378 0.57881113 0.57879309 0.57543786 0.57763452],[0.4502078  0.43686749 0.44354793 0.38296139 0.45054548],[0.35615646 0.33607755 0.34276343 0.30524665 0.35111574],[3.48832218 3.51133417 3.51160187 3.35926173 3.50681262]
8,"[2.27304183e-12 1.90637476e-11 4.59000062e-11 6.51498627e-11
 1.41390883e-11]",[0.06981188 0.09334599 0.09269189 0.06557247 0.08687051],[0.45684866 1.06408355 1.48543919 1.79605435 0.94344423],[0.56761044 0.56809788 0.56880469 0.56807729 0.56761074],[0.33614047 0.37795298 0.37187216 0.25663547 0.35926776],[0.2665144  0.29942626 0.29430555 0.20704347 0.28437215],[3.26771007 3.27644839 3.27652529 3.21413332 3.27473088]
9,"[1.29007113e-12 1.30779234e-11 3.06262854e-11 2.52860294e-11
 8.90930654e-12]",[0.07615444 0.09711139 0.09927232 0.10077424 0.0958639 ],[0.371564   0.87950228 1.222651   1.11384074 0.74806616],[0.57269208 0.57515366 0.57497257 0.56926746 0.57407714],[0.43198022 0.42844314 0.42969067 0.43815647 0.43041578],[0.36490068 0.3626425  0.36307928 0.37033945 0.36348714],[3.28420261 3.29248956 3.29076545 3.27474617 3.28798026]
