epoch,stft_mean_power,wavelet_mean_power
0,"[1.9917220482067583e-07, 2.2400318806264962e-07, 2.1911766627624338e-07, 2.535968001983048e-07, 2.637733311995157e-07]","[1.571913289030178e-05, 1.774915652475634e-05, 1.7357713919451866e-05, 2.0088555487667225e-05, 2.0901363088141088e-05]"
1,"[1.814644650297164e-07, 2.0688418815789238e-07, 2.0563045493177134e-07, 2.3804917594788e-07, 2.446801140884955e-07]","[1.388581339072311e-05, 1.6135597269754793e-05, 1.6172489448598313e-05, 1.8722896286710802e-05, 1.916043959808403e-05]"
2,"[2.2833509481161703e-07, 2.5392698900581047e-07, 2.4776910902802917e-07, 2.867886368959301e-07, 2.983151945587136e-07]","[1.6405398671718993e-05, 1.8786525646219645e-05, 1.8591940530221317e-05, 2.15197891624134e-05, 2.221675377223627e-05]"
3,"[2.5595584787797585e-07, 2.9011008440499947e-07, 2.8341789823961787e-07, 3.279772427977391e-07, 3.417881891430043e-07]","[1.7153573631791617e-05, 1.926184509524378e-05, 1.8601977530297766e-05, 2.1522643793927756e-05, 2.261501140636699e-05]"
4,"[1.7611442156045502e-07, 2.0111012587712295e-07, 2.0112521174352488e-07, 2.3285925196881867e-07, 2.3826276658691532e-07]","[1.313962836082747e-05, 1.5128799089860603e-05, 1.5312511262704612e-05, 1.773231460885559e-05, 1.7983533450007394e-05]"
5,"[2.337783249375941e-07, 2.7271339626053817e-07, 2.7652635708839215e-07, 3.2020241681067977e-07, 3.2486764909672086e-07]","[1.7900951365415722e-05, 2.082345146864467e-05, 2.079852766566614e-05, 2.407606520153406e-05, 2.4715801500689213e-05]"
6,"[1.977177599852761e-07, 2.273097759483254e-07, 2.3059937033159517e-07, 2.670461380098539e-07, 2.704323490520645e-07]","[1.3680880300058135e-05, 1.560219183906201e-05, 1.5717587920615968e-05, 1.8200756625314724e-05, 1.8507735438485174e-05]"
7,"[1.8778326896016947e-07, 2.1458250173710914e-07, 2.164441103816777e-07, 2.506447701653796e-07, 2.547283105428941e-07]","[1.4486446055120835e-05, 1.6855273891829075e-05, 1.7032458784094718e-05, 1.9721218593970717e-05, 2.005838524942685e-05]"
8,"[2.0203077931040677e-07, 2.2808918028012578e-07, 2.2675771169595026e-07, 2.625311571378167e-07, 2.694926622900987e-07]","[1.4146291757911828e-05, 1.6725988710207737e-05, 1.729075155220882e-05, 2.0027924193286692e-05, 2.003494581090507e-05]"
9,"[2.0576069008163018e-07, 2.3143145569729561e-07, 2.2911583746806936e-07, 2.6523966029602986e-07, 2.73082315956609e-07]","[1.510935835684271e-05, 1.7370462913508583e-05, 1.736291198273612e-05, 2.0101054601155472e-05, 2.0593330314146902e-05]"
10,"[2.0691032568538447e-07, 2.3317354573967553e-07, 2.3274957777813872e-07, 2.694919756353723e-07, 2.757549614407711e-07]","[1.4045701297623228e-05, 1.6471402454788244e-05, 1.6807728209645782e-05, 1.946474973388534e-05, 1.9652004585687415e-05]"
11,"[2.1150420262092862e-07, 2.3569178016287855e-07, 2.3181951089626456e-07, 2.683563419222976e-07, 2.775321743586123e-07]","[1.39123802247659e-05, 1.566539697016049e-05, 1.5416204686936562e-05, 1.784474525626335e-05, 1.846378245432773e-05]"
12,"[1.7931490595508713e-07, 2.0945883411506284e-07, 2.1451300511895111e-07, 2.484441251900929e-07, 2.5004794972448815e-07]","[1.3110778364226554e-05, 1.5449222989709448e-05, 1.593503422240853e-05, 1.8457363624526665e-05, 1.8489696667055643e-05]"
13,"[2.087297400671267e-07, 2.413581097093156e-07, 2.434244568096484e-07, 2.818550165201486e-07, 2.868581740893377e-07]","[1.4844836481029586e-05, 1.7270020775258882e-05, 1.7524040769738616e-05, 2.0292113457359137e-05, 2.057008160210438e-05]"
