epoch,channel,lyapunov_exponent
0,0,0.0570642776306078
0,1,0.0569446804600747
0,2,0.0573878913137522
0,3,0.0573838890414566
0,4,0.057502695887315
1,0,0.0576572714504504
1,1,0.0580605146263829
1,2,0.0571630842430966
1,3,0.0573337686820334
1,4,0.0577419471969696
2,0,0.0554901253561729
2,1,0.0566726960254317
2,2,0.0574069954367245
2,3,0.0572052927463711
2,4,0.0565672054954795
3,0,0.0538748514695186
3,1,0.0553285661951548
3,2,0.0553172111740206
3,3,0.0550410302518225
3,4,0.0551841486716757
4,0,0.0574379133061917
4,1,0.0580082173708106
4,2,0.0573690086538766
4,3,0.057409596437452
4,4,0.0578998225877265
5,0,0.0577031783324903
5,1,0.0586727162941594
5,2,0.0582276002441992
5,3,0.0579827507174746
5,4,0.0584096731343905
6,0,0.0569145725154076
6,1,0.0569795839325721
6,2,0.0563538372960268
6,3,0.0564889816247545
6,4,0.0571958750235934
7,0,0.0571580915233526
7,1,0.0581938966382453
7,2,0.0588277042842284
7,3,0.0585694419979906
7,4,0.0598059611875756
8,0,0.055918359470253
8,1,0.0575243522396753
8,2,0.0579440023232193
8,3,0.0585739984317702
8,4,0.0577031261265493
9,0,0.0571950930793461
9,1,0.0579689164636802
9,2,0.0572174308566201
9,3,0.0570961753689513
9,4,0.0580001427145566
10,0,0.057394941451312
10,1,0.0580112607939906
10,2,0.0568671920519917
10,3,0.0572105450761848
10,4,0.0578205268923976
11,0,0.0554370720303503
11,1,0.0557757609116645
11,2,0.0553191665154833
11,3,0.0559155005080646
11,4,0.0556559899503015
12,0,0.0576750007711824
12,1,0.0588521711022055
12,2,0.0580767059326172
12,3,0.0581861891179812
12,4,0.0581316824520336
13,0,0.057855581899508
13,1,0.0574197194441742
13,2,0.0574765894364337
13,3,0.0573407296573414
13,4,0.0575227434265943
14,0,0.0584335119698515
14,1,0.0587367065356416
14,2,0.0587596715169221
14,3,0.0586827642433927
14,4,0.0585360617941025
15,0,0.0542814407714992
15,1,0.0570665638844651
15,2,0.0574078498739584
15,3,0.0576491983970103
15,4,0.0567728073284978
16,0,0.0562540053405396
16,1,0.0585664551312469
16,2,0.0578561568059841
16,3,0.0576414452652398
16,4,0.0583353583895718
17,0,0.0560220340577637
17,1,0.0576130362117993
17,2,0.0565626857890373
17,3,0.0567383183894896
17,4,0.0580315727517815
18,0,0.0581831160656401
18,1,0.0590748752809229
18,2,0.0576952287873158
18,3,0.0579441833496094
18,4,0.057873759229644
19,0,0.0561757833473965
19,1,0.0561624680847681
19,2,0.0558837001292216
19,3,0.0560698552950233
19,4,0.0556079173460156
20,0,0.0576744997773281
20,1,0.0579593091509065
20,2,0.0572470443560725
20,3,0.0569711393926468
20,4,0.0578469266582366
21,0,0.0578982064932907
21,1,0.0582722120525457
21,2,0.0580570009833768
21,3,0.0577541414515024
21,4,0.0583490049767466
22,0,0.0557160026486182
22,1,0.056234072837509
22,2,0.0560058153205129
22,3,0.0562324345326508
22,4,0.0570297187631157
23,0,0.0556358179868627
23,1,0.0560939401853272
23,2,0.0562868049594106
23,3,0.0565979224636634
23,4,0.0559713968137305
24,0,0.055010567856293
24,1,0.0569948893864187
24,2,0.0560188436336449
24,3,0.0556900219499421
24,4,0.0569660031981542
25,0,0.0556240851595766
25,1,0.0557458641262901
25,2,0.055255383449156
25,3,0.055328419606368
25,4,0.0558761341145346
26,0,0.0553281785889405
26,1,0.0558279660741251
26,2,0.0556447675963696
26,3,0.0560496933606207
26,4,0.0566634089548906
27,0,0.0557600328186694
27,1,0.0579791932489549
27,2,0.0574731464088322
27,3,0.0575062579810978
27,4,0.0575003217534573
28,0,0.0549811274149553
