epoch,hjorth_activity,hjorth_mobility,hjorth_complexity,perm_entropy,approx_entropy,sample_entropy,shannon_entropy
0,"[1.19948678e-10 1.50656860e-10 1.38872899e-10 1.85865625e-10
 2.07042840e-10]",[0.10103303 0.1014311  0.10263255 0.10275235 0.10180013],[1.11118744 1.16709613 1.18455447 1.24988745 1.24127357],[0.50999996 0.51216869 0.51316928 0.51342954 0.51187324],[0.43451784 0.43680066 0.44246349 0.44257905 0.43834131],[0.38793909 0.38792418 0.39015788 0.39015064 0.38837455],[2.58117202 2.63447353 2.74505164 2.74714578 2.66329102]
1,"[1.02528013e-10 1.32673099e-10 1.26994304e-10 1.70072988e-10
 1.84377527e-10]",[0.09767354 0.09670382 0.09764283 0.09777318 0.09685598],[1.14257405 1.20682596 1.22042395 1.2959717  1.2931562 ],[0.52118874 0.52088494 0.52223429 0.5219764  0.52091475],[0.41453307 0.41119875 0.41693781 0.41708616 0.41218068],[0.33483069 0.33757737 0.34639612 0.34652192 0.33960265],[2.75383767 2.7797242  2.85877792 2.86037265 2.79892809]
2,"[1.54908234e-10 1.92673855e-10 1.77014218e-10 2.36919469e-10
 2.64272854e-10]",[0.09422669 0.0943252  0.09695965 0.09709298 0.09490923],[1.35964376 1.32718702 1.29850628 1.36436381 1.38224639],[0.51630889 0.51380671 0.51460755 0.51409563 0.51489653],[0.39738393 0.39859353 0.41190703 0.41228393 0.40058719],[0.33983017 0.34203014 0.35259608 0.35286551 0.34390572],[2.75704607 2.71077695 2.74815804 2.74950734 2.71216305]
3,"[2.17884530e-10 2.80356387e-10 2.61844759e-10 3.50474799e-10
 3.87478798e-10]",[0.10011961 0.10109652 0.10307585 0.10316524 0.1016512 ],[1.72779264 1.800752   1.78694145 1.84868648 1.86895646],[0.51842932 0.51738015 0.51975584 0.51948168 0.51735611],[0.41172667 0.40677331 0.40818573 0.4081884  0.40670043],[0.3492042  0.34540467 0.34460555 0.34461552 0.34492131],[3.00420525 3.02440305 3.07541461 3.07643865 3.03702575]
4,"[9.38008269e-11 1.21034346e-10 1.17094832e-10 1.56860156e-10
 1.68495585e-10]",[0.10094854 0.10137438 0.10305296 0.10320085 0.10186778],[1.05018224 1.1104061  1.13581721 1.20513258 1.19228104],[0.51654411 0.51537143 0.51902539 0.51852446 0.51639975],[0.42821848 0.43166719 0.43961877 0.43980875 0.43346607],[0.35440013 0.35853233 0.36476355 0.3648995  0.36006728],[2.70378328 2.71821797 2.79086046 2.79239573 2.73481054]
5,"[1.70013310e-10 2.35052160e-10 2.41030626e-10 3.23119180e-10
 3.33886307e-10]",[0.0935952  0.09361766 0.09411156 0.09417276 0.09377097],[1.22909373 1.2732745  1.2914393  1.346864   1.33786173],[0.5055613  0.50238252 0.50418299 0.50472498 0.50222219],[0.40301667 0.40388522 0.40559956 0.40562434 0.40405816],[0.36170821 0.36467268 0.36409995 0.36406353 0.36512951],[2.67701155 2.65696627 2.7005267  2.70166332 2.66389899]
6,"[1.18893461e-10 1.60001997e-10 1.60537657e-10 2.15154083e-10
 2.25547451e-10]",[0.09501833 0.09383387 0.09355105 0.09362968 0.09370433],[1.31500616 1.41419204 1.43356901 1.514617   1.51206625],[0.51742358 0.51454279 0.51932506 0.5193335  0.51720519],[0.40896598 0.40146215 0.40021427 0.40036762 0.40038867],[0.352363   0.34526961 0.34241736 0.34246895 0.3437783 ],[2.82042607 2.83743078 2.90156063 2.90283304 2.85301272]
7,"[1.01859003e-10 1.34186794e-10 1.32930565e-10 1.78136937e-10
 1.88179516e-10]",[0.09320295 0.09140069 0.09268414 0.0928201  0.09151887],[1.23298322 1.27139175 1.28368695 1.36633785 1.36194403],[0.52708871 0.51773267 0.51977144 0.52001429 0.51578688],[0.40119159 0.39289822 0.39668967 0.39698832 0.39293258],[0.34097393 0.33420885 0.33707312 0.33721959 0.33434495],[2.83345658 2.81658131 2.86453045 2.86577894 2.82430461]
8,"[1.25085928e-10 1.59341285e-10 1.53661886e-10 2.05855936e-10
 2.21316871e-10]",[0.09519376 0.09512572 0.09694105 0.09706501 0.09555378],[1.26484746 1.27806532 1.27349141 1.34437888 1.34997457],[0.52362165 0.51467572 0.51781646 0.51809302 0.5143815 ],[0.40963328 0.41190431 0.4206388  0.42083485 0.4137262 ],[0.34338758 0.35142882 0.36373204 0.36392754 0.35503429],[2.81423207 2.80560349 2.86173619 2.86306829 2.8163035 ]
9,"[1.17722031e-10 1.50711105e-10 1.44600954e-10 1.93683666e-10
 2.09255191e-10]",[0.09412866 0.09327672 0.09587341 0.096028   0.09376145],[1.3002265  1.3101011  1.29476986 1.37047271 1.38531004],[0.52377477 0.51865487 0.51971844 0.51968906 0.52045554],[0.40624009 0.40249568 0.41341937 0.41371326 0.40408658],[0.35206947 0.34893575 0.35244056 0.35258176 0.34907399],[2.86396973 2.83327369 2.87405153 2.87528055 2.83769449]
10,"[1.25777689e-10 1.63492749e-10 1.61548505e-10 2.16502618e-10
 2.28776268e-10]",[0.09021008 0.09206295 0.09540759 0.09554285 0.09304546],[1.32055947 1.29749554 1.26881395 1.3384302  1.36121886],[0.51920684 0.51043034 0.50827381 0.50827541 0.50932633],[0.39273638 0.40057094 0.41467063 0.41480566 0.40436034],[0.34786187 0.35972589 0.37003585 0.37011217 0.36303746],[2.88939047 2.7987968  2.78083452 2.78125809 2.78390319]
11,"[1.44170848e-10 1.71292349e-10 1.55339569e-10 2.07950358e-10
 2.32890194e-10]",[0.09240859 0.09401591 0.0959956  0.09610471 0.09469116],[1.64164399 1.68566717 1.64489486 1.73592784 1.77532568],[0.52977944 0.52957837 0.53526096 0.53525302 0.53232398],[0.38380281 0.39673466 0.40954712 0.40976105 0.40081761],[0.32201135 0.3305581  0.33899251 0.33916483 0.33305386],[3.01424914 3.0352714  3.08441915 3.08536752 3.04772425]
12,"[9.12365068e-11 1.25502739e-10 1.30028170e-10 1.74360435e-10
 1.78547939e-10]",[0.10241024 0.10177434 0.10267239 0.10279916 0.10198576],[1.06496371 1.12635735 1.15302211 1.21937919 1.20676159],[0.51336046 0.50899916 0.51302458 0.51301149 0.50978184],[0.44157042 0.4395159  0.44360183 0.44374918 0.44063837],[0.38871222 0.39091845 0.3937106  0.39377457 0.39210146],[2.73029795 2.73066147 2.79046011 2.79177164 2.7434673 ]
13,"[1.62113995e-10 2.11094619e-10 1.99412099e-10 2.66953360e-10
 2.92839045e-10]",[0.08296163 0.08501932 0.08951157 0.08965702 0.0862156 ],[1.45621395 1.52097284 1.50164149 1.57926608 1.60707221],[0.50577169 0.50711879 0.51273952 0.51274634 0.5095832 ],[0.35125997 0.35965343 0.37927663 0.37972219 0.36477124],[0.30348507 0.31198104 0.32760379 0.32788416 0.31639103],[2.76341384 2.75342994 2.79311297 2.79410547 2.76045507]
14,"[9.94604737e-11 1.32965553e-10 1.31050711e-10 1.75572372e-10
 1.86613255e-10]",[0.10116541 0.10084975 0.10158851 0.101708   0.10105347],[1.05777197 1.10814981 1.12910348 1.194672   1.18367105],[0.50889671 0.50784732 0.51022358 0.50995324 0.50729821],[0.43640475 0.43506678 0.43781434 0.4378822  0.4355617 ],[0.38228837 0.38596296 0.38724788 0.38724852 0.38655924],[2.68542312 2.66830472 2.70745742 2.70853052 2.67415025]
