mean,std,variance,skew,kurtosis,rms,zcr,delta_power,delta_relative_power,theta_power,theta_relative_power,alpha_power,alpha_relative_power,beta_power,beta_relative_power,gamma_power,gamma_relative_power,epoch
"[-5.05262797e-08 -6.04669395e-08 -5.93762214e-08 -6.86658364e-08
 -7.17383128e-08]","[1.09521084e-05 1.22742356e-05 1.17844346e-05 1.36332544e-05
 1.43889833e-05]","[1.19948678e-10 1.50656860e-10 1.38872899e-10 1.85865625e-10
 2.07042840e-10]",[0.2722711  0.22145992 0.14679817 0.14557408 0.1999037 ],[0.12377617 0.06865547 0.03546684 0.03529512 0.05475939],"[1.09522249e-05 1.22743846e-05 1.17845842e-05 1.36334273e-05
 1.43891621e-05]",[0.03255208 0.03261719 0.03391927 0.03391927 0.03248698],"[8.28779544e-12 1.15476848e-11 1.21253553e-11 1.62625926e-11
 1.64989262e-11]",[0.15668815 0.17104006 0.19229063 0.19266574 0.17699985],"[2.73382135e-11 3.43274672e-11 3.12327323e-11 4.17880328e-11
 4.70565353e-11]",[0.51685325 0.50844581 0.49530604 0.49507003 0.50482071],"[3.54589718e-11 4.40630903e-11 3.89272988e-11 5.20499500e-11
 5.99869507e-11]",[0.67038341 0.65264628 0.61733075 0.61664473 0.64353771],"[2.31461624e-12 2.99907072e-12 3.21190408e-12 4.31236989e-12
 4.26567961e-12]",[0.04375988 0.04442113 0.05093616 0.05108939 0.04576205],"[5.64285912e-14 7.46248524e-14 8.48702143e-14 1.14074911e-13
 1.07826237e-13]",[0.00106683 0.00110532 0.00134592 0.00135147 0.00115676],0
"[-7.26893240e-08 -9.99435160e-08 -1.11500656e-07 -1.29237464e-07
 -1.23517569e-07]","[1.01256118e-05 1.15183809e-05 1.12691749e-05 1.30412035e-05
 1.35785687e-05]","[1.02528013e-10 1.32673099e-10 1.26994304e-10 1.70072988e-10
 1.84377527e-10]",[0.22250424 0.22943282 0.21377695 0.21335823 0.2269711 ],[0.79681836 0.7452772  0.74935309 0.74977777 0.74073839],"[1.01258727e-05 1.15188145e-05 1.12697265e-05 1.30418438e-05
 1.35791304e-05]",[0.03105469 0.0297526  0.03157552 0.03157552 0.03066406],"[8.27491988e-12 1.14357278e-11 1.17098938e-11 1.56975593e-11
 1.62386872e-11]",[0.18939118 0.2035912  0.21787356 0.21807564 0.20821608],"[2.30022739e-11 2.95986979e-11 2.77827767e-11 3.71915952e-11
 4.09479779e-11]",[0.52646164 0.52694804 0.51692463 0.51667784 0.52504412],"[2.57858105e-11 3.20610492e-11 2.92370298e-11 3.91245840e-11
 4.39109814e-11]",[0.59016948 0.57078548 0.54398237 0.54353155 0.56303642],"[2.42290871e-12 3.04550849e-12 3.29037251e-12 4.41981492e-12
 4.32342590e-12]",[0.05545402 0.05421944 0.06122047 0.06140152 0.05543593],"[5.87830150e-14 6.43812072e-14 6.81418771e-14 9.16191386e-14
 8.92599694e-14]",[0.00134539 0.00114618 0.00126784 0.0012728  0.00114451],1
"[1.93575213e-08 2.30655133e-08 2.25492520e-08 2.60870561e-08
 2.73402946e-08]","[1.24462137e-05 1.38807008e-05 1.33046690e-05 1.53921886e-05
 1.62564711e-05]","[1.54908234e-10 1.92673855e-10 1.77014218e-10 2.36919469e-10
 2.64272854e-10]",[0.55083299 0.48996061 0.38057238 0.37856324 0.46054372],[1.24507541 0.96071132 0.61309462 0.60792257 0.85308947],"[1.24462287e-05 1.38807200e-05 1.33046881e-05 1.53922107e-05
 1.62564941e-05]",[0.03190104 0.03242188 0.03111979 0.03111979 0.03177083],"[1.13850443e-11 1.45934690e-11 1.39727510e-11 1.87143769e-11
 2.02573252e-11]",[0.1932403  0.19110217 0.19138738 0.19141529 0.1908874 ],"[2.97889948e-11 3.88900674e-11 3.68722180e-11 4.93641231e-11
 5.40059825e-11]",[0.5056137  0.50926729 0.50504566 0.50490849 0.50890538],"[3.52893683e-11 4.64733475e-11 4.40589589e-11 5.89803024e-11
 6.46062526e-11]",[0.59897248 0.60857071 0.60348379 0.60326515 0.6087931 ],"[3.42843791e-12 3.84113031e-12 3.96226987e-12 5.32308746e-12
 5.31401314e-12]",[0.05819146 0.05029979 0.05427195 0.05444586 0.05007464],"[1.29733563e-13 1.01772370e-13 1.02826080e-13 1.38737651e-13
 1.31270594e-13]",[0.00220199 0.00133271 0.00140843 0.00141904 0.00123698],2
"[3.10019918e-07 3.20473929e-07 2.62647504e-07 3.02835153e-07
 3.61309513e-07]","[1.47609122e-05 1.67438462e-05 1.61816179e-05 1.87209722e-05
 1.96844812e-05]","[2.17884530e-10 2.80356387e-10 2.61844759e-10 3.50474799e-10
 3.87478798e-10]",[-0.03716047 -0.07176431 -0.08509015 -0.08506179 -0.07883823],[0.29469993 0.42942188 0.66186939 0.66631849 0.49056149],"[1.47641675e-05 1.67469129e-05 1.61837494e-05 1.87234214e-05
 1.96877968e-05]",[0.03144531 0.03183594 0.03157552 0.03144531 0.03157552],"[1.17513710e-11 1.44242073e-11 1.34260961e-11 1.79780784e-11
 1.97986145e-11]",[0.16916571 0.16357375 0.162738   0.16277547 0.16268128],"[3.11652865e-11 3.89279578e-11 3.53784432e-11 4.73362512e-11
 5.33144416e-11]",[0.44863684 0.44145178 0.42882288 0.42858756 0.43807417],"[4.12885198e-11 5.25529134e-11 4.85410364e-11 6.49610360e-11
 7.23767071e-11]",[0.59436485 0.59596184 0.58836695 0.58816427 0.59470501],"[7.97004789e-12 1.04773471e-11 1.03880381e-11 1.39213486e-11
 1.46917860e-11]",[0.11473205 0.11881547 0.12591363 0.1260454  0.12071949],"[5.36601329e-13 7.55793612e-13 7.83689606e-13 1.05075423e-12
 1.07838049e-12]",[0.00772459 0.00857087 0.00949912 0.00951364 0.00886084],3
"[-1.79332270e-07 -1.78442415e-07 -1.37971199e-07 -1.58893708e-07
 -1.98150482e-07]","[9.68508270e-06 1.10015611e-05 1.08210365e-05 1.25243824e-05
 1.29805849e-05]","[9.38008269e-11 1.21034346e-10 1.17094832e-10 1.56860156e-10
 1.68495585e-10]",[0.34098223 0.29428977 0.20978655 0.20827481 0.27125916],[0.64730172 0.51336579 0.43530207 0.43455971 0.48221783],"[9.68674285e-06 1.10030081e-05 1.08219161e-05 1.25253903e-05
 1.29820972e-05]",[0.03125    0.03085938 0.03164062 0.03177083 0.03111979],"[7.58603418e-12 1.00420393e-11 1.00902333e-11 1.35255713e-11
 1.41317015e-11]",[0.18250336 0.18620033 0.1922794  0.19238709 0.1878772 ],"[1.94156792e-11 2.47548718e-11 2.36120808e-11 3.16239061e-11
 3.43131394e-11]",[0.46709871 0.4590069  0.44995161 0.44981695 0.45618404],"[2.66988080e-11 3.45656864e-11 3.28003919e-11 4.39175402e-11
 4.79579795e-11]",[0.64231483 0.64091984 0.62504399 0.62468102 0.63758855],"[2.13358961e-12 2.75998230e-12 3.03798209e-12 4.08131745e-12
 3.94819445e-12]",[0.05132949 0.05117582 0.05789176 0.05805247 0.05249019],"[3.43361045e-14 4.36611849e-14 5.81264627e-14 7.83792338e-14
 6.51939272e-14]",[0.00082605 0.00080957 0.00110766 0.00111486 0.00086674],4
"[-4.14722673e-08 -5.76883620e-08 -6.49517457e-08 -7.52942755e-08
 -7.15122805e-08]","[1.30389152e-05 1.53314109e-05 1.55251611e-05 1.79755161e-05
 1.82725561e-05]","[1.70013310e-10 2.35052160e-10 2.41030626e-10 3.23119180e-10
 3.33886307e-10]",[0.3176358  0.30933605 0.32060639 0.32091561 0.31082405],[0.53290868 0.40911532 0.57743165 0.58231857 0.42878031],"[1.30389812e-05 1.53315194e-05 1.55252969e-05 1.79756738e-05
 1.82726961e-05]",[0.0313151  0.0313151  0.03209635 0.03222656 0.0311849 ],"[1.17772690e-11 1.62773229e-11 1.79661614e-11 2.41246271e-11
 2.34838357e-11]",[0.17517173 0.17325109 0.18455892 0.18483557 0.17537211],"[3.42029951e-11 4.67052761e-11 4.67526247e-11 6.26470810e-11
 6.59225685e-11]",[0.50872556 0.49711738 0.48027032 0.47998291 0.4922952 ],"[4.22765291e-11 5.99043243e-11 6.09601011e-11 8.16895997e-11
 8.52003223e-11]",[0.628809   0.63760421 0.62621783 0.6258809  0.63625722],"[2.71985966e-12 3.40633862e-12 3.66137291e-12 4.91782124e-12
 4.82793485e-12]",[0.04045441 0.03625608 0.03761177 0.03767885 0.03605395],"[6.11648083e-14 7.68292490e-14 8.98152773e-14 1.20840671e-13
 1.11000259e-13]",[0.00090975 0.00081775 0.00092264 0.00092584 0.00082893],5
"[2.26813916e-08 5.20141965e-08 7.67128211e-08 8.92278490e-08
 7.11276260e-08]","[1.09038278e-05 1.26491896e-05 1.26703456e-05 1.46681315e-05
 1.50182373e-05]","[1.18893461e-10 1.60001997e-10 1.60537657e-10 2.15154083e-10
 2.25547451e-10]",[0.22049361 0.18991494 0.14275026 0.14200414 0.17602445],[0.25839422 0.30075412 0.28727131 0.28671036 0.30218879],"[1.09038514e-05 1.26492965e-05 1.26705778e-05 1.46684029e-05
 1.50184057e-05]",[0.03040365 0.0296224  0.03053385 0.03040365 0.02988281],"[7.69153865e-12 1.08758595e-11 1.20896359e-11 1.62330555e-11
 1.57558123e-11]",[0.1816846  0.19399503 0.21389299 0.21423918 0.19956356],"[2.00359352e-11 2.61927737e-11 2.59593612e-11 3.47903284e-11
 3.67000758e-11]",[0.47327602 0.46720609 0.45927979 0.4591527  0.46484419],"[2.63322757e-11 3.43202784e-11 3.30255870e-11 4.42306948e-11
 4.77882475e-11]",[0.62200414 0.61217812 0.5842973  0.58374393 0.60528728],"[3.01610968e-12 3.93728610e-12 4.14193600e-12 5.55850517e-12
 5.58404082e-12]",[0.07124461 0.07023021 0.07328021 0.07335955 0.07072762],"[1.33426889e-13 1.80267826e-13 1.80865125e-13 2.42407423e-13
 2.54243757e-13]",[0.00315172 0.00321548 0.00319991 0.00319922 0.00322026],6
"[-5.99465290e-08 -7.35484052e-08 -7.40966343e-08 -8.57512596e-08
 -8.79822035e-08]","[1.00925221e-05 1.15839024e-05 1.15295518e-05 1.33467950e-05
 1.37178539e-05]","[1.01859003e-10 1.34186794e-10 1.32930565e-10 1.78136937e-10
 1.88179516e-10]",[0.32086436 0.35698278 0.37183577 0.37190335 0.36385425],[0.9918872  0.93546089 1.15053193 1.15622369 0.96877649],"[1.00927002e-05 1.15841358e-05 1.15297899e-05 1.33470705e-05
 1.37181360e-05]",[0.02955729 0.02838542 0.03046875 0.03046875 0.02903646],"[9.31029672e-12 1.31459095e-11 1.38727325e-11 1.86060073e-11
 1.88306399e-11]",[0.22446644 0.23701014 0.24742528 0.24754998 0.24065915],"[2.30292164e-11 3.13085025e-11 3.14506066e-11 4.21476865e-11
 4.41987854e-11]",[0.55522251 0.56446704 0.56093312 0.56076829 0.56486886],"[2.20907300e-11 2.86918568e-11 2.78270377e-11 3.72766859e-11
 3.99955307e-11]",[0.53259609 0.51729103 0.49630544 0.4959604  0.51115047],"[2.40143582e-12 2.83898052e-12 3.11047925e-12 4.18173118e-12
 4.00968688e-12]",[0.05789738 0.05118453 0.05547654 0.05563727 0.05124456],"[7.77324267e-14 7.00315202e-14 7.07423646e-14 9.52403769e-14
 9.29662974e-14]",[0.00187409 0.00126261 0.00126172 0.00126716 0.00118813],7
"[-3.38108118e-08 -2.07453384e-08 -5.16012870e-11  3.27622519e-10
 -1.71798147e-08]","[1.11841821e-05 1.26230458e-05 1.23960431e-05 1.43476805e-05
 1.48767224e-05]","[1.25085928e-10 1.59341285e-10 1.53661886e-10 2.05855936e-10
 2.21316871e-10]",[ 0.09826682  0.00455941 -0.09037256 -0.09157664 -0.02735834],[0.38763254 0.20650906 0.314691   0.3192844  0.20145705],"[1.11842332e-05 1.26230628e-05 1.23960431e-05 1.43476805e-05
 1.48767324e-05]",[0.0296875  0.02890625 0.03059896 0.03072917 0.02942708],"[9.42307376e-12 1.38465488e-11 1.55715368e-11 2.09074238e-11
 2.01953199e-11]",[0.20117709 0.22034378 0.24372972 0.24409452 0.2274525 ],"[2.07988810e-11 2.85642629e-11 2.96939454e-11 3.98215760e-11
 4.06578457e-11]",[0.4440439  0.45455065 0.46477731 0.46491756 0.45791445],"[2.85019698e-11 3.73285937e-11 3.58946297e-11 4.80704355e-11
 5.20015175e-11]",[0.60850033 0.59401976 0.56183203 0.56122313 0.58567408],"[2.91796435e-12 3.35005001e-12 3.51493036e-12 4.72259935e-12
 4.66799511e-12]",[0.06229683 0.05331023 0.0550166  0.05513643 0.05257392],"[7.49578017e-14 7.57908302e-14 8.30724736e-14 1.11865738e-13
 1.04578688e-13]",[0.00160031 0.00120608 0.00130027 0.00130603 0.00117783],8
"[-5.42327014e-08 -7.35848020e-08 -8.12128750e-08 -9.41154591e-08
 -9.06182815e-08]","[1.08499784e-05 1.22764451e-05 1.20250137e-05 1.39170279e-05
 1.44656556e-05]","[1.17722031e-10 1.50711105e-10 1.44600954e-10 1.93683666e-10
 2.09255191e-10]",[0.04463573 0.0329389  0.02413429 0.02410507 0.02914181],[0.36648766 0.41006644 0.42550711 0.42537838 0.4199954 ],"[1.08501139e-05 1.22766657e-05 1.20252879e-05 1.39173462e-05
 1.44659394e-05]",[0.02981771 0.02903646 0.02916667 0.02903646 0.02916667],"[1.14091165e-11 1.58474626e-11 1.63449030e-11 2.19135930e-11
 2.25502072e-11]",[0.24487947 0.257573   0.26537231 0.26543629 0.26072175],"[2.34944596e-11 3.05839806e-11 2.96886879e-11 3.97705703e-11
 4.26530866e-11]",[0.50427313 0.49708952 0.48201911 0.48173536 0.4931479 ],"[2.50573330e-11 3.30558208e-11 3.25961605e-11 4.36759162e-11
 4.63218669e-11]",[0.53781785 0.53726499 0.52922421 0.52904027 0.53556573],"[2.67099267e-12 2.98139731e-12 3.23262055e-12 4.34756800e-12
 4.16704585e-12]",[0.05732883 0.04845744 0.05248413 0.05266148 0.04817869],"[1.23436038e-13 1.12315421e-13 1.13704890e-13 1.53063782e-13
 1.49454941e-13]",[0.00264937 0.00182549 0.00184609 0.00185404 0.00172797],9
