epoch,higuchi_fd,lyapunov_exponent,hurst_exponent
0,"[0.9635736523334115, 0.9637429277207353, 0.9620803615702523, 0.9620452107216443, 0.963381015381962]","[-21.752160158425138, -21.524348304899096, -21.606067112596207, -21.314607545246723, -21.206496550894293]","[0.25847744247189003, 0.27839643845824363, 0.2465791885857342, 0.2453016429179805, 0.28028333381128967]"
1,"[0.956941466931695, 0.9587911690219428, 0.9578411755858887, 0.9578015133566382, 0.9589212504097404]","[-21.90865091219751, -21.650723156480336, -21.694548363242497, -21.40246657824364, -21.321619138227145]","[0.3015845981954936, 0.31589611891688885, 0.3180347119377543, 0.31808023844489924, 0.31695233029401476]"
2,"[0.9569824200408249, 0.9610711157018016, 0.9608373401452566, 0.9607818426214623, 0.961507854155394]","[-21.495542976962867, -21.27743675415112, -21.36258678641244, -21.071105325849583, -20.961534258309477]","[0.2677799589546782, 0.2518423591745225, 0.24052439058738787, 0.24030077409008913, 0.2507177711325328]"
3,"[0.9465033006160347, 0.9467329801460891, 0.9448597050890153, 0.9448089829152899, 0.9464992466753434]","[-21.155678619504105, -20.903488546977606, -20.97183993948074, -20.680304973467994, -20.579884973302203]","[0.5292681452909548, 0.5097831085113591, 0.49761575629700583, 0.4973177884481199, 0.506542291960391]"
4,"[0.962208073557379, 0.9621102698487365, 0.9595763443943983, 0.9595256221800529, 0.9616338443935958]","[-22.00211116257295, -21.746363936020593, -21.77851993907345, -21.486135435452663, -21.415235911400856]","[0.19691391197359975, 0.20209076450797292, 0.21458738082961037, 0.21486481111507225, 0.2050505422804385]"
5,"[0.9660936731833403, 0.9679512093445194, 0.9673913972324398, 0.9673664360433117, 0.9681507030103828]","[-21.4027255523806, -21.078637942328104, -21.05343858477994, -20.760340810041654, -20.727609543059955]","[0.38667838459341536, 0.40759700952398836, 0.457327106069438, 0.4586260673403445, 0.4131612267660736]"
6,"[0.9548670152784381, 0.9558772693452285, 0.9545694401455644, 0.9545339865061294, 0.955727463623866]","[-21.760443849362883, -21.46321263942332, -21.459713776640257, -21.166886687296824, -21.11980371322543]","[0.47069449611668435, 0.5264510537731037, 0.5749106394338133, 0.5753943809470422, 0.5480975938658105]"
7,"[0.955397888635168, 0.9591765880061066, 0.9582130782835848, 0.9581572681445013, 0.9593903847141938]","[-21.91470697702279, -21.638816818552844, -21.64834639598398, -21.35562600073193, -21.300647518742366]","[0.3786410927185538, 0.3475670394330931, 0.30888222004025184, 0.30813755876224197, 0.3375663941396116]"
8,"[0.9563474948197996, 0.9607500142703022, 0.960054828533009, 0.9599940623088365, 0.9614387158981174]","[-21.70940619258588, -21.467322940581802, -21.503831897621634, -21.21141541270808, -21.138813714265204]","[0.8729017287335105, 0.809203390624915, 0.6996083504087254, 0.6975740497170722, 0.7784631900869934]"
9,"[0.9557726723007742, 0.959269301346931, 0.9580083713308648, 0.9579445529006989, 0.9596458821022223]","[-21.77027263672444, -21.523042132819484, -21.564664580005175, -21.272423824062543, -21.194874022200857]","[0.49875311849993215, 0.4572199024008221, 0.389066242259125, 0.3878429974733875, 0.4400254628248821]"
