epoch,channel,lyapunov_exponent
0,0,0.048364683153534926
0,1,0.048532730413943063
0,2,0.04869090008134611
0,3,0.0483806385255519
0,4,0.047847880836294585
1,0,0.05137786008873777
1,1,0.05077938862923107
1,2,0.0505143894868739
1,3,0.05052975470278449
1,4,0.05086328696517681
2,0,0.05041187400863663
2,1,0.05052024291772372
2,2,0.05021020735870027
2,3,0.050403546016184894
2,4,0.05015064308193984
3,0,0.0492046881008264
3,1,0.04914775820911884
3,2,0.048948650566183464
3,3,0.048772403263673915
3,4,0.04914003337846368
4,0,0.049812991129679594
4,1,0.05031182503213698
4,2,0.05001590069316315
4,3,0.04962054221713091
4,4,0.04879675129023787
5,0,0.047743877946686504
5,1,0.04792545950570182
5,2,0.048103034808283734
5,3,0.04776899793425695
5,4,0.047041279493975185
6,0,0.04894407091449872
6,1,0.04909001349257966
6,2,0.048966040136147325
6,3,0.0488397484237835
6,4,0.04825162908180863
7,0,0.04741458302070838
7,1,0.04705770568114949
7,2,0.04721271441621098
7,3,0.04703004445491581
7,4,0.0477571253873865
8,0,0.04884758792433002
8,1,0.048684479483321816
8,2,0.048706804254905194
8,3,0.04813190199175397
8,4,0.04824581796524764
9,0,0.0499009807627887
9,1,0.04961481064593813
9,2,0.04994348752684687
9,3,0.04966806033937023
9,4,0.04920030408403598
10,0,0.04979984022417578
10,1,0.04928098790785853
10,2,0.04924425420497796
10,3,0.048912359423139366
10,4,0.04820169213009919
11,0,0.04747098787635192
11,1,0.04728747959755193
11,2,0.04733830844654773
11,3,0.047418274621860525
11,4,0.04644328471134558
12,0,0.049874671304068544
12,1,0.050035945438966695
12,2,0.05011223260666567
12,3,0.05010510498449869
12,4,0.049215077678410386
13,0,0.047610791173158896
13,1,0.047158842418803526
13,2,0.04718531463183423
13,3,0.04810049952292938
13,4,0.04762851554806479
14,0,0.05044566654786922
14,1,0.05047578346829454
14,2,0.04973434732169252
14,3,0.04898084574100637
14,4,0.04823615034087367
15,0,0.046258664446003114
15,1,0.04639867413945577
15,2,0.04606641799175735
15,3,0.045232967042407826
15,4,0.04581092316992716
16,0,0.049439243623474884
16,1,0.04913335239186017
16,2,0.04889443368900305
16,3,0.04801984871707473
16,4,0.048217612011235186
17,0,0.050656405582863134
17,1,0.05084026231342152
17,2,0.05069411333869484
17,3,0.049769953971578886
17,4,0.048366331304250214
18,0,0.052355975486508305
18,1,0.05205167278092893
18,2,0.051933951956026514
18,3,0.0507298701951484
18,4,0.05026283648835524
19,0,0.04889047959271601
19,1,0.049285655439544114
19,2,0.04907908697231348
19,3,0.048590582976965196
19,4,0.04947679169323981
20,0,0.051159304221566664
20,1,0.05121099066762939
20,2,0.050910402139982026
20,3,0.05083647495558281
20,4,0.050612319222733106
21,0,0.051062220908871477
21,1,0.051209861370695685
21,2,0.050545498732329955
21,3,0.05184902726959925
21,4,0.05108922818700245
22,0,0.05223073961640333
22,1,0.05190018011599184
22,2,0.05135683029925851
22,3,0.05117100512995741
22,4,0.05081363911531415
23,0,0.05240613060409709
23,1,0.05220099889931578
23,2,0.0524092466576476
23,3,0.052189508234324014
23,4,0.05224171477062504
24,0,0.054009277783379016
24,1,0.05449710126970713
24,2,0.054782489946051664
24,3,0.053652618105958214
24,4,0.05358998036470464
25,0,0.05414618415420383
25,1,0.05383717407556295
25,2,0.0541664470200922
25,3,0.05470228275331141
25,4,0.05354373066365228
26,0,0.05058560640442724
26,1,0.05035540481146092
26,2,0.05034103810286329
26,3,0.04918272364182496
26,4,0.048632453423874435
27,0,0.0496944655547767
27,1,0.05064066356828375
27,2,0.050515541314792606
27,3,0.04893494320946158
27,4,0.04934424914374932
28,0,0.05220192134165682
28,1,0.052114381503944464
28,2,0.0522017779584979
28,3,0.05087841148422269
28,4,0.05094018540033213
29,0,0.05270463208476773
29,1,0.05205059074411026
29,2,0.05272915939752375
29,3,0.05205947756910389
29,4,0.05219954409376065
30,0,0.05364483300949785
30,1,0.05322711468315371
30,2,0.053690165763571135
30,3,0.05226085378914742
30,4,0.052613880207844854
31,0,0.05237889242916412
31,1,0.052617509986172234
31,2,0.05173348237915766
31,3,0.05223326134653096
31,4,0.051521700873953205
32,0,0.05149162700053178
32,1,0.05140836232564325
32,2,0.051298584268302215
32,3,0.050848610318150876
32,4,0.05117180104158361
33,0,0.05175656665559294
33,1,0.052266509890699524
33,2,0.0518248418599619
33,3,0.052272547645156875
33,4,0.0519692984921021
34,0,0.05259915117169924
34,1,0.05264255065734803
34,2,0.05237565021125639
34,3,0.052788133609767175
34,4,0.05226435332739064
35,0,0.05396356946709364
35,1,0.053645917336050675
35,2,0.05313461683806836
