epoch,stft_mean_power,wavelet_mean_power
0,"[2.838059621903657e-07, 3.984168522551435e-07, 3.974077619781763e-07, 3.683859478788783e-07, 3.6142190842063937e-07]","[1.6096963854752362e-05, 2.2552700514310808e-05, 2.220097866896055e-05, 1.978106923646552e-05, 1.9218787915825833e-05]"
1,"[3.08440087567005e-07, 4.335968637937856e-07, 4.3626139464700606e-07, 4.1902988320848854e-07, 4.2346180355006133e-07]","[1.6845272345025948e-05, 2.3605361819729236e-05, 2.3277561326709544e-05, 2.1069791253220962e-05, 2.0991545019052455e-05]"
2,"[4.09520159443184e-07, 5.77391545276336e-07, 5.915112505460109e-07, 5.940883859658886e-07, 6.027780399583952e-07]","[1.684686184723696e-05, 2.3661610750383565e-05, 2.3683887302224747e-05, 2.246145904664039e-05, 2.281567735077298e-05]"
3,"[3.095760412968371e-07, 4.3502942729468714e-07, 4.3643371581044825e-07, 4.1249928827371333e-07, 4.080530862651141e-07]","[1.6284503052402823e-05, 2.282166061075082e-05, 2.2502344233774832e-05, 2.013326578460771e-05, 1.965957004988347e-05]"
4,"[3.362282655593515e-07, 4.7348745767131927e-07, 4.815290635105064e-07, 4.762188289592075e-07, 4.820339808997963e-07]","[1.6952791463867202e-05, 2.3814676491134475e-05, 2.3855194924582746e-05, 2.267011297792299e-05, 2.2849813529822078e-05]"
5,"[3.861836815000161e-07, 5.444335986150453e-07, 5.576129078378327e-07, 5.594642000335098e-07, 5.665425336245293e-07]","[1.7866449805004127e-05, 2.5134471162372298e-05, 2.5412082298497434e-05, 2.480564830647812e-05, 2.5224279993203123e-05]"
6,"[3.7428489935776646e-07, 5.273130228909705e-07, 5.373210920654976e-07, 5.250685710742023e-07, 5.141276274929473e-07]","[1.691829669183511e-05, 2.379467826321059e-05, 2.4010108353943604e-05, 2.3152920380987743e-05, 2.333574239038044e-05]"
7,"[3.965986609031185e-07, 5.576358033587208e-07, 5.610322390880584e-07, 5.252919874738232e-07, 4.971583324283929e-07]","[1.664666295083396e-05, 2.3340541077479337e-05, 2.3092963196566866e-05, 2.092138826463277e-05, 2.0435384781819864e-05]"
8,"[3.1576260343346105e-07, 4.4438082589292206e-07, 4.498287660498368e-07, 4.333568856512368e-07, 4.2752870075096e-07]","[1.5217497998097395e-05, 2.1387934635485092e-05, 2.1497187819492304e-05, 2.0699142782287502e-05, 2.1400871940385337e-05]"
9,"[3.149449455037186e-07, 4.429815380869841e-07, 4.4696078374290407e-07, 4.27348309636222e-07, 4.2114886922922947e-07]","[1.5852907696990847e-05, 2.2265571085246226e-05, 2.226350534699429e-05, 2.0810904497207905e-05, 2.0334442192617384e-05]"
10,"[3.7541558804636224e-07, 5.288630572333821e-07, 5.390634248746728e-07, 5.324576183866244e-07, 5.319927226508217e-07]","[1.960215183613021e-05, 2.7565615183112935e-05, 2.7790194119405832e-05, 2.6708684403998846e-05, 2.6752970752268484e-05]"
11,"[4.36943875406432e-07, 6.156458376813221e-07, 6.279579698880965e-07, 6.176890919929049e-07, 6.101016523014231e-07]","[2.019878667621626e-05, 2.8372438747436344e-05, 2.8380723749840843e-05, 2.641030080236143e-05, 2.566248148197907e-05]"
12,"[3.77133367040777e-07, 5.31185642951127e-07, 5.408488783529025e-07, 5.354373605968918e-07, 5.405269941778024e-07]","[1.967898885525636e-05, 2.7655193024204654e-05, 2.7778478324778468e-05, 2.670505613735589e-05, 2.7375291850953308e-05]"
13,"[3.985182573045461e-07, 5.611568984225449e-07, 5.700206145387523e-07, 5.527642766147739e-07, 5.389121891842198e-07]","[1.987064012952987e-05, 2.7918249621947562e-05, 2.7971797202704854e-05, 2.6073852904188813e-05, 2.50537972914083e-05]"
14,"[3.349833359951216e-07, 4.7183442387875863e-07, 4.809118453906531e-07, 4.799257094867727e-07, 4.930084849582572e-07]","[1.9577016741621275e-05, 2.752634072870718e-05, 2.774138170912472e-05, 2.6867970844089998e-05, 2.7295827575590727e-05]"
15,"[3.616358720174792e-07, 5.1005604702676e-07, 5.236278164037983e-07, 5.3047065743428e-07, 5.413232540402194e-07]","[1.7922666144457086e-05, 2.5211902989835184e-05, 2.5473639211477414e-05, 2.4769620636890008e-05, 2.5069482853773024e-05]"
16,"[3.3484685295975644e-07, 4.715202613735113e-07, 4.793518484024061e-07, 4.7409496722322595e-07, 4.842075708512364e-07]","[1.8848969187802587e-05, 2.6480697134572187e-05, 2.653425785767053e-05, 2.511019982592568e-05, 2.523451315204045e-05]"
17,"[3.9593676628108445e-07, 5.575160433820361e-07, 5.667414649645823e-07, 5.586977565660602e-07, 5.669678003638579e-07]","[2.2573587036508592e-05, 3.171976444186433e-05, 3.183431354543821e-05, 3.031708040067815e-05, 3.0455929632964364e-05]"
18,"[4.05266901880061e-07, 5.707897157459483e-07, 5.809662613106288e-07, 5.746081101414482e-07, 5.839840413038701e-07]","[2.0413826267643677e-05, 2.867991131393628e-05, 2.8780271199367554e-05, 2.783049299158821e-05, 2.880664058386115e-05]"
19,"[3.487569942020027e-07, 4.911209683442122e-07, 4.994322945557679e-07, 4.939393367421647e-07, 5.006124688221122e-07]","[1.7994778801027632e-05, 2.527827464183951e-05, 2.533189547937263e-05, 2.4087272908727485e-05, 2.4290392635484356e-05]"
