epoch,higuchi_fd,lyapunov_exponent,hurst_exponent
0,"[0.8844312187869615, 0.8842944623702446, 0.8834514839649475, 0.8815489270049969, 0.8842602188443572]","[-21.419648585697164, -20.74041297514652, -20.740580427128506, -20.86463659449541, -20.869216658669878]","[0.2647774399025648, 0.2662433810390768, 0.2754277588178834, 0.3103915866422297, 0.3473077421134868]"
1,"[0.9023506275859222, 0.9021910511331754, 0.9014492705253108, 0.901713531686751, 0.9051692808648156]","[-21.07625787514005, -20.392915209612287, -20.366799711279906, -20.40889493587425, -20.37991846628607]","[0.6374236629791795, 0.6410080059453581, 0.6649174779005043, 0.7688865729437447, 0.7062737548234517]"
2,"[0.8903454414483695, 0.890304202634147, 0.8901732500468954, 0.8928435610824293, 0.8977170266578512]","[-20.1217604712261, -19.4295697941666, -19.350911290994574, -19.270367237121135, -19.231398195404818]","[0.6047133556613219, 0.6071930064981903, 0.6230219359772584, 0.6697981975638648, 0.6930729255800749]"
3,"[0.88795060935008, 0.8878052233520182, 0.886990249480255, 0.8870124006851713, 0.8932446437631302]","[-21.117726476188736, -20.43461837609743, -20.41066715491008, -20.46926203236338, -20.466097200063206]","[0.7223392775993372, 0.7258852462108388, 0.7497269710600417, 0.7584358424320837, 0.6792908753946981]"
4,"[0.8934631106544934, 0.8934291835924234, 0.893205735297217, 0.893601083901903, 0.8970021997857681]","[-20.95711717573529, -20.27032120097151, -20.223441470210503, -20.215812475723162, -20.18550861236115]","[0.5291817457156152, 0.5292511558948503, 0.5223949928039922, 0.4760554526967992, 0.44373316395082457]"
5,"[0.8746962661945051, 0.874543100022263, 0.8735687447084386, 0.8717483153803394, 0.8731662268097561]","[-20.655607137877958, -19.967178130944202, -19.910441192633183, -19.87822119016198, -19.842485994444583]","[0.4226208018376974, 0.4250476776317451, 0.4420790655645496, 0.5035312878825895, 0.5603523197206579]"
6,"[0.8789117196327431, 0.8789771626550458, 0.8794939233035308, 0.8830880624343882, 0.8898905788961792]","[-20.645173641255422, -19.957246683628764, -19.904590749521116, -19.89774962535234, -19.899545500516282]","[0.3072523553317892, 0.3070962734044962, 0.3061806803807495, 0.30422624738749027, 0.30480244121463174]"
7,"[0.8608321161340889, 0.8608773989293954, 0.8613114420732466, 0.8656215543501748, 0.8754956003325427]","[-20.58458134591591, -19.90390700469177, -19.89636735361279, -20.020751853173792, -20.07657851451869]","[0.4362212931614752, 0.43277168136693167, 0.41385370838103025, 0.3690366200525247, 0.35836260158989236]"
8,"[0.8816924219217694, 0.8816505162222049, 0.8816279097785475, 0.8853421344082202, 0.8922364218048096]","[-21.107133798131148, -20.4230914063094, -20.394126931341734, -20.451155064699783, -20.473599397550327]","[0.4119578492986782, 0.4119381440982573, 0.41259582143144247, 0.4112207052559861, 0.4068209975518378]"
9,"[0.888309500749965, 0.8882547823338132, 0.8879584636650596, 0.8888928483961213, 0.8931957332950345]","[-21.103591061669665, -20.420666510405475, -20.398710253577203, -20.475891194256988, -20.505544358517014]","[0.4779379652298608, 0.47752016767911, 0.47239708400000735, 0.4426861531254007, 0.40428952138805685]"
10,"[0.8829282728487171, 0.8827710325544125, 0.8820151049326218, 0.8809509677662826, 0.8829377183074792]","[-20.80797593743961, -20.122855102847836, -20.087052657283184, -20.122196534148227, -20.13140057684427]","[0.39056699632834974, 0.39274976679541007, 0.4049325489612547, 0.45683643292442716, 0.523370145155276]"
11,"[0.8718737284738619, 0.8718029085468587, 0.8714878826603901, 0.8716289733232974, 0.8747594484263487]","[-20.478330180971064, -19.79188389651633, -19.748491852681543, -19.770627373394905, -19.79132013288966]","[0.47536191292551105, 0.47562022813213684, 0.4772992373519415, 0.4847829728028006, 0.49717722326452957]"
12,"[0.8862175754412466, 0.886112109208645, 0.8855357890760753, 0.8866425283105334, 0.8920487534306432]","[-20.744504310487258, -20.05925142634526, -20.021884802284376, -20.040903305543743, -20.021011397258587]","[0.43536261336667853, 0.43956075870446276, 0.44953470034187243, 0.4011287424081294, 0.3591325885874496]"
13,"[0.8768041374144999, 0.876814965307269, 0.8769515912256028, 0.8794514426358684, 0.8852961656871436]","[-20.70420134866522, -20.018887570968754, -19.982674506509266, -20.028699566589793, -20.06684270923245]","[0.3536804980099304, 0.35337593242387816, 0.35271301972342944, 0.3486219043259791, 0.3414229423995277]"
