epoch,higuchi_fd,lyapunov_exponent,hurst_exponent
0,"[0.9204053921947126, 0.919464098079972, 0.9215050231704632, 0.9181663380687325, 0.9214765686189487]","[-20.907806946073393, -20.752089949244645, -20.783278087852462, -20.686499488038386, -20.539249458713815]","[0.2839716261009437, 0.31070636068194646, 0.26280308810167136, 0.34728090061600725, 0.2628190664791454]"
1,"[0.9343419144490989, 0.9340198551729831, 0.9346461880809488, 0.9335834343052939, 0.9346403305174344]","[-21.22994292776867, -21.07553197274727, -21.103645625343347, -21.011391357692972, -20.859663932479037]","[0.30807888288424246, 0.3150000391755166, 0.2993405999675307, 0.3250029202720486, 0.29944639040302173]"
2,"[0.9491993681332683, 0.9497941663946303, 0.9485575064291741, 0.9504852868939535, 0.9485725666380023]","[-21.59012493934408, -21.418579560058635, -21.480083196957832, -21.326481143755732, -21.23574527580571]","[0.5395601809872808, 0.5405410296473958, 0.540790790786551, 0.5415646616137516, 0.5407605790736065]"
3,"[0.9420748004472056, 0.9421932031582728, 0.9419305712981878, 0.9422374219538314, 0.9419343840792521]","[-21.511538930255057, -21.361150421837785, -21.380382578639612, -21.302260081425196, -21.136525800999987]","[0.5967470640734954, 0.5924236265893201, 0.6015568406243269, 0.585582485686589, 0.6014898447392952]"
4,"[0.9078240534134342, 0.9080933879808483, 0.9074647617988606, 0.908666954370348, 0.9074754502968663]","[-21.594188720311266, -21.44893718847513, -21.456184402988043, -21.395909554811354, -21.212509126466465]","[0.3612712084252311, 0.3812164138592452, 0.3418011351535512, 0.3887126210118726, 0.34222123545063626]"
5,"[0.9109795743329349, 0.9114126318259277, 0.910439238468224, 0.9120903067173004, 0.9104532352045981]","[-21.439260978126434, -21.27311886119399, -21.324257957023494, -21.189978669573417, -21.08002632856034]","[0.28958078587749775, 0.29468393951113653, 0.3094915878541478, 0.31490619362849986, 0.30890642629713233]"
6,"[0.8965974654063315, 0.8969456471149071, 0.8962192577948679, 0.89754231294813, 0.8962269295479599]","[-20.89563450346772, -20.701688608420387, -20.814373063964627, -20.582462049648406, -20.569272528554972]","[0.6037628834299997, 0.6044662153562038, 0.5996536626921748, 0.5816185170373455, 0.5998006519755342]"
7,"[0.9226139339273861, 0.9226158097501193, 0.9225129335802558, 0.9227809460892986, 0.9225187861798306]","[-21.516391651332107, -21.354661127642355, -21.397403916976828, -21.278973167949083, -21.153251926919776]","[0.4839043824663993, 0.48664725146800286, 0.4811127747415668, 0.48936064171165766, 0.48117733673278973]"
8,"[0.9058196181169427, 0.906183845700746, 0.9055534476632959, 0.9068755767048601, 0.9055590232026345]","[-21.82682785017461, -21.658138244042163, -21.71513052976451, -21.571975661968796, -21.470804411629835]","[0.5389072391933214, 0.5237414097237596, 0.5569052694624886, 0.5049511191038336, 0.5564294205641743]"
9,"[0.8999724690870899, 0.9005145785168611, 0.8994214385255191, 0.9014591043197079, 0.8994348350513411]","[-21.478396423510024, -21.322367966060266, -21.352642037418267, -21.254249714181658, -21.10866653537889]","[0.5021432087663442, 0.459888871636795, 0.501398696698378, 0.3867985695355817, 0.5015915960013414]"
