epoch,stft_mean_power,wavelet_mean_power
0,"[3.13487783900705e-07, 3.391209263464168e-07, 3.3340250783156316e-07, 3.5061936958973397e-07, 3.7666794876044613e-07]","[1.628156007043102e-05, 1.7615143519598332e-05, 1.7323941217944217e-05, 1.824075274181061e-05, 1.9571938079462006e-05]"
1,"[2.6811946679900085e-07, 2.908516828299937e-07, 2.844700344642443e-07, 3.021328367885507e-07, 3.2140690079605516e-07]","[1.5624773358960907e-05, 1.704398061850881e-05, 1.648143861360751e-05, 1.7867874109300008e-05, 1.8623926406771148e-05]"
2,"[2.1858556616003378e-07, 2.3895112138957824e-07, 2.3014377784938615e-07, 2.5143669440317583e-07, 2.600702854799513e-07]","[1.4388078474090841e-05, 1.5999247499176258e-05, 1.4857985566399493e-05, 1.7230885181349192e-05, 1.6798072090624076e-05]"
3,"[2.2867956709677748e-07, 2.4817693885107234e-07, 2.423032681507692e-07, 2.579411714396774e-07, 2.7377232084567774e-07]","[1.3301776874447787e-05, 1.4567633361201179e-05, 1.3953770787317807e-05, 1.533522573142442e-05, 1.5770055712955347e-05]"
4,"[2.3370258935308505e-07, 2.518111866109443e-07, 2.498082948086995e-07, 2.5917892521988333e-07, 2.821935577780568e-07]","[1.2243026882099646e-05, 1.3241013057726477e-05, 1.3017555716906224e-05, 1.3686669777110348e-05, 1.470731041897552e-05]"
5,"[2.455603734131244e-07, 2.657879883272301e-07, 2.6096095612246937e-07, 2.756414269182626e-07, 2.948379742203176e-07]","[1.2268868818910769e-05, 1.3309572023498497e-05, 1.3001512458547402e-05, 1.3816493343519007e-05, 1.4690303990012026e-05]"
6,"[2.997688452194549e-07, 3.2890424519826154e-07, 3.136247706036993e-07, 3.4640043660992976e-07, 3.5447703384963124e-07]","[1.315007145903517e-05, 1.4306808803907688e-05, 1.3878132671194599e-05, 1.489770804044296e-05, 1.5682603356815786e-05]"
7,"[2.1798820538235428e-07, 2.3693319863785234e-07, 2.3057712142370716e-07, 2.469285811789798e-07, 2.6053827826155793e-07]","[1.178159548580318e-05, 1.2858463822844391e-05, 1.2396335326400288e-05, 1.3455712476632651e-05, 1.4009141820983179e-05]"
8,"[2.1480350046639e-07, 2.3403920489049674e-07, 2.2649603953771142e-07, 2.4428381863451476e-07, 2.5595081654159684e-07]","[1.1746192649974141e-05, 1.2771037349903976e-05, 1.241671969993474e-05, 1.3301528477153284e-05, 1.4030463652786254e-05]"
9,"[2.5153383770354104e-07, 2.72196964503262e-07, 2.673222172376011e-07, 2.814715412139234e-07, 3.020181268577272e-07]","[1.3186786988809856e-05, 1.4265756038481267e-05, 1.4008777569421847e-05, 1.4740536135454194e-05, 1.5827642412177537e-05]"
10,"[2.3853973694801236e-07, 2.600740180007592e-07, 2.512667849094226e-07, 2.7171300334728904e-07, 2.839481095501685e-07]","[1.1712057606834995e-05, 1.272385101294591e-05, 1.2389585346253469e-05, 1.3233516283779683e-05, 1.3999464386862265e-05]"
11,"[2.1555782114534682e-07, 2.3557774549995142e-07, 2.268956485985209e-07, 2.4744329833906125e-07, 2.5640910247434547e-07]","[1.1723577217328154e-05, 1.2757850281414596e-05, 1.2376083849844834e-05, 1.3298162634670925e-05, 1.3985115473672227e-05]"
12,"[3.0343357736301176e-07, 3.278608129011582e-07, 3.231938283754479e-07, 3.3900284830067437e-07, 3.651251280501582e-07]","[1.4308365112342218e-05, 1.5476849169435153e-05, 1.5198843722105002e-05, 1.598477237762377e-05, 1.7172310288601553e-05]"
13,"[2.5754652483346196e-07, 2.7964685348257586e-07, 2.7284786671004194e-07, 2.9065910234052763e-07, 3.082958621772815e-07]","[1.287786377750021e-05, 1.3938191225913245e-05, 1.3671316473536464e-05, 1.44090257739552e-05, 1.544661334181736e-05]"
14,"[3.301987991814261e-07, 3.562935895259778e-07, 3.514252964654811e-07, 3.662656617595717e-07, 3.9704056466773804e-07]","[1.6420185884184674e-05, 1.7735677332117123e-05, 1.7465112042631032e-05, 1.8272083339982583e-05, 1.973228661680569e-05]"
15,"[3.5581626857076784e-07, 3.845102163435172e-07, 3.7794085107699696e-07, 3.960281619340795e-07, 4.2702077674245675e-07]","[1.714998412529505e-05, 1.858595284414776e-05, 1.816162930933537e-05, 1.9224105564238985e-05, 2.052165972954481e-05]"
16,"[3.179981100355272e-07, 3.430858313212792e-07, 3.3842640162714633e-07, 3.5246092583312645e-07, 3.823570204808919e-07]","[1.5698780134861504e-05, 1.6989571154381595e-05, 1.6652408159110506e-05, 1.753882929185604e-05, 1.8815480359248176e-05]"
17,"[3.1830780645329305e-07, 3.443032894496341e-07, 3.3782960134002167e-07, 3.551165033225206e-07, 3.8170777277279656e-07]","[1.6561305462355865e-05, 1.7987366710094195e-05, 1.750052276503605e-05, 1.86696349010151e-05, 1.9775495533893727e-05]"
18,"[3.1653660651866646e-07, 3.431130385230752e-07, 3.3507854526633053e-07, 3.5493129537201137e-07, 3.7862307318117073e-07]","[1.6789720076795572e-05, 1.830989517147295e-05, 1.7660744225748943e-05, 1.9113686369016322e-05, 1.9958828745209334e-05]"
19,"[3.254262261058985e-07, 3.5044583053842304e-07, 3.4726064861653905e-07, 3.593270574847954e-07, 3.9231042263655113e-07]","[1.6297211068891687e-05, 1.770227103462978e-05, 1.7224292809863615e-05, 1.8380908535440728e-05, 1.9463262006267285e-05]"
20,"[3.171154867709573e-07, 3.422531158159904e-07, 3.3737656671069966e-07, 3.520086010246174e-07, 3.8117119243837597e-07]","[1.5280704175069288e-05, 1.6552540649453284e-05, 1.6205467905802135e-05, 1.7129150473937857e-05, 1.8310345166491993e-05]"
21,"[2.989221310766506e-07, 3.235757004769682e-07, 3.168886492083896e-07, 3.340215171520026e-07, 3.580561401936953e-07]","[1.569266727082554e-05, 1.7028902282174506e-05, 1.6605603819768902e-05, 1.766173830170534e-05, 1.876345356184807e-05]"
22,"[3.0080923760322853e-07, 3.251805981422382e-07, 3.194418505284916e-07, 3.350453489484728e-07, 3.609270834901146e-07]","[1.5589080953818074e-05, 1.69209203550142e-05, 1.6488137601143006e-05, 1.7552460888586055e-05, 1.863102909597293e-05]"
23,"[3.136839477867242e-07, 3.3945478304493803e-07, 3.3269407075865617e-07, 3.502929095041139e-07, 3.7591153755253627e-07]","[1.5998126108812336e-05, 1.738491155756447e-05, 1.6895142416159046e-05, 1.8057050477417622e-05, 1.909173662750696e-05]"
24,"[2.798253447987425e-07, 3.034351644508663e-07, 2.9615577340925243e-07, 3.1405561524485724e-07, 3.3464287332114384e-07]","[1.459886029948758e-05, 1.5880024724256422e-05, 1.5410698830274396e-05, 1.6529560201766195e-05, 1.7414385715146793e-05]"
25,"[2.6410348837299434e-07, 2.8581274335310536e-07, 2.801713111917001e-07, 2.950488503436214e-07, 3.1656388439206045e-07]","[1.4906168533405402e-05, 1.6196386260527112e-05, 1.5742925089423216e-05, 1.6819995290450943e-05, 1.7789686656787255e-05]"
26,"[1.8821909196015177e-07, 2.0409507769959118e-07, 1.994346802596725e-07, 2.1156833569557676e-07, 2.2534171754963403e-07]","[1.1887654481013772e-05, 1.297702612389615e-05, 1.250519694265363e-05, 1.3587679403389729e-05, 1.4132161585097866e-05]"
