epoch,hjorth_activity,hjorth_mobility,hjorth_complexity,perm_entropy,approx_entropy,sample_entropy,shannon_entropy
0,"[2.78751354e-10 3.25762259e-10 3.15672076e-10 3.47910947e-10
 4.02919275e-10]",[0.09364823 0.09461965 0.09260655 0.09597662 0.09266424],[2.11733247 2.15806956 2.15776965 2.16806497 2.2226463 ],[0.54799185 0.54899774 0.54857849 0.54968942 0.54856593],[0.36946338 0.3721637  0.3673911  0.37537145 0.36739832],[0.29111982 0.29192582 0.29077511 0.29362104 0.29071559],[3.22369621 3.2381505  3.20757526 3.25878742 3.20797013]
1,"[2.01886828e-10 2.35617322e-10 2.29044628e-10 2.51262229e-10
 2.92335046e-10]",[0.08957677 0.09044275 0.08876841 0.09176922 0.0888297 ],[1.86967722 1.91321399 1.9207288  1.91809183 1.99807308],[0.54136177 0.54332452 0.54077644 0.54384626 0.54080864],[0.37544134 0.37967854 0.37190619 0.38576047 0.37196461],[0.29923714 0.30302972 0.2962394  0.30946435 0.29630728],[3.22317287 3.23355237 3.21172862 3.24815522 3.21200945]
2,"[1.40731097e-10 1.67081273e-10 1.57090192e-10 1.83226589e-10
 2.00569236e-10]",[0.08420626 0.08499664 0.0835852  0.08627958 0.08365588],[1.57565812 1.62270295 1.63683987 1.62917629 1.72657337],[0.5273429  0.52668138 0.52882694 0.52581754 0.52907869],[0.35898596 0.36305697 0.35480596 0.37008803 0.35489862],[0.3023104  0.30658768 0.29805212 0.31284286 0.29815137],[3.07273744 3.07006591 3.07415958 3.06341523 3.07414045]
3,"[1.52260812e-10 1.76974084e-10 1.73600332e-10 1.87721169e-10
 2.21541967e-10]",[0.0813932  0.08235839 0.08043941 0.08375963 0.08051303],[1.74982225 1.79805483 1.82083455 1.7987919  1.9194151 ],[0.53282697 0.53512229 0.53186454 0.5342778  0.53212365],[0.34320841 0.34836367 0.33781082 0.35572078 0.33791088],[0.28328631 0.28843626 0.27758093 0.29591106 0.27770441],[3.10543517 3.11481878 3.09511877 3.12793662 3.09536686]
4,"[1.40650211e-10 1.62647574e-10 1.61449374e-10 1.71513893e-10
 2.05998611e-10]",[0.1100366  0.11060059 0.10923031 0.11096685 0.10932829],[1.71331011 1.74917454 1.7660696  1.75695503 1.83330307],[0.56623891 0.56436506 0.56852454 0.56348762 0.56829632],[0.40366262 0.40444366 0.40176033 0.40518203 0.40176415],[0.32195457 0.3229346  0.32026066 0.32369265 0.32033061],[3.50370499 3.50612973 3.49986541 3.50814649 3.49997635]
5,"[1.63713822e-10 1.93291912e-10 1.83675068e-10 2.10025330e-10
 2.34486752e-10]",[0.08658914 0.0861427  0.08695895 0.08521093 0.08700447],[2.03881607 2.11365506 2.0893014  2.15483855 2.1893953 ],[0.56478883 0.56383558 0.56590978 0.56327972 0.56569379],[0.36464354 0.36288142 0.36565882 0.35898752 0.36568678],[0.30300606 0.30155908 0.30386426 0.2983543  0.30388317],[3.13415224 3.13493354 3.13245052 3.13496176 3.13250012]
6,"[2.81948648e-10 3.42234657e-10 3.05874122e-10 3.85472069e-10
 3.90828838e-10]",[0.08785702 0.08640255 0.08941521 0.0841821  0.08941053],[2.43283588 2.53023325 2.43550615 2.61562753 2.51579928],[0.57040961 0.57060678 0.56995077 0.56834558 0.5697223 ],[0.34048599 0.33554148 0.34554437 0.32849409 0.34549998],[0.26359081 0.26015416 0.26772022 0.25512457 0.2676568 ],[3.2337809  3.23040288 3.23706185 3.22489516 3.23698768]
7,"[1.51442132e-10 1.78030122e-10 1.70572189e-10 1.92030065e-10
 2.17742148e-10]",[0.08044631 0.08061924 0.08021464 0.08068217 0.08027332],[2.00091741 2.07727229 2.06226973 2.11008378 2.17592891],[0.55170304 0.55072724 0.55266302 0.55229986 0.55245659],[0.32278794 0.32460594 0.32121718 0.32520035 0.32129716],[0.26357846 0.26430516 0.26251079 0.2650217  0.26253413],[3.10717332 3.11332588 3.10052928 3.12239137 3.10068705]
8,"[1.11385340e-10 1.31844767e-10 1.24553350e-10 1.43691741e-10
 1.59024728e-10]",[0.10556458 0.10492779 0.10618107 0.10366565 0.10626276],[1.73749693 1.80215506 1.77734281 1.83861037 1.8613115 ],[0.56794861 0.56817091 0.56795498 0.56707077 0.56794928],[0.44415059 0.4423218  0.4459118  0.4386625  0.44595512],[0.36207955 0.3618371  0.36216317 0.36057608 0.36220882],[3.43962878 3.43607791 3.44236555 3.4293561  3.44232407]
9,"[1.57746868e-10 1.84372581e-10 1.78891917e-10 1.97343644e-10
 2.28321990e-10]",[0.10068215 0.10040136 0.1008322  0.09962246 0.1008935 ],[1.94290017 1.99754065 1.99110121 2.02348008 2.07058773],[0.57432473 0.57393444 0.57507134 0.57255731 0.57506877],[0.43128713 0.42982103 0.43240847 0.42669266 0.43249873],[0.36587419 0.3639366  0.36710029 0.36050827 0.36711875],[3.34549765 3.346965   3.34248578 3.34730796 3.3425785 ]
