mean,std,variance,skew,kurtosis,rms,zcr,delta_power,delta_relative_power,theta_power,theta_relative_power,alpha_power,alpha_relative_power,beta_power,beta_relative_power,gamma_power,gamma_relative_power,epoch
"[8.11956218e-08 6.93849953e-08 1.07289919e-07 4.49363147e-08
 1.20529996e-07]","[1.66958484e-05 1.80488853e-05 1.77671629e-05 1.86523711e-05
 2.00728492e-05]","[2.78751354e-10 3.25762259e-10 3.15672076e-10 3.47910947e-10
 4.02919275e-10]",[-0.25228479 -0.24539905 -0.25588774 -0.22970429 -0.25585991],[0.22702014 0.26654479 0.19106637 0.33729553 0.19188944],"[1.66960458e-05 1.80490186e-05 1.77674868e-05 1.86524252e-05
 2.00732111e-05]",[0.02513021 0.02571615 0.02565104 0.02591146 0.02558594],"[4.09388022e-11 4.74213668e-11 4.68240326e-11 5.00106798e-11
 5.97507184e-11]",[0.47118638 0.46763211 0.47507086 0.46243982 0.47497583],"[2.64416484e-11 3.08377368e-11 3.00532613e-11 3.28966397e-11
 3.83552442e-11]",[0.30433095 0.30409743 0.30491669 0.30418935 0.30489699],"[2.08649231e-11 2.43696384e-11 2.36491052e-11 2.60129992e-11
 3.01846918e-11]",[0.24014546 0.24031415 0.23994091 0.24053755 0.23994689],"[1.36763257e-11 1.63510204e-11 1.50912578e-11 1.80278960e-11
 1.92746468e-11]",[0.15740808 0.16124086 0.15311404 0.16670073 0.15321977],"[6.38070348e-13 7.65827925e-13 7.01051627e-13 8.48913169e-13
 8.95470650e-13]",[0.00734389 0.00755199 0.00711278 0.00784975 0.00711836],0
"[-9.27348383e-08 -9.28807151e-08 -1.06814380e-07 -8.50247382e-08
 -1.20447381e-07]","[1.42086885e-05 1.53498313e-05 1.51342204e-05 1.58512532e-05
 1.70978082e-05]","[2.01886828e-10 2.35617322e-10 2.29044628e-10 2.51262229e-10
 2.92335046e-10]",[0.14471584 0.16094271 0.1226993  0.1783076  0.12329303],[0.89265166 0.90257742 0.87946353 0.91466844 0.87980829],"[1.42089911e-05 1.53501123e-05 1.51345974e-05 1.58514813e-05
 1.70982325e-05]",[0.02832031 0.02897135 0.02779948 0.02884115 0.02779948],"[2.61635189e-11 3.03324167e-11 2.98926399e-11 3.20236205e-11
 3.81461526e-11]",[0.3998819  0.39365937 0.40622129 0.38405484 0.40607252],"[2.43372512e-11 2.90782847e-11 2.69577364e-11 3.21522530e-11
 3.44259080e-11]",[0.37196931 0.37738303 0.36633789 0.38559752 0.36646986],"[2.15180873e-11 2.55661216e-11 2.39949158e-11 2.80607102e-11
 3.06373349e-11]",[0.32888135 0.33180156 0.3260751  0.33652821 0.32613983],"[7.86367416e-12 9.38577708e-12 8.72219011e-12 1.03644953e-11
 1.11382163e-11]",[0.120188   0.12181024 0.11852882 0.12429996 0.11856828],"[3.43529700e-13 4.12894670e-13 3.77017444e-13 4.59021805e-13
 4.81606116e-13]",[0.00525049 0.00535862 0.00512342 0.00550498 0.00512678],1
"[1.45295720e-08 1.34242164e-08 1.80278497e-08 1.05416232e-08
 2.02951855e-08]","[1.18630138e-05 1.29259922e-05 1.25335626e-05 1.35361216e-05
 1.41622469e-05]","[1.40731097e-10 1.67081273e-10 1.57090192e-10 1.83226589e-10
 2.00569236e-10]",[0.15514359 0.17821693 0.12771691 0.20862624 0.12840689],[0.83668982 0.76620303 0.92892913 0.6852019  0.92650534],"[1.18630227e-05 1.29259991e-05 1.25335756e-05 1.35361257e-05
 1.41622614e-05]",[0.02773437 0.02825521 0.02799479 0.02825521 0.02799479],"[1.90193119e-11 2.21419104e-11 2.16585354e-11 2.35580125e-11
 2.76403155e-11]",[0.39069992 0.37888106 0.40274732 0.36103147 0.40246951],"[2.09653252e-11 2.58910036e-11 2.24451339e-11 3.00723453e-11
 2.86855985e-11]",[0.43067546 0.44303363 0.41737437 0.46086499 0.41768984],"[1.74131715e-11 2.15502658e-11 1.86394374e-11 2.51637515e-11
 2.38212282e-11]",[0.35770614 0.36875714 0.34660624 0.38563976 0.34685994],"[4.36287269e-12 5.18993283e-12 4.87319886e-12 5.72725609e-12
 6.22165607e-12]",[0.08962333 0.08880748 0.09061867 0.0877714  0.09059328],"[1.07599676e-13 1.26777186e-13 1.22681974e-13 1.39759609e-13
 1.56528883e-13]",[0.00221034 0.00216935 0.00228131 0.00214185 0.00227921],2
"[-1.58944554e-07 -1.50168744e-07 -1.93425614e-07 -1.23504580e-07
 -2.17839770e-07]","[1.23394008e-05 1.33031607e-05 1.31757479e-05 1.37011375e-05
 1.48842859e-05]","[1.52260812e-10 1.76974084e-10 1.73600332e-10 1.87721169e-10
 2.21541967e-10]",[0.07116071 0.05398576 0.09310189 0.03322922 0.09252516],[0.37190273 0.29537458 0.46364635 0.19605511 0.46131385],"[1.23404244e-05 1.33040082e-05 1.31771676e-05 1.37016941e-05
 1.48858799e-05]",[0.0249349  0.02441406 0.02428385 0.02415365 0.02428385],"[2.07286722e-11 2.40418532e-11 2.36350776e-11 2.53451195e-11
 3.01630970e-11]",[0.44277304 0.4351959  0.45037186 0.4233242  0.45019714],"[1.71008343e-11 2.04720160e-11 1.88862198e-11 2.26773184e-11
 2.41202863e-11]",[0.36528092 0.37057615 0.35988128 0.37876553 0.3600056 ],"[1.42742172e-11 1.71222102e-11 1.57585571e-11 1.90617498e-11
 2.01256482e-11]",[0.3049032  0.30993932 0.30028295 0.31837687 0.30038392],"[4.91546749e-12 5.83830818e-12 5.46935624e-12 6.38490243e-12
 6.98401889e-12]",[0.10499643 0.10568269 0.10421985 0.10664316 0.10423947],"[1.66607735e-13 1.96637127e-13 1.86661994e-13 2.13061277e-13
 2.38295427e-13]",[0.00355881 0.00355945 0.00355689 0.00355863 0.00355666],3
"[2.39849208e-07 2.34252435e-07 2.83111256e-07 2.05199828e-07
 3.19067261e-07]","[1.18596042e-05 1.27533358e-05 1.27062730e-05 1.30963313e-05
 1.43526517e-05]","[1.40650211e-10 1.62647574e-10 1.61449374e-10 1.71513893e-10
 2.05998611e-10]",[0.26266122 0.27844129 0.24214405 0.29595008 0.2426844 ],[1.930096   2.01691801 1.81478897 2.10972482 1.81786075],"[1.18620293e-05 1.27554870e-05 1.27094267e-05 1.30979388e-05
 1.43561978e-05]",[0.03242188 0.03164062 0.03151042 0.03177083 0.03164062],"[1.60716315e-11 1.86431645e-11 1.83369609e-11 1.96783250e-11
 2.34012221e-11]",[0.35667166 0.35446238 0.3596101  0.35189797 0.35953126],"[1.29824961e-11 1.52256713e-11 1.46264927e-11 1.63170004e-11
 1.86719264e-11]",[0.28811565 0.2894856  0.2868433  0.29178903 0.2868714 ],"[1.15674331e-11 1.35995714e-11 1.29819617e-11 1.46056091e-11
 1.65743185e-11]",[0.25671169 0.25856857 0.25459205 0.26118505 0.25464421],"[1.10238617e-11 1.28492434e-11 1.24708932e-11 1.35995573e-11
 1.59191523e-11]",[0.24464841 0.24430259 0.24456938 0.24319431 0.24457838],"[4.78199357e-13 5.50945116e-13 5.48251847e-13 5.73733686e-13
 6.99597944e-13]",[0.0106125  0.01047512 0.01075189 0.0102598  0.01074847],4
"[-9.96331166e-08 -9.71273810e-08 -1.17806242e-07 -8.47976955e-08
 -1.32764391e-07]","[1.27950702e-05 1.39029462e-05 1.35526775e-05 1.44922507e-05
 1.53129603e-05]","[1.63713822e-10 1.93291912e-10 1.83675068e-10 2.10025330e-10
 2.34486752e-10]",[-0.19332774 -0.1630714  -0.22733491 -0.12170937 -0.22651275],[0.39665127 0.35995487 0.43097564 0.30208823 0.43023353],"[1.27954581e-05 1.39032854e-05 1.35531895e-05 1.44924988e-05
 1.53135358e-05]",[0.02792969 0.02766927 0.02740885 0.0266276  0.02740885],"[2.50241820e-11 2.91761225e-11 2.83778840e-11 3.10047778e-11
 3.62204853e-11]",[0.51654371 0.51526375 0.51806281 0.51354011 0.5180252 ],"[1.56762032e-11 1.83471333e-11 1.77020519e-11 1.96054269e-11
 2.25965201e-11]",[0.32358477 0.32401882 0.32316626 0.32472973 0.32317532],"[1.00191521e-11 1.18072591e-11 1.12265494e-11 1.27410519e-11
 1.43333210e-11]",[0.20681315 0.20852163 0.20495037 0.21103332 0.20499508],"[6.87362710e-12 7.99905443e-12 7.79813994e-12 8.45901544e-12
 9.95331136e-12]",[0.14188391 0.14126698 0.14236179 0.14010885 0.14235221],"[3.45926579e-13 4.00262938e-13 3.94685195e-13 4.19373148e-13
 5.03695374e-13]",[0.00714054 0.00706883 0.00720532 0.00694619 0.00720385],5
"[ 2.99199990e-08  1.53633207e-08  5.11999839e-08 -8.51954599e-09
  5.72943549e-08]","[1.67913266e-05 1.84995853e-05 1.74892573e-05 1.96334426e-05
 1.97693914e-05]","[2.81948648e-10 3.42234657e-10 3.05874122e-10 3.85472069e-10
 3.90828838e-10]",[-0.00983418  0.01712889 -0.04510519  0.04926481 -0.04415924],[0.61211725 0.53748252 0.69830434 0.43607978 0.69615179],"[1.67913532e-05 1.84995917e-05 1.74893323e-05 1.96334445e-05
 1.97694745e-05]",[0.02486979 0.02369792 0.025      0.02265625 0.02486979],"[3.45983213e-11 4.07846797e-11 3.86921917e-11 4.39365056e-11
 4.94033363e-11]",[0.50781231 0.50766417 0.50802586 0.50750771 0.50801967],"[1.90671452e-11 2.24103238e-11 2.13997661e-11 2.40495426e-11
 2.73213426e-11]",[0.27985551 0.27895078 0.28097748 0.2777947  0.28094822],"[1.25835619e-11 1.49455807e-11 1.39540056e-11 1.62751863e-11
 1.78208106e-11]",[0.18469357 0.18603397 0.18321515 0.18799361 0.18325326],"[1.27430788e-11 1.49300430e-11 1.43338634e-11 1.59213965e-11
 1.82994276e-11]",[0.18703486 0.18584056 0.18820266 0.18390701 0.18817493],"[9.45337877e-13 1.10018324e-12 1.07109115e-12 1.16159936e-12
 1.36720480e-12]",[0.01387507 0.01369445 0.01406335 0.01341756 0.01405911],6
"[-2.35392433e-08 -5.74990008e-09 -4.75456142e-08  2.23064160e-08
 -5.30755984e-08]","[1.23061827e-05 1.33427929e-05 1.30603288e-05 1.38574913e-05
 1.47560885e-05]","[1.51442132e-10 1.78030122e-10 1.70572189e-10 1.92030065e-10
 2.17742148e-10]",[0.41013573 0.39509672 0.42355445 0.36948972 0.42328283],[3.06992464 2.99297754 3.12062605 2.84145552 3.11989466],"[1.23062052e-05 1.33427941e-05 1.30604154e-05 1.38575093e-05
 1.47561840e-05]",[0.02675781 0.02636719 0.02740885 0.0266276  0.02740885],"[2.14586467e-11 2.50656676e-11 2.42574463e-11 2.66696084e-11
 3.09643991e-11]",[0.50781154 0.50480774 0.51082034 0.50004735 0.51075137],"[1.48277584e-11 1.75490231e-11 1.65261946e-11 1.90395227e-11
 2.11027541e-11]",[0.35089383 0.35342696 0.3480134  0.35698548 0.34808557],"[9.21431982e-12 1.09070241e-11 1.02926685e-11 1.18722719e-11
 1.31418235e-11]",[0.21805373 0.21966102 0.216746   0.22260162 0.21677167],"[5.39709648e-12 6.37548008e-12 6.02613885e-12 6.89558930e-12
 7.69459753e-12]",[0.12772044 0.1283984  0.12690018 0.12929028 0.1269208 ],"[3.19793168e-13 3.78379713e-13 3.55738208e-13 4.09201701e-13
 4.54294080e-13]",[0.0075678  0.00762034 0.00749124 0.00767241 0.00749349],7
"[6.21059289e-08 6.06070121e-08 7.33704364e-08 5.30069703e-08
 8.26888443e-08]","[1.05539253e-05 1.14823676e-05 1.11603472e-05 1.19871490e-05
 1.26105007e-05]","[1.11385340e-10 1.31844767e-10 1.24553350e-10 1.43691741e-10
 1.59024728e-10]",[0.18716508 0.17284081 0.20520034 0.15544641 0.20473003],[0.71627239 0.58817112 0.87055461 0.42740107 0.86662122],"[1.05541081e-05 1.14825276e-05 1.11605884e-05 1.19872662e-05
 1.26107718e-05]",[0.03307292 0.0328125  0.03372396 0.03307292 0.03372396],"[1.43883802e-11 1.68812890e-11 1.62084773e-11 1.81099080e-11
 2.06912118e-11]",[0.39710731 0.39658964 0.39777744 0.39596404 0.39775637],"[1.24822046e-11 1.47452947e-11 1.39558479e-11 1.59759063e-11
 1.78189231e-11]",[0.34449845 0.34640904 0.34249494 0.34930517 0.34254109],"[9.28966094e-12 1.10220124e-11 1.03442045e-11 1.20290145e-11
 1.32087575e-11]",[0.2563869  0.25893852 0.25386044 0.26300836 0.25391782],"[7.30666167e-12 8.50542722e-12 8.28355342e-12 8.99376894e-12
 1.05734766e-11]",[0.20165777 0.19981675 0.20328934 0.19664424 0.20325864],"[4.10138407e-13 4.74460832e-13 4.67804160e-13 4.96537252e-13
 5.97030433e-13]",[0.01131948 0.01114644 0.01148053 0.01085654 0.01147698],8
"[ 1.88799016e-08  7.84530138e-09  3.44227618e-08 -9.92330123e-09
  3.84790940e-08]","[1.25597320e-05 1.35783866e-05 1.33750483e-05 1.40479053e-05
 1.51103273e-05]","[1.57746868e-10 1.84372581e-10 1.78891917e-10 1.97343644e-10
 2.28321990e-10]",[0.096908   0.10597554 0.08131156 0.11097844 0.08177079],[0.50507751 0.46208719 0.55277754 0.40302095 0.55163651],"[1.25597462e-05 1.35783888e-05 1.33750926e-05 1.40479088e-05
 1.51103763e-05]",[0.0327474  0.03248698 0.03248698 0.03222656 0.03248698],"[2.11582550e-11 2.44850628e-11 2.42015142e-11 2.57513445e-11
 3.08832531e-11]",[0.43240507 0.43018215 0.43532955 0.42755672 0.43525178],"[1.50767626e-11 1.75186326e-11 1.71671258e-11 1.85343498e-11
 2.19092717e-11]",[0.30811939 0.30778777 0.30879709 0.30773095 0.30877736],"[1.20561585e-11 1.41360219e-11 1.35692815e-11 1.51206813e-11
 1.73228055e-11]",[0.24638818 0.24835812 0.24408015 0.25105287 0.2441382 ],"[8.62364135e-12 1.00115813e-11 9.80170086e-12 1.05396282e-11
 1.25102103e-11]",[0.17623884 0.17589514 0.17631004 0.17499237 0.1763121 ],"[6.30080328e-13 7.25729947e-13 7.22051883e-13 7.54779985e-13
 9.21419450e-13]",[0.01287677 0.01275047 0.01298805 0.01253182 0.01298598],9
