epoch,channel,lyapunov_exponent
0,0,0.05400104444854134
0,1,0.05306794426449792
0,2,0.05399777828001319
0,3,0.053125941676108984
0,4,0.05373061836123609
1,0,0.05507551763381135
1,1,0.054804443002176455
1,2,0.055119039024911824
1,3,0.055582612347917754
1,4,0.05505740537792284
2,0,0.05852877608868276
2,1,0.05870908872276942
2,2,0.05927436544686248
2,3,0.05979119510352988
2,4,0.05914222144851594
3,0,0.05746411656703709
3,1,0.057601731702202556
3,2,0.05625872095664453
3,3,0.0578408047331481
3,4,0.056402676228572604
4,0,0.05082683517437753
4,1,0.05063590907249129
4,2,0.05082256266764516
4,3,0.0513117192830502
4,4,0.05089778309395059
5,0,0.052934746255680024
5,1,0.052776410719927766
5,2,0.052127088842128716
5,3,0.053557968597595484
5,4,0.05185183594922369
6,0,0.05148132424967068
6,1,0.051033164089610596
6,2,0.05114493050638234
6,3,0.051038089582757094
6,4,0.05116031083453903
7,0,0.05299918194206409
7,1,0.05297950849956682
7,2,0.05287040568485706
7,3,0.053245190578062374
7,4,0.05276251711622153
8,0,0.05027745744904423
8,1,0.050987643714712476
8,2,0.05044542159209881
8,3,0.05088930993234707
8,4,0.05044900942249465
9,0,0.05007429271757536
9,1,0.050007381462106475
9,2,0.049691425245635454
9,3,0.049688600629460865
9,4,0.049853972289599625
10,0,0.050916658106113635
10,1,0.04980090687398017
10,2,0.050828926800822787
10,3,0.05033204132483083
10,4,0.050979622271882574
11,0,0.054867467616929656
11,1,0.054679641632043606
11,2,0.054202448282780036
11,3,0.054910207155371954
11,4,0.05415224540133442
12,0,0.049264969110202714
12,1,0.049920762372331895
12,2,0.04851316504690275
12,3,0.04954770403034259
12,4,0.04849060621868378
13,0,0.050919967321645554
13,1,0.050835251825339677
13,2,0.05080491032777872
13,3,0.0504626952557146
13,4,0.050817947754052836
14,0,0.045706314233457085
14,1,0.045799831697205313
14,2,0.04555767938584133
14,3,0.04546701309918502
14,4,0.045746641491069294
15,0,0.0443402442611567
15,1,0.044268005114643585
15,2,0.04441444241270742
15,3,0.044661224246168175
15,4,0.044447070667866816
16,0,0.045260969255866625
16,1,0.04483861705693028
16,2,0.04491730629324489
16,3,0.04517283111059378
16,4,0.04497328017510716
17,0,0.045187111770978027
17,1,0.045191152465014456
17,2,0.04580012180653518
17,3,0.04473541987901121
17,4,0.045921927013603314
