coherence_Fp2_F4_mean,coherence_Fp2_F4_max,coherence_Fp2_C4_mean,coherence_Fp2_C4_max,coherence_Fp2_P4_mean,coherence_Fp2_P4_max,coherence_Fp2_O2_mean,coherence_Fp2_O2_max,coherence_F4_C4_mean,coherence_F4_C4_max,coherence_F4_P4_mean,coherence_F4_P4_max,coherence_F4_O2_mean,coherence_F4_O2_max,coherence_C4_P4_mean,coherence_C4_P4_max,coherence_C4_O2_mean,coherence_C4_O2_max,coherence_P4_O2_mean,coherence_P4_O2_max,epoch
0.9852942701221515,0.996741385599804,0.9602354990205574,0.9849947658697977,0.9906679649088108,0.9987059703193082,0.9643402082388111,0.9872669455523764,0.9869890186904731,0.9956907197499296,0.9951017022250426,0.9995533560014582,0.9878694637058459,0.9968707408123403,0.9802564908369427,0.9924800388120605,0.9954554751125321,0.9999054451963285,0.9819964915577238,0.9940668004624438,0
0.9270158120851555,0.9847738729639062,0.6774812138230311,0.9278661159764108,0.9685046642241335,0.9940518884309635,0.7222999814195427,0.9389158150979429,0.88330422318864,0.9781951730416395,0.9853404909364041,0.9978384781833713,0.9120638592978966,0.9842001876603435,0.8136599694781157,0.9625626574992794,0.9924649115014599,0.9995083045770162,0.8493499669773242,0.9705243565819263,1
0.9814723145349512,0.9954659522032526,0.9336482266779742,0.9788071913827348,0.9901273508385618,0.9982093548379477,0.942115085206859,0.9820523345792479,0.9796876885895713,0.9938171791897373,0.9956229987173096,0.9993722301555183,0.9837733790123442,0.9955193110178079,0.9667240451144156,0.989270497664427,0.9971510007339384,0.9998625398766391,0.9726428417982202,0.9915515392634352,2
0.9727178416515184,0.9966479866655068,0.895255842359697,0.9841476733894646,0.9855421081880298,0.9986800740448738,0.909405649369131,0.9866011509763745,0.966542665947188,0.9953406935997099,0.9934293517643861,0.9995339293184253,0.9739316211970985,0.9966299683152913,0.9454848081652629,0.9919393021441776,0.9960650976949069,0.9998953930811683,0.9555098598424745,0.9936653414803603,3
0.9759353532661726,0.9969119542736767,0.9046743568807901,0.9854800150805011,0.9884523052464221,0.9987819270964896,0.9173243612358979,0.9877180237618995,0.9708712975509015,0.9957556124629334,0.9953307258462113,0.9995719377211755,0.97735839161973,0.9969279336031662,0.9511790643623794,0.9926417700648567,0.9971226887709724,0.9999051145400923,0.9602379325052407,0.9942130985095909,4
0.9735914150112945,0.9919873104647797,0.8648147901016341,0.960576461035092,0.9892543557277057,0.9968934098405459,0.8869894936325107,0.9668467141477459,0.9526923570690577,0.9878899296983816,0.9953362403133428,0.9988532832286164,0.9656857272175404,0.9912861176340716,0.9234885926695288,0.9793691009311352,0.9977474834955209,0.9997182325830012,0.9403827761320148,0.9838695259784801,5
0.9764725509233867,0.9948893407321587,0.85888202979147,0.9727983756145605,0.9891037727546791,0.9980606261039621,0.8862239289105083,0.9774111812765978,0.9392157719056088,0.9911643181563617,0.993868088967732,0.9992440733797613,0.9562700152561607,0.9937217829839938,0.9107820944643927,0.9852778739696292,0.9937381568024082,0.9997868190850622,0.9322161858677263,0.9886337549413688,6
0.9627196417795915,0.9960810549620385,0.8573523223117461,0.9810816254399327,0.9780515581485654,0.998467093399944,0.8801098396650744,0.9840559157877931,0.9403696087294514,0.9943347212156517,0.986106890327013,0.9994487765954682,0.9518737820286854,0.9959139748841964,0.9145064314552501,0.9902664750565637,0.9858474101601653,0.9998706333675339,0.9298531260252154,0.9923727167693286,7
0.9687363747957739,0.9914300386578649,0.8553435255330752,0.9594796851516201,0.9864735851857303,0.9966375240962267,0.8769344316524742,0.9657176380974076,0.9520049487695171,0.9879445244046481,0.9941983262127249,0.9987969713343756,0.9646472514961196,0.9912725182749043,0.9209836065105337,0.9792079108151922,0.9970537636115708,0.9997288963613431,0.9372520144525696,0.983644415979986,8
0.9631787249097394,0.9936087324842963,0.765078084654829,0.9700603936915786,0.9853967556116888,0.9974796034293179,0.8095777023579331,0.9746481395525,0.898924914786212,0.9912132832487658,0.9922615363632675,0.999111849108,0.9290926180799852,0.9936339197907281,0.8494123544672922,0.984780739986886,0.9943610763882349,0.9998039306231348,0.8861165507965587,0.9880187275212218,9
