epoch,stft_mean_power,wavelet_mean_power
0,"[1.169322088850093e-07, 1.8197367490297216e-07, 2.3242896019417678e-07, 2.2367988646692356e-07, 1.6042414464742672e-07]","[6.4922059564770145e-06, 1.0014323009497827e-05, 1.2643880227782026e-05, 1.2351578740891066e-05, 8.742389292231316e-06]"
1,"[1.452853721045756e-07, 2.1313343154589623e-07, 2.662447153819663e-07, 2.670265841975632e-07, 1.8363381627756974e-07]","[6.986225437621434e-06, 1.059972810568879e-05, 1.3293328376694746e-05, 1.3141623647275594e-05, 9.19084588063837e-06]"
2,"[1.3007893665042793e-07, 1.9959008562661324e-07, 2.528862681379627e-07, 2.464904548569697e-07, 1.7454802888028035e-07]","[6.946947951584513e-06, 1.072786093079665e-05, 1.3585553809591383e-05, 1.3223845999969618e-05, 9.38845785173858e-06]"
3,"[1.410963517201633e-07, 2.1363022410942692e-07, 2.6594489609895694e-07, 2.6522850097304234e-07, 1.8407539778677576e-07]","[7.53840500530551e-06, 1.1546560442933451e-05, 1.4498878725164345e-05, 1.4276287992655343e-05, 1.0031015153331936e-05]"
4,"[1.4413029728501933e-07, 2.2166649525474716e-07, 2.8233347838429263e-07, 2.7346063328328846e-07, 1.94701848051422e-07]","[7.135366765171647e-06, 1.0911553049602741e-05, 1.3633303994601198e-05, 1.3502009879691882e-05, 9.441434195118514e-06]"
5,"[2.3861386553929517e-07, 3.5051143262886774e-07, 4.207221021741222e-07, 4.401236842558552e-07, 2.9287179247743117e-07]","[9.0518170915315e-06, 1.3471825697290167e-05, 1.6576632165651615e-05, 1.681903263289498e-05, 1.1490549898761844e-05]"
6,"[1.947544466715903e-07, 2.6335926565654326e-07, 2.8313646267745347e-07, 3.4142522381789437e-07, 2.0057431138801012e-07]","[7.3128286637382705e-06, 1.0665689954844078e-05, 1.2604870992744185e-05, 1.343476086459679e-05, 8.800309551070033e-06]"
7,"[1.0864266933942824e-07, 1.5403188416398165e-07, 1.7606562342360037e-07, 1.960781897016591e-07, 1.2356381670118687e-07]","[5.760763334067681e-06, 8.754128580614e-06, 1.0844513022674765e-05, 1.0858997484388677e-05, 7.520319576004882e-06]"
8,"[1.4846516345798818e-07, 2.1940107109054924e-07, 2.6987030284927e-07, 2.7436106466492624e-07, 1.866863766609081e-07]","[6.443290951552117e-06, 9.758805234993656e-06, 1.2107141956310579e-05, 1.2114829031088234e-05, 8.39066671401558e-06]"
9,"[2.1538071744064615e-07, 2.952628697888346e-07, 3.310931747251743e-07, 3.804179488304997e-07, 2.3175051186301074e-07]","[7.370207381246464e-06, 1.1090139207675197e-05, 1.3723231051040942e-05, 1.3795990158563726e-05, 9.509925431546246e-06]"
10,"[1.3512353087007473e-07, 1.9518564566334336e-07, 2.3143636740931995e-07, 2.465452590424143e-07, 1.611714025879871e-07]","[6.179753144268621e-06, 9.410472572464457e-06, 1.171923341994764e-05, 1.1661603397355866e-05, 8.118688420812856e-06]"
11,"[1.3123206304690875e-07, 1.9798903194520088e-07, 2.4707499790463423e-07, 2.458944897811703e-07, 1.7090810618373796e-07]","[6.347385028410236e-06, 9.820735844722998e-06, 1.2487630185811433e-05, 1.2095087218401054e-05, 8.623254623818903e-06]"
12,"[8.664226062895102e-08, 1.3184375298091516e-07, 1.645381532395286e-07, 1.63401641486983e-07, 1.1392177807739628e-07]","[5.55014904218472e-06, 8.530759752389547e-06, 1.0709703729593882e-05, 1.0536862021596477e-05, 7.41232757894312e-06]"
13,"[1.491728460745487e-07, 2.1267911815291075e-07, 2.497389446366695e-07, 2.6997228474725093e-07, 1.7415415222938622e-07]","[6.334721578129852e-06, 9.615258205208778e-06, 1.1987588578984042e-05, 1.1924935291294091e-05, 8.300013709625916e-06]"
14,"[1.2508572002493377e-07, 1.7795329646334414e-07, 2.062099474632216e-07, 2.2620260443520987e-07, 1.4415764236559447e-07]","[5.876175541073966e-06, 9.068408457036117e-06, 1.1501060361657562e-05, 1.1178500149167745e-05, 7.944974245902079e-06]"
15,"[8.825383103353659e-08, 1.3617668639849754e-07, 1.7179674640684897e-07, 1.6795989605196062e-07, 1.1882201588027986e-07]","[5.736028264684756e-06, 8.903535261438489e-06, 1.1296395105071363e-05, 1.0958055392812645e-05, 7.806577971337298e-06]"
16,"[1.0977120984480066e-07, 1.6814148034006133e-07, 2.1147175219485676e-07, 2.0778825110526075e-07, 1.462487587683272e-07]","[6.118268708412569e-06, 9.432976344359758e-06, 1.188047627679245e-05, 1.1638492766567392e-05, 8.218799568624087e-06]"
17,"[9.072652148201611e-08, 1.4057822909310246e-07, 1.7805219913527372e-07, 1.7314129960405024e-07, 1.2304794306092256e-07]","[5.772299149313269e-06, 8.965563350807924e-06, 1.1372546609690366e-05, 1.103284347728833e-05, 7.859937546830551e-06]"
18,"[9.220388881747569e-08, 1.4228521880097715e-07, 1.8128148007441967e-07, 1.752840596894909e-07, 1.250853140759984e-07]","[6.041835689883543e-06, 9.381977610240672e-06, 1.1940997820638813e-05, 1.1542715753494657e-05, 8.246547726031507e-06]"
19,"[9.981283991574038e-08, 1.5313637908488819e-07, 1.9362687677621826e-07, 1.8908042123875796e-07, 1.337966010531338e-07]","[5.731075434656291e-06, 8.844363108339099e-06, 1.1183943073252277e-05, 1.090554510699605e-05, 7.730866930723161e-06]"
20,"[1.1099695331922922e-07, 1.6639129331937489e-07, 2.059209709543354e-07, 2.0727929224601364e-07, 1.4257377574216743e-07]","[6.084082662562939e-06, 9.393183163583286e-06, 1.1864449600689302e-05, 1.158177155444242e-05, 8.203582107366654e-06]"
21,"[9.562745545694967e-08, 1.4721675881102712e-07, 1.85479652179101e-07, 1.817053172945134e-07, 1.28290957523833e-07]","[6.160534354540623e-06, 9.482490904947862e-06, 1.1922984231912155e-05, 1.1706493838283756e-05, 8.250112303089892e-06]"
22,"[9.685184380919802e-08, 1.4898929960800405e-07, 1.8745906850701727e-07, 1.8394321147726576e-07, 1.2968528993220997e-07]","[5.909451410613864e-06, 9.163180112020908e-06, 1.1619580252362238e-05, 1.1281443437894066e-05, 8.030144332416515e-06]"
23,"[9.223963792462498e-08, 1.405179218353837e-07, 1.7627365435514932e-07, 1.74025200766856e-07, 1.2187170617391814e-07]","[5.8331026777654946e-06, 9.051459188518237e-06, 1.1497614206975633e-05, 1.113974896901979e-05, 7.943471176542324e-06]"
24,"[9.201843535977882e-08, 1.412214036223289e-07, 1.78126102038955e-07, 1.7448108553981045e-07, 1.2312821298358778e-07]","[6.349932973643573e-06, 9.859213702362713e-06, 1.2515495274732755e-05, 1.2132832821992503e-05, 8.648220538906887e-06]"
25,"[1.0168785135831824e-07, 1.5332897346238847e-07, 1.8891104761203906e-07, 1.907064913573019e-07, 1.310625868440167e-07]","[6.146809236430594e-06, 9.486053832137551e-06, 1.1972975542183989e-05, 1.1698800490409534e-05, 8.279513128524493e-06]"
26,"[1.117750482784495e-07, 1.66926723015826e-07, 2.07139732202181e-07, 2.0779410664330943e-07, 1.4339484233953427e-07]","[5.971583936950677e-06, 9.224390512650246e-06, 1.1669064946637938e-05, 1.1370376732303376e-05, 8.066329741551443e-06]"
27,"[9.007822870911977e-08, 1.3781377281211424e-07, 1.7261465421281788e-07, 1.7048069924699528e-07, 1.1948652968836361e-07]","[6.198330911797637e-06, 9.504656087763484e-06, 1.1891025410606353e-05, 1.1751019422751176e-05, 8.234449370514797e-06]"
28,"[1.280700012397617e-07, 1.9908600764731905e-07, 2.5969649649710026e-07, 2.442775719997559e-07, 1.7853823139260803e-07]","[6.390549232282656e-06, 9.771312746446448e-06, 1.2282867381290165e-05, 1.208359718415888e-05, 8.495583003447648e-06]"
29,"[8.792709252409287e-08, 1.3365768077841406e-07, 1.6849163054119254e-07, 1.6559476750094261e-07, 1.1646296737302045e-07]","[5.4569263160108416e-06, 8.37525324092569e-06, 1.0504344409597817e-05, 1.03498722430303e-05, 7.2706882025166154e-06]"
30,"[8.325023330375249e-08, 1.2686097363618847e-07, 1.5804096387825636e-07, 1.5717014709641678e-07, 1.0947807136401081e-07]","[6.247557281960034e-06, 9.593255400038774e-06, 1.202157577191737e-05, 1.1854508399972552e-05, 8.322787444232494e-06]"
31,"[9.390733163556112e-08, 1.4153644429340658e-07, 1.743466900328047e-07, 1.7607400263470527e-07, 1.2096554363190774e-07]","[5.8317145193121285e-06, 9.005216443085166e-06, 1.1373777386936651e-05, 1.1103135053804867e-05, 7.86454715367738e-06]"
32,"[7.747840695897279e-08, 1.1865732583257931e-07, 1.4877625471460652e-07, 1.4672453895851376e-07, 1.029587679065889e-07]","[5.531720475950593e-06, 8.54257453807056e-06, 1.0792034963202058e-05, 1.0532397919102391e-05, 7.461862451277193e-06]"
33,"[8.171870341500026e-08, 1.252881503323723e-07, 1.5751346742579938e-07, 1.548281687217378e-07, 1.0896306731089917e-07]","[6.032109898826301e-06, 9.290777763927155e-06, 1.168832238685165e-05, 1.146729825444452e-05, 8.087192628237707e-06]"
34,"[8.789156808078942e-08, 1.339882276071612e-07, 1.685153259183272e-07, 1.658580732312782e-07, 1.1648319377638967e-07]","[5.651636353084731e-06, 8.6810048062699e-06, 1.0928474060453315e-05, 1.0722297454308804e-05, 7.558382092406596e-06]"
35,"[1.0681052043708963e-07, 1.6287455615892544e-07, 2.0360772834682206e-07, 2.016794695428915e-07, 1.4095631147837583e-07]","[6.453945003305307e-06, 1.0011583148936643e-05, 1.2737769110417349e-05, 1.2320618383927412e-05, 8.79708779768278e-06]"
36,"[8.741705816413695e-08, 1.344656570665142e-07, 1.6939601120322486e-07, 1.6599751151851913e-07, 1.171572577483944e-07]","[6.217786550302831e-06, 9.623594694356074e-06, 1.2161102366893666e-05, 1.185768127179199e-05, 8.409550792201643e-06]"
37,"[8.41852031541865e-08, 1.2789805121727602e-07, 1.5911482597264323e-07, 1.5860311190667062e-07, 1.1022585924287001e-07]","[5.815555754685194e-06, 8.972998809506323e-06, 1.1317058595336552e-05, 1.1067204985346e-05, 7.827125882952104e-06]"
38,"[8.483852548413738e-08, 1.296507009065578e-07, 1.6204381525256337e-07, 1.6044292373495486e-07, 1.1220915437493105e-07]","[5.813178064655998e-06, 8.938983962824542e-06, 1.1227947515477624e-05, 1.103937358132518e-05, 7.770339980959164e-06]"
39,"[1.1552410581847638e-07, 1.730747697554257e-07, 2.1451995669770968e-07, 2.1555966912075174e-07, 1.4850233004197283e-07]","[6.018223876098836e-06, 9.219860049893405e-06, 1.1566487808655602e-05, 1.1399031163902527e-05, 8.004205945918593e-06]"
40,"[9.455444166813783e-08, 1.4211349952088003e-07, 1.7598566259026165e-07, 1.7688945769936449e-07, 1.2187910451433136e-07]","[5.402037324180875e-06, 8.303007133674327e-06, 1.0433537422623617e-05, 1.0254968748262068e-05, 7.219520516538743e-06]"
41,"[2.059633005048413e-07, 2.983818888412581e-07, 3.6633614744262986e-07, 3.756401710076452e-07, 2.530042979077414e-07]","[6.6333686253471165e-06, 9.971604551876545e-06, 1.2525382808720683e-05, 1.2387934725621718e-05, 8.65278881833479e-06]"
42,"[1.649173297373585e-07, 2.519344782982481e-07, 3.3349948557598113e-07, 3.0824682260257377e-07, 2.2870166869845836e-07]","[7.715936129595057e-06, 1.1986870387699702e-05, 1.5279587129657115e-05, 1.4742586618185587e-05, 1.0549613315979158e-05]"
43,"[1.211181221159481e-07, 1.8397432684677335e-07, 2.3085760249984883e-07, 2.280423269464553e-07, 1.5958115558978476e-07]","[6.198308405581722e-06, 9.483146710618784e-06, 1.1893783158060418e-05, 1.1729416411874818e-05, 8.230023526829547e-06]"
44,"[8.698929189568483e-08, 1.331840570710004e-07, 1.6757939934031392e-07, 1.6464398948882927e-07, 1.1589358914249696e-07]","[5.909192486380198e-06, 9.12927822208374e-06, 1.1548603498840965e-05, 1.1253232736265434e-05, 7.982828333548113e-06]"
