mean,std,variance,skew,kurtosis,rms,zcr,delta_power,delta_relative_power,theta_power,theta_relative_power,alpha_power,alpha_relative_power,beta_power,beta_relative_power,gamma_power,gamma_relative_power,epoch
"[3.18563806e-07 2.34108511e-07 2.02659746e-07 2.03153382e-07
 9.38494730e-08]","[1.13231347e-05 8.77412890e-06 9.08446452e-06 8.69253908e-06
 6.56218972e-06]","[1.28213379e-10 7.69853380e-11 8.25274956e-11 7.55602356e-11
 4.30623339e-11]",[-0.12163015  0.20115778  0.36173398  0.28232139  0.07382903],[ 3.0169935   1.95825331  0.98576638  0.4325423  -0.01472589],"[1.13276150e-05 8.77725155e-06 9.08672475e-06 8.69491270e-06
 6.56286078e-06]",[0.02636719 0.02792969 0.03079427 0.03066406 0.03164062],"[1.99806871e-11 1.13828039e-11 1.16535471e-11 1.03439226e-11
 5.97344875e-12]",[0.49881348 0.45499347 0.41015131 0.41543518 0.40675897],"[1.49925126e-11 9.51005405e-12 1.09535168e-11 8.64991638e-12
 4.88166321e-12]",[0.3742848  0.38013591 0.38551346 0.34740009 0.33241438],"[8.98201506e-12 6.34718639e-12 7.89670050e-12 6.36416129e-12
 3.57093166e-12]",[0.22423404 0.25370975 0.27792757 0.25559902 0.24316078],"[5.08541804e-12 3.54612638e-12 4.53442771e-12 4.77736550e-12
 3.06413472e-12]",[0.12695635 0.14174577 0.15959102 0.19186974 0.2086507 ],"[1.66774908e-13 1.11588565e-13 1.36327553e-13 1.43414309e-13
 8.07485586e-14]",[0.0041635  0.00446042 0.0047981  0.00575984 0.00549853],0
"[3.00323452e-08 3.79359533e-08 5.62400948e-08 6.08005485e-08
 5.22598562e-08]","[1.06155801e-05 8.07700902e-06 8.18752407e-06 7.96898122e-06
 6.00508751e-06]","[1.12690540e-10 6.52380747e-11 6.70355505e-11 6.35046616e-11
 3.60610760e-11]",[-0.64431509 -0.1950802   0.02209053  0.03665787 -0.11804085],[3.36558908 1.21625718 0.26745544 0.11338379 0.05954232],"[1.06156225e-05 8.07709811e-06 8.18771723e-06 7.96921316e-06
 6.00531490e-06]",[0.02617188 0.02708333 0.0296875  0.02864583 0.03046875],"[1.89306242e-11 1.09932022e-11 1.18248474e-11 1.08768275e-11
 6.40655475e-12]",[0.51549687 0.50020237 0.4865289  0.48629216 0.47651138],"[1.56743535e-11 9.11030668e-12 9.86709323e-12 8.32051841e-12
 5.01141070e-12]",[0.42682588 0.41452863 0.40597784 0.37200212 0.37274235],"[7.08174935e-12 4.62759925e-12 5.49039154e-12 5.09316274e-12
 3.09250358e-12]",[0.19284201 0.21056068 0.2259001  0.22771025 0.23001648],"[4.47875712e-12 3.02612629e-12 3.64887940e-12 3.64012584e-12
 2.13492596e-12]",[0.12196034 0.13769196 0.15013177 0.16274641 0.15879307],"[1.18743160e-13 8.09481746e-14 9.99738831e-14 1.05444107e-13
 6.09550471e-14]",[0.00323348 0.00368323 0.00411339 0.0047143  0.00453376],1
"[-7.56056610e-08 -5.58276479e-08 -4.88559970e-08 -5.47456217e-08
 -2.87493976e-08]","[7.95229923e-06 6.47972060e-06 7.24707977e-06 6.98541162e-06
 5.59160307e-06]","[6.32390630e-11 4.19867791e-11 5.25201652e-11 4.87959755e-11
 3.12660249e-11]",[ 0.41152981  0.42080169  0.26251622  0.2335046  -0.00806726],[1.24244638 0.77734696 0.33500978 0.30413282 0.08680701],"[7.95265862e-06 6.47996109e-06 7.24724445e-06 6.98562614e-06
 5.59167698e-06]",[0.02923177 0.02949219 0.03079427 0.03105469 0.03391927],"[9.85260279e-12 6.76498185e-12 8.89584750e-12 8.48078083e-12
 5.54564752e-12]",[0.42251052 0.42516334 0.43598877 0.44749418 0.45799097],"[9.89818696e-12 6.81171359e-12 8.73477734e-12 7.37422943e-12
 4.56214473e-12]",[0.42446531 0.42810032 0.42809466 0.38910624 0.37676775],"[5.26382996e-12 3.64565258e-12 4.63278664e-12 4.14026290e-12
 2.55198323e-12]",[0.22572955 0.22912077 0.22705459 0.21846379 0.21075723],"[4.23821608e-12 2.79021375e-12 3.40009036e-12 3.44023371e-12
 2.17825091e-12]",[0.181748   0.17535843 0.16663968 0.18152628 0.17989229],"[1.13524884e-13 7.05277832e-14 8.43001441e-14 8.30703894e-14
 5.29763636e-14]",[0.0048683  0.00443251 0.00413158 0.00438327 0.00437509],2
"[9.05551274e-08 5.53526795e-08 3.16255252e-08 3.74328778e-08
 4.98734025e-09]","[8.55160613e-06 6.85521708e-06 7.42744451e-06 7.04173688e-06
 5.47286217e-06]","[7.31299675e-11 4.69940012e-11 5.51669320e-11 4.95860583e-11
 2.99522203e-11]",[0.31372482 0.31939437 0.26289938 0.2046384  0.10258608],[0.15612418 0.07309759 0.11771141 0.07629923 0.12315816],"[8.55208558e-06 6.85544055e-06 7.42751184e-06 7.04183638e-06
 5.47286444e-06]",[0.02884115 0.02923177 0.03105469 0.03326823 0.0313151 ],"[9.13948510e-12 6.17126911e-12 8.01889033e-12 7.37705520e-12
 4.70353216e-12]",[0.37054027 0.36247255 0.37105608 0.39350501 0.41491675],"[1.05210450e-11 7.31635375e-12 9.29424696e-12 7.13211890e-12
 4.14660651e-12]",[0.42655257 0.42972966 0.43007033 0.38043968 0.36578819],"[7.52561444e-12 5.48698031e-12 6.96746922e-12 5.54071990e-12
 3.14108011e-12]",[0.30510944 0.3222805  0.32240393 0.29555168 0.27708682],"[3.88283675e-12 2.59490698e-12 3.17522080e-12 3.15134256e-12
 1.91698571e-12]",[0.15742105 0.15241315 0.14692619 0.16809812 0.16910472],"[9.94350902e-14 5.71754671e-14 6.45502560e-14 6.95120968e-14
 4.42433107e-14]",[0.00403138 0.00335823 0.00298692 0.0037079  0.00390287],3
"[-1.13468838e-07 -8.55912602e-08 -7.71015869e-08 -6.54587210e-08
 -2.69958255e-08]","[9.23318024e-06 7.55971718e-06 8.27005630e-06 8.02417764e-06
 6.03608800e-06]","[8.52516173e-11 5.71493238e-11 6.83938312e-11 6.43874268e-11
 3.64343583e-11]",[-0.31468939 -0.06732998  0.08577338  0.0882671   0.08516957],[3.38261871 1.63405256 0.57758958 0.64951976 0.35073749],"[9.23387743e-06 7.56020169e-06 8.27041570e-06 8.02444463e-06
 6.03614837e-06]",[0.0266276  0.02740885 0.02858073 0.02988281 0.03144531],"[1.54578148e-11 1.01432497e-11 1.17562633e-11 1.06287196e-11
 5.77055058e-12]",[0.47577357 0.46146197 0.44117419 0.42999093 0.40824091],"[1.26817617e-11 8.72314266e-12 1.07931698e-11 9.42236876e-12
 5.34054082e-12]",[0.39032988 0.39685492 0.40503243 0.38118732 0.37781962],"[6.77007626e-12 5.04462540e-12 6.71982956e-12 6.35903227e-12
 3.78622788e-12]",[0.20837508 0.22950266 0.25217327 0.25725829 0.26785886],"[4.89613284e-12 3.25442830e-12 3.91786669e-12 4.04364965e-12
 2.45003265e-12]",[0.15069728 0.14805855 0.14702475 0.16358816 0.17332896],"[1.23947274e-13 7.12947612e-14 7.99731495e-14 8.00002181e-14
 5.04095186e-14]",[0.00381495 0.00324352 0.00300113 0.00323645 0.00356625],4
"[ 7.14883973e-08  4.83673358e-08  3.52316921e-08  1.09784709e-08
 -1.36144181e-08]","[8.48519329e-06 6.83380614e-06 7.55128259e-06 7.40172506e-06
 5.90456030e-06]","[7.19985051e-11 4.67009063e-11 5.70218687e-11 5.47855339e-11
 3.48638324e-11]",[-0.36545903 -0.08785499  0.07375779  0.10938336  0.03091873],[3.06342177 1.58583583 0.53491187 0.50806254 0.06264575],"[8.48549443e-06 6.83397730e-06 7.55136477e-06 7.40173320e-06
 5.90457600e-06]",[0.03229167 0.03359375 0.03372396 0.0328125  0.03033854],"[1.26567275e-11 8.11266555e-12 9.91945442e-12 1.02692600e-11
 6.66569762e-12]",[0.44463667 0.42034659 0.40765147 0.45419164 0.47114171],"[1.26758771e-11 8.77038412e-12 1.10742946e-11 9.54535181e-12
 5.65247348e-12]",[0.4453094  0.45442537 0.45511097 0.42217443 0.39952548],"[6.65346510e-12 4.96952355e-12 6.57663804e-12 5.34356344e-12
 3.13156329e-12]",[0.23373929 0.25748902 0.27027456 0.23633659 0.22134369],"[4.35394870e-12 3.06278172e-12 3.89297572e-12 3.68076346e-12
 2.22957841e-12]",[0.15295622 0.15869382 0.15998635 0.16279381 0.15759001],"[9.55051662e-14 5.57781758e-14 6.86235230e-14 7.18635428e-14
 5.04645056e-14]",[0.00335514 0.00289007 0.00282016 0.0031784  0.00356691],5
"[-2.30207472e-08 -1.70903998e-08 -1.45613842e-08  8.22254593e-09
  1.57148271e-08]","[9.91690367e-06 7.51779650e-06 7.73014127e-06 7.59844517e-06
 5.90584616e-06]","[9.83449784e-11 5.65172643e-11 5.97550841e-11 5.77363690e-11
 3.48790189e-11]",[-1.38371142 -0.69398838 -0.00951261  0.11181367  0.04956034],[12.48483284  6.10218607  1.10861459  0.86084872  0.40532339],"[9.91693039e-06 7.51781593e-06 7.73015499e-06 7.59844962e-06
 5.90586707e-06]",[0.02519531 0.02897135 0.02832031 0.02890625 0.0328125 ],"[1.86739274e-11 1.08967829e-11 1.16311425e-11 1.08106732e-11
 6.21878042e-12]",[0.52774782 0.48664653 0.44643432 0.4312464  0.4185144 ],"[1.44034281e-11 9.32162365e-12 1.11485421e-11 1.00648471e-11
 5.88774855e-12]",[0.40705834 0.41630046 0.42791082 0.4014948  0.39623647],"[6.92486994e-12 5.01342248e-12 6.35537900e-12 6.43529421e-12
 3.73410443e-12]",[0.19570522 0.2238977  0.24393642 0.25670903 0.25129951],"[4.06330318e-12 2.78579136e-12 3.53767702e-12 3.82741454e-12
 2.42059376e-12]",[0.11483387 0.12441247 0.13578549 0.15267863 0.16290225],"[9.62463245e-14 5.50984504e-14 6.28270838e-14 6.74984164e-14
 4.52870977e-14]",[0.00272004 0.00246068 0.00241147 0.00269257 0.00304775],6
"[-6.42418820e-08 -3.79077982e-08 -1.92884751e-08 -2.49535577e-08
 -1.74979780e-09]","[8.67036306e-06 6.88161527e-06 7.39805249e-06 7.24653415e-06
 5.66478868e-06]","[7.51751955e-11 4.73566288e-11 5.47311806e-11 5.25122572e-11
 3.20898307e-11]",[-0.09973438  0.10334762  0.14757013  0.21785529  0.1051326 ],[1.41391238 0.57604638 0.13598395 0.14564146 0.00614957],"[8.67060105e-06 6.88171968e-06 7.39807763e-06 7.24657712e-06
 5.66478895e-06]",[0.02786458 0.02955729 0.02981771 0.03326823 0.03261719],"[1.32727915e-11 8.26794799e-12 9.67738484e-12 8.85251884e-12
 5.55815466e-12]",[0.46379791 0.44382607 0.43436304 0.4228499  0.43860826],"[1.20349574e-11 7.72324451e-12 9.03516279e-12 7.75417655e-12
 4.46294255e-12]",[0.42054364 0.41458621 0.40553732 0.37038642 0.35218226],"[6.39204878e-12 4.56157770e-12 5.77370781e-12 5.57000199e-12
 3.26384832e-12]",[0.22336061 0.24486694 0.25914907 0.26605702 0.25755865],"[4.13535130e-12 2.79393926e-12 3.39762095e-12 3.52619133e-12
 2.06924843e-12]",[0.14450369 0.14997955 0.15249998 0.16843225 0.16328971],"[9.57107937e-14 5.50742985e-14 6.55501071e-14 7.31964689e-14
 5.04183405e-14]",[0.00334447 0.00295641 0.00294217 0.00349631 0.00397864],7
"[ 9.43750109e-08  6.30777521e-08  4.50226121e-08  2.76951678e-08
 -5.10706780e-09]","[1.15827412e-05 9.10078538e-06 9.43939232e-06 9.51628369e-06
 6.94068683e-06]","[1.34159894e-10 8.28242945e-11 8.91021273e-11 9.05596553e-11
 4.81731337e-11]",[-0.11826176 -0.11434904 -0.11974856 -0.22140714 -0.1309674 ],[3.87101033 3.09116476 2.05857851 2.42914803 1.11305793],"[1.15831257e-05 9.10100397e-06 9.43949969e-06 9.51632399e-06
 6.94068871e-06]",[0.02695313 0.02734375 0.02714844 0.02734375 0.02936198],"[1.97851089e-11 1.12715304e-11 1.16032668e-11 1.07868651e-11
 6.33005170e-12]",[0.53777602 0.49211518 0.44658791 0.45177485 0.45377244],"[1.47297241e-11 9.30456349e-12 1.05731399e-11 8.54120041e-12
 4.79826616e-12]",[0.40036638 0.40623738 0.40694026 0.35772205 0.34396574],"[7.22575864e-12 5.30318116e-12 6.72928760e-12 6.04033877e-12
 3.33170104e-12]",[0.19640224 0.23153697 0.25899762 0.25298111 0.2388344 ],"[4.25986480e-12 2.86389472e-12 3.49085657e-12 3.65501580e-12
 2.12907456e-12]",[0.11578673 0.12503768 0.1343565  0.15307916 0.15262361],"[1.17743438e-13 7.13405359e-14 8.73207864e-14 8.73645548e-14
 5.70174756e-14]",[0.00320037 0.00311473 0.00336081 0.003659   0.00408732],8
"[-7.60519824e-08 -6.17164645e-08 -6.14645343e-08 -3.72446915e-08
 -1.22432179e-08]","[8.39227889e-06 6.77013604e-06 7.36600778e-06 7.20908255e-06
 5.61162747e-06]","[7.04303449e-11 4.58347420e-11 5.42580706e-11 5.19708711e-11
 3.14903629e-11]",[ 0.27119068  0.20517952  0.05899139  0.05221854 -0.12972499],[1.15255544 0.67947824 0.15357651 0.34366354 0.1481879 ],"[8.39262348e-06 6.77041734e-06 7.36626421e-06 7.20917875e-06
 5.61164083e-06]",[0.03014323 0.0296224  0.03033854 0.03066406 0.0328125 ],"[1.00556009e-11 6.93681927e-12 9.10882847e-12 9.07825237e-12
 5.88048557e-12]",[0.40087195 0.39860169 0.41067153 0.42999966 0.45082944],"[1.08714589e-11 7.72030240e-12 1.01051918e-11 8.67528638e-12
 5.31077997e-12]",[0.43339657 0.44362199 0.45559257 0.41091281 0.40715276],"[6.52015237e-12 4.56728512e-12 5.59408189e-12 5.20501062e-12
 3.01293041e-12]",[0.25992939 0.26244414 0.25220918 0.24654005 0.23098734],"[3.93137349e-12 2.63918253e-12 3.17333729e-12 3.21018067e-12
 1.90692164e-12]",[0.15672633 0.15165201 0.14306991 0.15205312 0.1461948 ],"[1.01040323e-13 5.90051452e-14 6.55124382e-14 7.22860731e-14
 4.37357946e-14]",[0.00402803 0.00339054 0.00295363 0.0034239  0.00335302],9
