epoch,hjorth_activity,hjorth_mobility,hjorth_complexity,perm_entropy,approx_entropy,sample_entropy,shannon_entropy
0,"[1.28213379e-10 7.69853380e-11 8.25274956e-11 7.55602356e-11
 4.30623339e-11]",[0.0849839  0.09091508 0.09821274 0.10075555 0.10340582],[1.80884802 1.52553854 1.5087273  1.48537556 1.23083126],[0.55775    0.55700527 0.55590285 0.5593987  0.55805989],[0.35226656 0.382764   0.41710643 0.43083508 0.44620194],[0.27971654 0.30925502 0.34317342 0.35625472 0.37341434],[3.0942836  3.1928002  3.28809078 3.35572656 3.39169393]
1,"[1.12690540e-10 6.52380747e-11 6.70355505e-11 6.35046616e-11
 3.60610760e-11]",[0.08182232 0.08703616 0.09418557 0.09555988 0.09781548],[1.71284893 1.43641468 1.43011543 1.41997487 1.16166557],[0.55411919 0.55609198 0.55854176 0.56005564 0.56005968],[0.33309203 0.36388533 0.39993758 0.40797614 0.42628025],[0.2644855  0.29438352 0.33174501 0.33685608 0.35727216],[3.02296258 3.10018589 3.16654053 3.19878008 3.21806923]
2,"[6.32390630e-11 4.19867791e-11 5.25201652e-11 4.87959755e-11
 3.12660249e-11]",[0.10136925 0.10112859 0.1011293  0.10325858 0.10256232],[1.37403801 1.19778746 1.29267426 1.26901778 1.10837525],[0.55673089 0.55547046 0.55630916 0.55535627 0.55660238],[0.41098105 0.41706623 0.4277711  0.44023972 0.44758017],[0.32970536 0.33953003 0.35566306 0.37059294 0.38309282],[3.29721714 3.28571482 3.26653765 3.29091471 3.28413022]
3,"[7.31299675e-11 4.69940012e-11 5.51669320e-11 4.95860583e-11
 2.99522203e-11]",[0.0976695  0.1002281  0.10314036 0.10526253 0.10418204],[1.42844174 1.20876034 1.24879858 1.24105354 1.06195579],[0.55397994 0.55123054 0.55018548 0.55563117 0.55493662],[0.40974797 0.4222459  0.43850378 0.44723562 0.45096289],[0.33606071 0.34883958 0.3631457  0.36899057 0.37838001],[3.30602213 3.29908369 3.28556116 3.34016178 3.32440949]
4,"[8.52516173e-11 5.71493238e-11 6.83938312e-11 6.43874268e-11
 3.64343583e-11]",[0.09441    0.09450563 0.09633556 0.09895312 0.10228702],[1.52851599 1.32164775 1.37081302 1.34438693 1.12007993],[0.55244316 0.54881071 0.54601758 0.54748227 0.55121934],[0.37356892 0.38103845 0.40299871 0.41390793 0.43979179],[0.29383954 0.30420393 0.33312712 0.34190298 0.37381673],[3.18182149 3.19507257 3.2210754  3.27568502 3.32717138]
5,"[7.19985051e-11 4.67009063e-11 5.70218687e-11 5.47855339e-11
 3.48638324e-11]",[0.09908617 0.10275042 0.10571148 0.10324138 0.10106303],[1.3820821  1.17165468 1.23204637 1.2531938  1.10839563],[0.54982277 0.54453818 0.54659357 0.54967995 0.55593934],[0.41174134 0.42971468 0.44641197 0.43647365 0.43774533],[0.3304893  0.34918164 0.36936542 0.35915551 0.36623153],[3.21334355 3.24449586 3.26521897 3.23360912 3.21783637]
6,"[9.83449784e-11 5.65172643e-11 5.97550841e-11 5.77363690e-11
 3.48790189e-11]",[0.08483484 0.09249694 0.10154065 0.10587279 0.10697697],[1.60161605 1.28601148 1.26481846 1.23982827 1.066816  ],[0.55162001 0.54677005 0.54841054 0.54880122 0.55096322],[0.33835293 0.37258938 0.41669509 0.43377879 0.45542091],[0.25755753 0.29107178 0.33738869 0.35507445 0.38147484],[3.01205318 3.102695   3.19082283 3.25002822 3.29596841]
7,"[7.51751955e-11 4.73566288e-11 5.47311806e-11 5.25122572e-11
 3.20898307e-11]",[0.09456077 0.09770158 0.10131356 0.10454013 0.10338549],[1.45405131 1.23020144 1.27860906 1.26718356 1.0956545 ],[0.55476929 0.55347094 0.55256815 0.5544385  0.55777263],[0.38237168 0.39919043 0.42415309 0.43541617 0.44710127],[0.29921737 0.31780392 0.34751584 0.3605219  0.37755754],[3.18505292 3.2254612  3.24992064 3.31031861 3.2927807 ]
8,"[1.34159894e-10 8.28242945e-11 8.91021273e-11 9.05596553e-11
 4.81731337e-11]",[0.07354353 0.0767292  0.0822151  0.081226   0.08523761],[1.88555798 1.56858799 1.56378536 1.61055708 1.30868109],[0.55259816 0.55317875 0.54768943 0.54997516 0.55100761],[0.29665714 0.31439382 0.34723081 0.34027606 0.36792102],[0.23378315 0.2497073  0.28328345 0.27627312 0.31277503],[3.00242278 3.09626019 3.18657833 3.2261572  3.23983774]
9,"[7.04303449e-11 4.58347420e-11 5.42580706e-11 5.19708711e-11
 3.14903629e-11]",[0.09620867 0.09812073 0.1003617  0.10198012 0.10118612],[1.42155763 1.20951854 1.2589115  1.25706773 1.07054347],[0.54990048 0.54698792 0.55055001 0.55149672 0.55151826],[0.39236847 0.40524676 0.42505404 0.42678416 0.43741046],[0.31882745 0.33292713 0.35427714 0.35314476 0.36205078],[3.28400021 3.2735123  3.24164292 3.26498998 3.22886719]
10,"[1.33511662e-10 7.74882428e-11 7.91451892e-11 7.38745372e-11
 4.14105992e-11]",[0.07516319 0.08044923 0.08839637 0.09124174 0.09440994],[1.85536906 1.52986107 1.51201288 1.45470732 1.20325603],[0.55523629 0.55170478 0.55095899 0.54933105 0.5516045 ],[0.30086368 0.3279796  0.36774709 0.37959176 0.40418938],[0.22848319 0.25217518 0.29115926 0.29898037 0.32776035],[2.95618664 3.03057562 3.11510351 3.17578949 3.20911771]
11,"[8.11576160e-11 5.06805389e-11 5.96881231e-11 5.83961193e-11
 3.73909178e-11]",[0.09326492 0.09564612 0.09692176 0.0962388  0.09243101],[1.49610442 1.27034923 1.33519286 1.3414254  1.1807194 ],[0.55379625 0.55026124 0.54974832 0.55125887 0.55393796],[0.3598859  0.37347493 0.39465722 0.39272535 0.40040386],[0.27713036 0.29485326 0.31615169 0.31754985 0.33701761],[3.09963416 3.15413558 3.18803573 3.20703157 3.17775779]
12,"[1.36364152e-10 7.28242921e-11 7.37898517e-11 6.77641027e-11
 4.36336976e-11]",[0.07586503 0.0822625  0.09063639 0.09115143 0.08877199],[1.83179248 1.4656007  1.48528313 1.42354911 1.28340509],[0.55318693 0.54956605 0.55218149 0.55228795 0.55568758],[0.30593793 0.33882461 0.38058805 0.38181669 0.38445904],[0.22781071 0.25903632 0.30240439 0.30992566 0.32502134],[2.79443763 2.92156765 3.09408312 3.12792912 3.16192152]
13,"[1.16239331e-10 6.98503658e-11 7.39031372e-11 7.27052178e-11
 3.99091706e-11]",[0.07617495 0.07987178 0.08556656 0.08558074 0.08883352],[1.73519429 1.44657332 1.45392363 1.45173884 1.17962335],[0.54851755 0.54494029 0.54392471 0.54836056 0.54904096],[0.30723153 0.32686742 0.35645255 0.35771702 0.38543219],[0.23808077 0.25780472 0.29020908 0.29052107 0.3233695 ],[2.97347057 3.06991221 3.15127779 3.18914957 3.16133698]
14,"[1.17093923e-10 6.74478265e-11 6.97587929e-11 6.47696885e-11
 3.67238965e-11]",[0.07807591 0.08416442 0.09145088 0.09257058 0.09304563],[1.71759353 1.41990593 1.41753152 1.39695929 1.16325005],[0.55262232 0.54855821 0.55074638 0.55117151 0.55311951],[0.31182599 0.3425519  0.37846809 0.37917554 0.39430811],[0.2392496  0.26770459 0.30474828 0.30173912 0.3223662 ],[2.87655126 3.01683986 3.16129132 3.21193663 3.22251047]
15,"[1.22961512e-10 7.39641977e-11 9.89727446e-11 1.13377699e-10
 8.99151961e-11]",[0.10005772 0.1051798  0.09932843 0.09511866 0.07896053],[1.80392006 1.51352685 1.65377969 1.74534382 1.76861465],[0.55842766 0.55433853 0.5536557  0.55462038 0.55650299],[0.34383996 0.36482513 0.35114797 0.33460888 0.29000043],[0.25039269 0.26956094 0.26512447 0.24678439 0.2173713 ],[3.3534122  3.3933662  3.37153889 3.36991828 3.24085501]
16,"[9.09698888e-11 5.71960882e-11 6.42235990e-11 5.98670575e-11
 3.30312076e-11]",[0.08809976 0.09073925 0.09430312 0.09454862 0.09598419],[1.56032639 1.32006252 1.35784395 1.36152379 1.12784372],[0.55510286 0.55338577 0.55006759 0.55340681 0.55553891],[0.36865555 0.38245045 0.40128007 0.40038934 0.4165572 ],[0.29437786 0.30725576 0.32801916 0.32846032 0.35322297],[3.13875922 3.19036716 3.21875997 3.24201965 3.20819292]
17,"[1.12356447e-10 7.34864274e-11 8.29421528e-11 7.45695844e-11
 3.85672628e-11]",[0.08490737 0.08670897 0.09048985 0.09291704 0.09824588],[1.64623102 1.41484401 1.44757862 1.44007517 1.16544812],[0.55204786 0.54817472 0.54676835 0.54964019 0.5533847 ],[0.35751631 0.36781815 0.38679347 0.39653239 0.42693118],[0.28644048 0.29730655 0.31752102 0.32858553 0.36318586],[3.09186626 3.13171398 3.18013765 3.23105723 3.26839804]
18,"[1.01417285e-10 6.37344418e-11 7.01424430e-11 6.81724887e-11
 3.76313754e-11]",[0.08793889 0.0915061  0.09665767 0.09584206 0.09773556],[1.69948957 1.437844   1.4423383  1.45446835 1.19430373],[0.55990435 0.55692191 0.55696287 0.55890554 0.55871903],[0.3541335  0.3710151  0.40146537 0.40013444 0.42196592],[0.28091482 0.29640908 0.32226444 0.31931687 0.34680813],[3.13578611 3.19663389 3.25472086 3.2695953  3.28104647]
19,"[6.65634020e-11 4.61064429e-11 5.85081208e-11 5.76089358e-11
 3.51140498e-11]",[0.10102701 0.09906103 0.09647644 0.09764189 0.09369523],[1.43548799 1.26133377 1.3564439  1.3595669  1.164666  ],[0.5607727  0.55582608 0.55371739 0.55694407 0.55507823],[0.40345415 0.40338957 0.40615737 0.41137766 0.40714399],[0.32141506 0.32346653 0.3312548  0.33490078 0.33869442],[3.32585439 3.3074762  3.25882786 3.28805372 3.21377456]
20,"[8.64833084e-11 5.83183021e-11 7.03470679e-11 6.84098242e-11
 3.99601574e-11]",[0.09501974 0.09556374 0.09729023 0.09684272 0.09696583],[1.57075856 1.36699808 1.42443938 1.44134475 1.2201692 ],[0.55744846 0.55656747 0.55530413 0.55709239 0.55785203],[0.38524688 0.39108045 0.40570952 0.40254231 0.41442775],[0.30633236 0.30979188 0.32373316 0.31887504 0.33323103],[3.17935479 3.19328464 3.21715454 3.23788511 3.25281988]
21,"[7.35173246e-11 4.99312534e-11 6.23915581e-11 5.91915869e-11
 3.61892964e-11]",[0.09750947 0.09858893 0.0987754  0.1000973  0.09691592],[1.45116964 1.26236557 1.34557849 1.34430124 1.15981963],[0.55875375 0.55485849 0.55547008 0.55605006 0.55435655],[0.39539538 0.40269812 0.41130901 0.41882339 0.42039748],[0.31784563 0.32389094 0.33285278 0.34135598 0.35113528],[3.21811464 3.22621654 3.20045884 3.21871916 3.14648523]
22,"[9.70194424e-11 5.95766450e-11 6.51416070e-11 7.95884571e-11
 5.31172812e-11]",[0.0860793  0.0892864  0.09353346 0.08340105 0.07678153],[1.6905987  1.40812338 1.41711066 1.59726452 1.43961356],[0.56068885 0.55790752 0.5549677  0.55783862 0.55854744],[0.35482254 0.36819183 0.38962759 0.34622499 0.32276473],[0.27555354 0.28932847 0.31604218 0.27844077 0.27183862],[3.13368486 3.14553503 3.16547539 3.17997472 3.1911459 ]
23,"[8.94457283e-11 6.36719828e-11 8.04177093e-11 8.16102980e-11
 4.60177067e-11]",[0.0873253  0.08555549 0.08521563 0.08155774 0.08304538],[1.61872016 1.42382501 1.51811023 1.57407178 1.30245023],[0.55551947 0.55127568 0.55261958 0.54940783 0.55389844],[0.35417181 0.34839415 0.3514832  0.32870945 0.34573261],[0.28516538 0.28144639 0.29048851 0.2702592  0.29360045],[3.24256062 3.21470198 3.18680272 3.17706223 3.16266261]
24,"[4.52194367e-10 2.51083607e-10 2.39102296e-10 2.36047906e-10
 1.18387634e-10]",[0.08460976 0.09248295 0.1005336  0.10569815 0.10421994],[2.76663414 2.39414263 2.2505675  2.18849906 1.96092136],[0.57204445 0.57307061 0.57378616 0.58037219 0.57938096],[0.33313298 0.36758839 0.40346146 0.41172066 0.41933535],[0.24697017 0.27373529 0.30343796 0.30278927 0.32243279],[3.03691315 3.15276564 3.25937765 3.32559213 3.30451762]
25,"[7.61449514e-10 4.59917501e-10 4.50015995e-10 4.64966514e-10
 2.02710721e-10]",[0.05970551 0.06249528 0.06737142 0.06934578 0.07509812],[3.71450076 3.37185836 3.23798765 3.23284009 2.63071438],[0.57300331 0.5742478  0.56897355 0.57734026 0.57924   ],[0.2320693  0.24392121 0.26674356 0.27514864 0.30672233],[0.19610899 0.2056616  0.22363302 0.23015923 0.26129715],[2.69593856 2.77887411 2.90214691 2.92021996 3.00656015]
26,"[8.95722304e-10 5.11976562e-10 5.59500545e-10 1.02254712e-09
 8.34506327e-10]",[0.05852693 0.0652787  0.0682558  0.05372145 0.04283432],[3.88097568 3.35770259 3.30159479 4.21844639 4.6105294 ],[0.57077262 0.571094   0.56558435 0.57301829 0.5693462 ],[0.22352465 0.25521863 0.26799405 0.19906002 0.14895284],[0.18044195 0.20176044 0.21564647 0.16896108 0.13427566],[2.76227362 3.01097234 3.17851516 2.86891071 2.54206458]
27,"[3.11584862e-10 1.67357490e-10 1.51334134e-10 1.50031907e-10
 7.56495057e-11]",[0.06888109 0.08249784 0.09992849 0.10570393 0.11294315],[2.59707895 2.03963344 1.77039272 1.6916435  1.36362959],[0.56055467 0.56054939 0.55991407 0.55993814 0.55615568],[0.28493361 0.35614333 0.43357401 0.45646127 0.4825175 ],[0.25161625 0.31011356 0.37682185 0.39715089 0.42007736],[2.7793606  3.02848252 3.22517271 3.23133884 3.22942853]
28,"[6.18288459e-10 4.16348869e-10 5.00203490e-10 6.48318987e-10
 3.76965711e-10]",[0.05986048 0.06138272 0.06201623 0.05672848 0.05453493],[3.45648806 3.12249686 3.15673437 3.490623   3.14881095],[0.56239334 0.56209618 0.55590229 0.55860022 0.55936921],[0.21431898 0.22566584 0.23278488 0.20650106 0.20051459],[0.16651191 0.18229938 0.19667412 0.17608852 0.17597707],[2.88178077 3.02917935 3.11300051 3.03866871 2.99733306]
29,"[2.54477824e-10 1.28954267e-10 1.12191453e-10 1.06496257e-10
 6.02655618e-11]",[0.07046076 0.08606214 0.10549815 0.11123323 0.11186094],[2.37337335 1.81267802 1.56121965 1.51030653 1.27624041],[0.55959456 0.5588871  0.55742579 0.558575   0.55383388],[0.29034231 0.3721179  0.45593187 0.47623352 0.47910716],[0.25872505 0.33136684 0.40191899 0.41799384 0.41657323],[2.83517547 3.09330088 3.26603263 3.29513684 3.27727995]
30,"[1.31329085e-10 8.15933336e-11 9.23739601e-11 9.59099872e-11
 5.78587381e-11]",[0.09308745 0.10411822 0.11333562 0.11707371 0.11704832],[1.78129182 1.4811951  1.43878988 1.41420851 1.20046462],[0.55588419 0.55742627 0.55688086 0.55658651 0.55110306],[0.40326042 0.4493387  0.48099843 0.49170265 0.49433596],[0.3551945  0.39625132 0.42623288 0.4379485  0.43613889],[3.18534395 3.23924866 3.24107809 3.1877904  3.11226202]
31,"[9.31531650e-11 6.24498741e-11 7.52093613e-11 8.16003349e-11
 5.06513501e-11]",[0.10801285 0.11637599 0.12305076 0.12639343 0.12540174],[1.57473835 1.35678915 1.35408756 1.33705254 1.12848654],[0.56834847 0.56949732 0.56534673 0.56179452 0.55211846],[0.46478683 0.49397518 0.51361502 0.52084524 0.51999292],[0.40034704 0.42812229 0.44879661 0.46120173 0.45897122],[3.30750132 3.31575146 3.2956853  3.19554877 3.0598315 ]
