epoch,hjorth_activity,hjorth_mobility,hjorth_complexity,perm_entropy,approx_entropy,sample_entropy,shannon_entropy
0,"[1.33658628e-10 1.56402767e-10 1.27914598e-10 1.21046997e-10
 1.04823584e-10]",[0.13778077 0.14192416 0.14059512 0.1402821  0.14219072],[1.64525771 1.60790865 1.5243793  1.51269684 1.48832524],[0.57179897 0.56924995 0.56686766 0.56713792 0.56833856],[0.44749472 0.48204118 0.5158638  0.5167619  0.50596585],[0.33933464 0.37749528 0.41927137 0.42027579 0.40645562],[3.80265875 3.75008903 3.66400276 3.66063096 3.6973446 ]
1,"[8.29010342e-11 1.22657408e-10 1.23712874e-10 1.17560131e-10
 9.55826377e-11]",[0.1161424  0.11349718 0.11307843 0.11312018 0.11263838],[1.39349567 1.49511268 1.49022401 1.47587923 1.41405941],[0.56157407 0.55776865 0.55853014 0.55878803 0.55829157],[0.48793046 0.47788491 0.47718634 0.47751598 0.47578459],[0.41073159 0.40302458 0.40555696 0.40588818 0.40298196],[3.3334068  3.28995163 3.28836344 3.28965599 3.2812083 ]
2,"[5.95569059e-11 8.51355854e-11 8.36666764e-11 7.94659840e-11
 6.50945024e-11]",[0.12296036 0.12153442 0.12129895 0.12130637 0.12088007],[1.34087771 1.44931648 1.43236074 1.41581691 1.35543336],[0.57170395 0.57145664 0.56777855 0.56751474 0.5672718 ],[0.51038068 0.50697539 0.50521642 0.50530262 0.50495112],[0.44078533 0.43712084 0.43894081 0.43895729 0.43780335],[3.49795674 3.46956959 3.45372948 3.45369571 3.45649118]
3,"[5.24184938e-11 7.71597002e-11 7.98987489e-11 7.60592177e-11
 6.08575967e-11]",[0.13426411 0.12810984 0.12095898 0.12069662 0.12314984],[1.30049828 1.43033252 1.44563647 1.4295179  1.35644317],[0.57486387 0.57107762 0.56880232 0.56789145 0.56899553],[0.53372717 0.51891138 0.4998225  0.49926183 0.50626631],[0.4591148  0.44712491 0.4308006  0.43008927 0.43713175],[3.63468319 3.57399492 3.50732668 3.50531307 3.52958951]
4,"[6.94152308e-11 1.01504760e-10 1.04125222e-10 9.90859850e-11
 7.95927116e-11]",[0.14122914 0.13328193 0.12332119 0.12295198 0.12666981],[1.36209295 1.46190435 1.45077285 1.43589174 1.38555642],[0.57748707 0.57243354 0.56392893 0.56321512 0.56767059],[0.55445471 0.53694127 0.50982725 0.50887765 0.51977617],[0.47914562 0.45876131 0.43306736 0.43208862 0.44207994],[3.689015   3.5890845  3.46317054 3.4588845  3.50795595]
5,"[7.32260554e-11 1.09513209e-10 1.12616801e-10 1.07106989e-10
 8.63209310e-11]",[0.14681605 0.14037554 0.13149673 0.13113156 0.13463676],[1.39367753 1.50444034 1.52530879 1.51289325 1.45257064],[0.58011458 0.57902264 0.57404251 0.57382879 0.57572207],[0.55355547 0.53858127 0.51559152 0.51451791 0.52514904],[0.46906143 0.45275922 0.42666917 0.42564439 0.43703981],[3.72060524 3.65760913 3.57350266 3.57032653 3.60498741]
6,"[1.15084965e-10 1.62039779e-10 1.55735931e-10 1.47786096e-10
 1.22210131e-10]",[0.128031   0.12617472 0.12310846 0.12296385 0.12418903],[1.53408573 1.59585777 1.56931018 1.5567839  1.51645112],[0.56692252 0.56673255 0.56201395 0.56124109 0.56347321],[0.51676809 0.51212114 0.50538372 0.5052108  0.50807801],[0.44118203 0.43638974 0.42830201 0.42795367 0.43185568],[3.5057826  3.4376822  3.37059149 3.36872472 3.39199888]
7,"[7.96981594e-11 1.20995189e-10 1.30435371e-10 1.24349296e-10
 9.78940816e-11]",[0.13162953 0.12408161 0.11643305 0.11619342 0.11874744],[1.36704761 1.4777388  1.49708544 1.48444336 1.41843961],[0.56394569 0.56232167 0.55918715 0.55893467 0.56112072],[0.53049122 0.51115095 0.48987899 0.4890543  0.49649277],[0.45896055 0.4407093  0.4243442  0.42384159 0.42946893],[3.50564541 3.41636558 3.33251506 3.33040467 3.3580466 ]
8,"[6.31590282e-11 9.27923511e-11 9.82790055e-11 9.36867470e-11
 7.39919407e-11]",[0.11238024 0.10819452 0.10562483 0.10558517 0.1059362 ],[1.39751783 1.54773707 1.59383541 1.57716255 1.47533714],[0.56695252 0.56441577 0.56601635 0.56693878 0.5652835 ],[0.46783787 0.45410602 0.44851113 0.44888892 0.44827467],[0.39029903 0.37704144 0.37589572 0.37632639 0.37357291],[3.39015352 3.344698   3.32945667 3.3300748  3.32836295]
9,"[9.32927449e-11 1.35175779e-10 1.46995215e-10 1.40398489e-10
 1.08970897e-10]",[0.08913658 0.08736594 0.08674128 0.08674866 0.0866137 ],[1.5908467  1.74009347 1.7750722  1.75632324 1.64429089],[0.55594198 0.55235131 0.55160731 0.55257636 0.55305617],[0.37675503 0.37121964 0.369936   0.37005522 0.36886983],[0.31788605 0.31370129 0.31029637 0.31017937 0.3105834 ],[3.19574321 3.12835707 3.04673446 3.04402961 3.0751893 ]
10,"[7.51376984e-11 1.12830819e-10 1.26508918e-10 1.20915501e-10
 9.29639228e-11]",[0.08420013 0.08230659 0.08229269 0.08233349 0.08185159],[1.59263949 1.77499576 1.79834921 1.77567662 1.65861501],[0.5603052  0.55813269 0.55741548 0.5571726  0.55860693],[0.36208027 0.35158743 0.35111374 0.35153165 0.34992362],[0.30850996 0.30261718 0.2982147  0.29800982 0.29986936],[2.90738378 2.86521701 2.85355166 2.85397861 2.85253585]
11,"[1.38885275e-10 1.89837699e-10 1.88514462e-10 1.79437950e-10
 1.44632172e-10]",[0.0688816  0.06967971 0.07183694 0.0719307  0.07083619],[1.93109616 2.06549719 1.99070838 1.96328206 1.87910872],[0.55473418 0.55472986 0.55118296 0.54998355 0.55236215],[0.26257775 0.26745261 0.287921   0.28905992 0.27930834],[0.2245561  0.22823095 0.24093229 0.24142547 0.23595369],[2.59702063 2.61463157 2.64782159 2.64921442 2.6344703 ]
