epoch,stft_mean_power,wavelet_mean_power
0,"[2.204906871539682e-07, 2.5108543787466705e-07, 2.3663556012523368e-07, 2.3027182673075832e-07, 2.1236339398085214e-07]","[1.0869381863314384e-05, 1.3046499470937298e-05, 1.3022856458914338e-05, 1.2695081508097697e-05, 1.1456353822894129e-05]"
1,"[1.8623908011975172e-07, 2.2430252375914784e-07, 2.2570985569523628e-07, 2.2011166474695762e-07, 1.9789884307990658e-07]","[1.1963713120102898e-05, 1.4426415278803482e-05, 1.4352458562332807e-05, 1.3986065900589862e-05, 1.2658651659101736e-05]"
2,"[1.6625205138601165e-07, 1.9727162990892212e-07, 1.9505151782648384e-07, 1.9013131653653505e-07, 1.7204981225760587e-07]","[1.005875035966799e-05, 1.2043917118787204e-05, 1.1927433676709953e-05, 1.1622710277248665e-05, 1.0529693426429778e-05]"
3,"[1.5924790697870774e-07, 1.9007200064345002e-07, 1.8921596275360321e-07, 1.8445053844265985e-07, 1.665080148762382e-07]","[9.533753695146745e-06, 1.1503899057190288e-05, 1.1550477678732376e-05, 1.1262371827776183e-05, 1.0138694835965912e-05]"
4,"[1.8465538302585125e-07, 2.1906064698344257e-07, 2.1579454831741576e-07, 2.1029179099877532e-07, 1.9072863669696993e-07]","[1.0101468992929714e-05, 1.2258631635531703e-05, 1.2657911285923948e-05, 1.2359276291077351e-05, 1.0972595035577552e-05]"
5,"[1.8745552849869323e-07, 2.235441621649246e-07, 2.1943496746642025e-07, 2.1376235295491579e-07, 1.9440442995778136e-07]","[1.0068790691077121e-05, 1.2255643956474797e-05, 1.2453771046581621e-05, 1.2148495113829655e-05, 1.0882646244504103e-05]"
6,"[2.227879275601802e-07, 2.656481401887666e-07, 2.608401379194452e-07, 2.5409162734794466e-07, 2.3103399972346444e-07]","[1.166080476554499e-05, 1.4167473307125794e-05, 1.431778873870144e-05, 1.3963294812834935e-05, 1.2541952499547782e-05]"
7,"[1.962199572243645e-07, 2.372297419223841e-07, 2.410467453151688e-07, 2.35189664304829e-07, 2.102862100738728e-07]","[1.2345580258402133e-05, 1.5092592560916571e-05, 1.5452282139428076e-05, 1.5077975058136278e-05, 1.3462261615622982e-05]"
8,"[1.6447634217746345e-07, 1.9707335951281184e-07, 2.0274505914207025e-07, 1.98005709552921e-07, 1.756488090504174e-07]","[1.0799708833086913e-05, 1.3069020351448464e-05, 1.336554968198341e-05, 1.3044885970488242e-05, 1.1631257862058198e-05]"
9,"[1.7627712750294092e-07, 2.1534078356228062e-07, 2.2850200574997052e-07, 2.233944620735453e-07, 1.9573477163727497e-07]","[1.1462890105928586e-05, 1.4009427803711466e-05, 1.4973849814064442e-05, 1.464269825359619e-05, 1.2796420066958091e-05]"
10,"[1.6397663374970386e-07, 1.9909345282201495e-07, 2.1072176430461842e-07, 2.0601400868139683e-07, 1.8059258500882845e-07]","[1.0046522083732869e-05, 1.2222606435526835e-05, 1.3280677627375688e-05, 1.2998343932919826e-05, 1.1258474175007867e-05]"
11,"[1.8649257140261539e-07, 2.2344984888445974e-07, 2.3197539837303003e-07, 2.2664535328694592e-07, 2.0021142505274027e-07]","[1.1450236910797265e-05, 1.3845390743720719e-05, 1.4865506232660696e-05, 1.454701512928165e-05, 1.263888290056834e-05]"
12,"[1.9885021741069883e-07, 2.49560518001747e-07, 2.816789259954526e-07, 2.7604434406045476e-07, 2.3572805000219135e-07]","[1.3530726408102997e-05, 1.598924698978259e-05, 1.826802342981978e-05, 1.793438486170179e-05, 1.5086030357589705e-05]"
13,"[2.1183539058083614e-07, 2.551020920828043e-07, 2.673885305963511e-07, 2.6133369024539436e-07, 2.297083074912218e-07]","[1.332622825126708e-05, 1.593686234751255e-05, 1.728373521909388e-05, 1.692446448585322e-05, 1.4621321765788875e-05]"
