mean,std,variance,skew,kurtosis,rms,zcr,delta_power,delta_relative_power,theta_power,theta_relative_power,alpha_power,alpha_relative_power,beta_power,beta_relative_power,gamma_power,gamma_relative_power,epoch
"[6.18960102e-07 4.88299404e-07 1.23966018e-07 1.06221472e-07
 2.34159484e-07]","[1.15610825e-05 1.25061092e-05 1.13099336e-05 1.10021360e-05
 1.02383389e-05]","[1.33658628e-10 1.56402767e-10 1.27914598e-10 1.21046997e-10
 1.04823584e-10]",[-0.11485799 -0.32947482 -0.29180671 -0.28245207 -0.35575789],[4.53800828 3.6453415  2.32155042 2.26479037 2.85334033],"[1.15776396e-05 1.25156384e-05 1.13106130e-05 1.10026488e-05
 1.02410163e-05]",[0.04101562 0.04270833 0.04388021 0.04427083 0.04296875],"[9.15591999e-12 1.17494180e-11 1.09158748e-11 1.03723158e-11
 8.55175584e-12]",[0.21826394 0.20966456 0.21469209 0.21535563 0.21021656],"[1.06374309e-11 1.55476812e-11 1.56919498e-11 1.49178920e-11
 1.20931528e-11]",[0.25358102 0.27744333 0.30862735 0.30973334 0.29727006],"[1.34575523e-11 1.99381127e-11 1.96753652e-11 1.86704877e-11
 1.53763233e-11]",[0.32080865 0.35578916 0.38697268 0.38764677 0.37797592],"[1.56066899e-11 1.92504493e-11 1.54035499e-11 1.45173851e-11
 1.29472271e-11]",[0.372041   0.34351803 0.30295514 0.3014178  0.31826464],"[1.19089226e-12 1.41318706e-12 1.04168913e-12 9.77838078e-13
 9.07441353e-13]",[0.02838916 0.02521787 0.02048781 0.0203024  0.02230644],0
"[-4.99836055e-08 -6.68931008e-08 -7.21920146e-08 -7.04990498e-08
 -6.21268610e-08]","[9.10500050e-06 1.10750805e-05 1.11226289e-05 1.08425150e-05
 9.77663734e-06]","[8.29010342e-11 1.22657408e-10 1.23712874e-10 1.17560131e-10
 9.55826377e-11]",[-0.11287273 -0.15599383 -0.18928706 -0.18996785 -0.18018156],[0.65738158 0.64881839 0.64401298 0.64415843 0.64412254],"[9.10513770e-06 1.10752825e-05 1.11228632e-05 1.08427442e-05
 9.77683474e-06]",[0.03795573 0.03782552 0.03678385 0.03665365 0.03626302],"[7.32220525e-12 1.10533743e-11 1.15235984e-11 1.09659773e-11
 8.78612131e-12]",[0.22841853 0.23360484 0.24036117 0.2406155  0.23785256],"[1.39713279e-11 2.06258099e-11 2.03446312e-11 1.93072207e-11
 1.58931399e-11]",[0.43584004 0.43591115 0.42435178 0.42363909 0.43024947],"[1.47494924e-11 2.22003034e-11 2.24198662e-11 2.12949989e-11
 1.73633404e-11]",[0.46011513 0.4691869  0.46763738 0.46725492 0.47004984],"[5.49136451e-12 7.56981977e-12 7.70121804e-12 7.33881635e-12
 5.84648803e-12]",[0.17130487 0.15998251 0.16063332 0.16102833 0.15827259],"[2.36901680e-13 3.09678163e-13 3.21078650e-13 3.06869812e-13
 2.38926896e-13]",[0.00739022 0.00654482 0.00669711 0.00673334 0.00646808],1
"[5.32495204e-08 6.51783401e-08 6.31312914e-08 6.13872200e-08
 5.66094191e-08]","[7.71731209e-06 9.22689468e-06 9.14694902e-06 8.91436953e-06
 8.06811641e-06]","[5.95569059e-11 8.51355854e-11 8.36666764e-11 7.94659840e-11
 6.50945024e-11]",[-0.08778533 -0.12673552 -0.15967775 -0.16039341 -0.15029662],[0.55726942 0.43462871 0.34010222 0.33826273 0.36522462],"[7.71749580e-06 9.22712489e-06 9.14716688e-06 8.91458089e-06
 8.06831501e-06]",[0.04023438 0.0390625  0.0375     0.03736979 0.03841146],"[7.12348705e-12 1.00602994e-11 9.60646240e-12 9.11132195e-12
 7.56839491e-12]",[0.28713007 0.28519737 0.27876643 0.27842745 0.28171005],"[9.64476344e-12 1.38817021e-11 1.36991987e-11 1.30118416e-11
 1.06491408e-11]",[0.38875646 0.39352953 0.39753205 0.39762111 0.39638126],"[9.01780586e-12 1.32888885e-11 1.34164845e-11 1.27516354e-11
 1.03530873e-11]",[0.36348536 0.37672398 0.38932807 0.38966962 0.38536159],"[5.03226951e-12 6.94679001e-12 6.88696365e-12 6.55251614e-12
 5.29861378e-12]",[0.20283829 0.19693313 0.19985029 0.20023443 0.19722448],"[2.55219960e-13 3.34811910e-13 3.17653390e-13 3.01979576e-13
 2.47354462e-13]",[0.01028728 0.00949151 0.00921787 0.00922801 0.009207  ],2
"[-2.88521954e-08 -1.64407026e-08  8.52963692e-09  9.29610954e-09
 -9.66823554e-10]","[7.24006172e-06 8.78405943e-06 8.93861001e-06 8.72119359e-06
 7.80112791e-06]","[5.24184938e-11 7.71597002e-11 7.98987489e-11 7.60592177e-11
 6.08575967e-11]",[-0.45199663 -0.48575677 -0.44570612 -0.44221158 -0.47220132],[1.78690839 1.90678465 1.68333243 1.66710019 1.81426368],"[7.24011921e-06 8.78407482e-06 8.93861408e-06 8.72119855e-06
 7.80112797e-06]",[0.04596354 0.04309896 0.04153646 0.04140625 0.04166667],"[5.59067992e-12 8.48208440e-12 8.94329888e-12 8.51500416e-12
 6.78604607e-12]",[0.26933342 0.28113744 0.29145912 0.29171166 0.28838058],"[7.94171635e-12 1.19435259e-11 1.24441953e-11 1.18428585e-11
 9.48468283e-12]",[0.38259561 0.39586641 0.40555216 0.40571911 0.40306216],"[6.39781940e-12 9.69721510e-12 1.03190442e-11 9.83049480e-12
 7.79259180e-12]",[0.30821771 0.32141277 0.3362942  0.33677846 0.33115487],"[5.69504284e-12 7.41241453e-12 6.70512869e-12 6.35690121e-12
 5.34306085e-12]",[0.27436115 0.24568339 0.2185179  0.21777819 0.22705932],"[2.46881868e-13 3.16796462e-13 2.59187991e-13 2.44209227e-13
 2.17274594e-13]",[0.01189364 0.01050017 0.00844685 0.00836625 0.00923333],3
"[-2.94521032e-08 -6.36127062e-08 -9.73248953e-08 -9.60964247e-08
 -7.46890847e-08]","[8.33158033e-06 1.00749571e-05 1.02041767e-05 9.95419434e-06
 8.92147474e-06]","[6.94152308e-11 1.01504760e-10 1.04125222e-10 9.90859850e-11
 7.95927116e-11]",[-0.15548571 -0.18812934 -0.22197976 -0.22308038 -0.21036457],[0.64430165 0.63185434 0.65145592 0.65478039 0.63113046],"[8.33163239e-06 1.00751579e-05 1.02046408e-05 9.95465818e-06
 8.92178738e-06]",[0.04557292 0.04427083 0.04023438 0.04036458 0.04244792],"[6.91863525e-12 1.03887642e-11 1.11322970e-11 1.06125580e-11
 8.36428984e-12]",[0.24697934 0.25242245 0.2617801  0.26217323 0.25803708],"[8.87554192e-12 1.39886825e-11 1.57668250e-11 1.50545565e-11
 1.16476677e-11]",[0.3168364  0.33989197 0.37076275 0.3719086  0.35932879],"[9.67133246e-12 1.56219477e-11 1.74556556e-11 1.66480067e-11
 1.29995501e-11]",[0.34524429 0.37957646 0.41047623 0.41127329 0.40103416],"[8.41827170e-12 1.05841738e-11 8.92755103e-12 8.43725489e-12
 7.32567953e-12]",[0.30051291 0.25717044 0.20993468 0.20843442 0.22599611],"[3.78129787e-13 4.40872278e-13 3.07269750e-13 2.87482907e-13
 2.75034847e-13]",[0.01349836 0.01071216 0.00722556 0.00710199 0.00848478],4
"[2.71273724e-08 5.51586455e-08 8.18692858e-08 8.07701199e-08
 6.33910562e-08]","[8.55722241e-06 1.04648559e-05 1.06121064e-05 1.03492507e-05
 9.29090582e-06]","[7.32260554e-11 1.09513209e-10 1.12616801e-10 1.07106989e-10
 8.63209310e-11]",[-0.21863401 -0.23585054 -0.23466918 -0.2339921  -0.23861207],[1.3686473  1.77135726 2.26917498 2.28649132 2.09037223],"[8.55726541e-06 1.04650012e-05 1.06124222e-05 1.03495659e-05
 9.29112207e-06]",[0.0485026  0.04641927 0.04303385 0.04303385 0.04511719],"[6.91569831e-12 1.04128593e-11 1.08821038e-11 1.03576944e-11
 8.28318327e-12]",[0.22343904 0.22880171 0.23823058 0.2386449  0.23438024],"[1.01862108e-11 1.57779283e-11 1.69181444e-11 1.61143649e-11
 1.27738141e-11]",[0.3291059  0.34668835 0.37037134 0.37128059 0.36144675],"[1.10698445e-11 1.70726515e-11 1.78777247e-11 1.70061828e-11
 1.36500303e-11]",[0.35765519 0.37513729 0.39137844 0.39182839 0.38624009],"[9.38522626e-12 1.26115936e-11 1.12264477e-11 1.06186527e-11
 9.08498455e-12]",[0.30322692 0.27711449 0.24576894 0.24465747 0.25706794],"[7.10180858e-13 8.95793694e-13 7.06429818e-13 6.64387112e-13
 6.01928540e-13]",[0.02294521 0.01968327 0.01546513 0.01530771 0.01703212],5
"[7.70370181e-08 8.65466267e-08 7.37939843e-08 7.13396173e-08
 6.97068221e-08]","[1.07277661e-05 1.27294847e-05 1.24794203e-05 1.21567305e-05
 1.10548691e-05]","[1.15084965e-10 1.62039779e-10 1.55735931e-10 1.47786096e-10
 1.22210131e-10]",[ 0.03998453  0.00239422 -0.06486959 -0.06758741 -0.03834096],[0.57372956 0.38171639 0.29368728 0.29358146 0.30648988],"[1.07280427e-05 1.27297789e-05 1.24796385e-05 1.21569398e-05
 1.10550889e-05]",[0.04095052 0.03938802 0.0375651  0.03769531 0.03782552],"[7.79528269e-12 1.10476579e-11 1.11567214e-11 1.06173146e-11
 8.54642762e-12]",[0.19040858 0.18611069 0.18976929 0.19013821 0.18709521],"[1.25910596e-11 1.90920958e-11 1.98801325e-11 1.89142406e-11
 1.51782214e-11]",[0.30755085 0.32162863 0.3381494  0.33872218 0.33227597],"[1.94289489e-11 2.96747101e-11 3.03765670e-11 2.88640226e-11
 2.34228002e-11]",[0.47457402 0.49990512 0.5166876  0.51690601 0.51276321],"[9.98061803e-12 1.32103787e-11 1.17376957e-11 1.11075047e-11
 9.47706759e-12]",[0.24378787 0.22254424 0.19965132 0.19891669 0.20746843],"[5.04953489e-13 6.43847090e-13 5.49616139e-13 5.19551961e-13
 4.49598754e-13]",[0.01233406 0.01084636 0.00934865 0.0093043  0.00984245],6
"[-5.89889977e-08 -6.81407663e-08 -6.07406826e-08 -5.88408968e-08
 -5.63201622e-08]","[8.92738256e-06 1.09997813e-05 1.14208306e-05 1.11512015e-05
 9.89414381e-06]","[7.96981594e-11 1.20995189e-10 1.30435371e-10 1.24349296e-10
 9.78940816e-11]",[-0.01016054  0.00236085  0.04692987  0.04918181  0.0268742 ],[0.59250739 0.51511621 0.35928944 0.35403861 0.41610301],"[8.92757745e-06 1.09999923e-05 1.14209921e-05 1.11513568e-05
 9.89430410e-06]",[0.04290365 0.04003906 0.0374349  0.03769531 0.0375651 ],"[9.42151304e-12 1.42548391e-11 1.53906950e-11 1.46753549e-11
 1.15355747e-11]",[0.2722745  0.27571026 0.28073752 0.28093367 0.27882399],"[1.26412442e-11 1.96311227e-11 2.14189409e-11 2.04207552e-11
 1.60396463e-11]",[0.36532226 0.37969575 0.39069713 0.39091918 0.38769097],"[1.34748965e-11 2.15985929e-11 2.40988481e-11 2.29862847e-11
 1.79383384e-11]",[0.38941417 0.41774962 0.4395806  0.4400317  0.43358387],"[7.83991145e-12 9.98746145e-12 8.94791473e-12 8.48526747e-12
 7.13225266e-12]",[0.22656743 0.19317269 0.1632165  0.16243541 0.1723922 ],"[3.48089923e-13 4.17765749e-13 3.56260641e-13 3.37669994e-13
 2.87361138e-13]",[0.01005953 0.00808022 0.00649845 0.00646409 0.00694575],7
"[-2.34951447e-08 -5.13654896e-08 -7.90393041e-08 -7.80574847e-08
 -6.05545740e-08]","[7.94726545e-06 9.63287865e-06 9.91357683e-06 9.67919145e-06
 8.60185682e-06]","[6.31590282e-11 9.27923511e-11 9.82790055e-11 9.36867470e-11
 7.39919407e-11]",[0.11350987 0.12030157 0.128367   0.12841603 0.12659666],[0.5569674  0.59020014 0.36564674 0.35297757 0.47815082],"[7.94730018e-06 9.63301560e-06 9.91389191e-06 9.67950619e-06
 8.60206996e-06]",[0.03398437 0.0313151  0.03027344 0.03014323 0.03144531],"[9.85654753e-12 1.43793714e-11 1.47446934e-11 1.40317133e-11
 1.12682320e-11]",[0.38594891 0.39135658 0.3914056  0.39123678 0.39237263],"[1.04387571e-11 1.55660962e-11 1.62581700e-11 1.54786227e-11
 1.23581495e-11]",[0.40874626 0.42365511 0.43158163 0.43157998 0.43032479],"[6.71188209e-12 9.73706933e-12 1.00059581e-11 9.52501831e-12
 7.63075225e-12]",[0.2628145  0.26500923 0.26561339 0.26557965 0.26571145],"[4.60101398e-12 6.10470239e-12 6.09748528e-12 5.81196994e-12
 4.63655561e-12]",[0.18016007 0.16614881 0.16186094 0.16205123 0.16145013],"[1.83860201e-13 2.37378812e-13 2.57662035e-13 2.46936812e-13
 1.87034721e-13]",[0.00719934 0.00646063 0.00683977 0.00688517 0.00651276],8
"[-9.81387347e-09 -1.22141001e-09  1.27932185e-08  1.30140940e-08
  6.54847960e-09]","[9.65881695e-06 1.16265119e-05 1.21241583e-05 1.18489868e-05
 1.04389127e-05]","[9.32927449e-11 1.35175779e-10 1.46995215e-10 1.40398489e-10
 1.08970897e-10]",[-0.02734669 -0.01550735  0.13756997  0.14571439  0.06492346],[2.82982214 1.89402272 1.6232423  1.64810508 1.52671457],"[9.65882194e-06 1.16265119e-05 1.21241651e-05 1.18489940e-05
 1.04389147e-05]",[0.03098958 0.02949219 0.03092448 0.03092448 0.02988281],"[1.39753947e-11 2.22826557e-11 2.76567916e-11 2.65380202e-11
 1.95486774e-11]",[0.44215805 0.46949773 0.50258213 0.50363205 0.49129106],"[1.28290514e-11 1.99490809e-11 2.49168634e-11 2.39309153e-11
 1.74951094e-11]",[0.40588967 0.42032908 0.45279187 0.45415505 0.43968145],"[8.19293966e-12 1.14951271e-11 1.16157939e-11 1.10582475e-11
 8.87844826e-12]",[0.25921087 0.24220345 0.21108343 0.20986072 0.2231303 ],"[3.84088756e-12 5.32400126e-12 5.72750528e-12 5.47459041e-12
 4.23411485e-12]",[0.12151924 0.11217723 0.10408083 0.10389544 0.10641041],"[1.30846898e-13 1.64888811e-13 1.79335219e-13 1.72052186e-13
 1.29411949e-13]",[0.00413978 0.00347422 0.0032589  0.00326516 0.00325234],9
