epoch,higuchi_fd,lyapunov_exponent,hurst_exponent
0,"[0.89430897249529, 0.8979292907638322, 0.9015996165680398, 0.9016841417789214, 0.900540063620575]","[-21.657568560294585, -21.497051254202972, -21.69416715831188, -21.749254651087842, -21.894494958330583]","[0.18303346267396928, 0.18816617409596414, 0.3802672712405222, 0.4068944419814808, 0.21582866592951783]"
1,"[0.9165355973008019, 0.9210138577873584, 0.9227710763064859, 0.9227281549149369, 0.9228723602500694]","[-22.123662752505776, -21.731465496395195, -21.72282077292895, -21.773843559290153, -21.980751427460053]","[0.39250533141980243, 0.4248460281473431, 0.46609227366583345, 0.46772802733798724, 0.4502188746985242]"
2,"[0.9043388639305503, 0.9076213030223367, 0.9112474149432357, 0.9113333359913607, 0.9101772228444772]","[-22.45555389267439, -22.097943916983112, -22.11529279696647, -22.16681111700422, -22.366265882490517]","[0.3756291425831771, 0.35331867254081006, 0.3189501517275675, 0.3187615591565143, 0.32523127536526525]"
3,"[0.8954960353322926, 0.8997060102942434, 0.906142505627039, 0.9063475791617595, 0.9039535946799416]","[-22.58537157742335, -22.197599210247486, -22.16153383911353, -22.210746313492965, -22.434147316234757]","[0.28558098687372196, 0.2899875056440909, 0.3200694441872085, 0.3219497668501586, 0.3026569029430803]"
4,"[0.8924942172859847, 0.9004174704555246, 0.9118463871849811, 0.9122380336916901, 0.9076071174250258]","[-22.30589176681118, -21.924325572301047, -21.897044922325694, -21.94659184600797, -22.166339809882412]","[0.3643471597054844, 0.36473947587041095, 0.3568522563619695, 0.3565957458724472, 0.36082036083919716]"
5,"[0.8879749561166754, 0.8920626836935623, 0.8978663136974365, 0.8980917732422464, 0.8956281919049598]","[-22.25341443135952, -21.849574717532345, -21.81994595230392, -21.87004704553121, -22.0864815698882]","[0.2853706026956082, 0.2977574711924762, 0.2922691679736828, 0.2920568147344004, 0.29475933289689615]"
6,"[0.9064781226704209, 0.9110404547971199, 0.9160507536627387, 0.9162020671663269, 0.9144777631787545]","[-21.797562457510995, -21.4550985303166, -21.494346672031078, -21.546725353877836, -21.736933373243748]","[0.670935144384164, 0.6497186269715267, 0.5724149618917503, 0.5683177139657913, 0.6006498563683315]"
7,"[0.9095552608045048, 0.9156332602428477, 0.9217789677476295, 0.9219150853421643, 0.9199120106605363]","[-22.165863514941922, -21.747119813175647, -21.670855201856238, -21.718607493969692, -21.958202925318112]","[0.33636059355968284, 0.29777366383523535, 0.2361475525463332, 0.23412720030995174, 0.2569222504441542]"
8,"[0.9098982125268198, 0.9124160708309503, 0.9110487819144701, 0.9109616361213881, 0.9120391888797664]","[-22.39521812846643, -22.00991869424345, -21.95222099463045, -22.00007772309769, -22.236096288344434]","[0.2785626649689348, 0.293808740938599, 0.31113434278000945, 0.3118162206333357, 0.3044644145214902]"
9,"[0.9223655725569034, 0.9255658410368598, 0.9265345980352798, 0.9264173477210764, 0.9271823555751589]","[-22.00188711588721, -21.630893066672638, -21.54710322282565, -21.59302522371716, -21.846377317319412]","[0.5910240572261054, 0.5023970039495788, 0.39212428653679604, 0.38803667057912167, 0.429458010282713]"
10,"[0.9167993170636825, 0.920162956336498, 0.9237343261233659, 0.9237759396396256, 0.9230030735264424]","[-22.218009084976387, -21.811191065890903, -21.69673236268139, -21.741958212468216, -22.004809120776574]","[0.34628597855767135, 0.3885556635394272, 0.4127402253665942, 0.4136278060632699, 0.4071785137565567]"
11,"[0.9235515346678568, 0.9273834484458724, 0.9313210071502496, 0.9314455299232601, 0.9301107621859589]","[-21.601775663272246, -21.289309915932392, -21.29651631500414, -21.34587237949525, -21.561400973505965]","[0.6813085921639149, 0.5987362211284292, 0.47461319355330717, 0.4719661507324146, 0.5231752817231179]"
12,"[0.940212976146931, 0.9431544798844669, 0.9482243625920789, 0.9483991713745433, 0.9464058928971967]","[-21.544931573864677, -21.071838137568392, -20.784821049894056, -20.822725367680835, -21.163205446924305]","[0.4349699443325532, 0.424649530650797, 0.3953490333509567, 0.39626877420248974, 0.3958505090559034]"
13,"[0.945334044121424, 0.9473111217110266, 0.9486692240771571, 0.9487000541687063, 0.9482176472407428]","[-21.21973225725061, -20.925213464685353, -20.905030400984344, -20.95214989487344, -21.18725196252541]","[0.5054619561432913, 0.4714647117916147, 0.4395985238909064, 0.4374039201217118, 0.45721760568164815]"
14,"[0.9470968831543881, 0.9494371425979173, 0.9525075220919434, 0.9525805914389077, 0.9517170161355694]","[-21.84198349608249, -21.329834768673596, -21.093236082711595, -21.134514782275897, -21.443207819172535]","[0.2807464420691232, 0.287403911688035, 0.2954859471631728, 0.2958256553579585, 0.2923379599662008]"
15,"[0.9541595087449446, 0.9562529821885998, 0.959980712275152, 0.9601237365167694, 0.9584167740091994]","[-21.511605365008272, -21.048846160985793, -20.81630817005222, -20.856674766478385, -21.171443986048413]","[0.31511062884774527, 0.3576353120065438, 0.3853849867609123, 0.38613845450316864, 0.3766522727541805]"
16,"[0.9326959985631418, 0.9357182148889222, 0.9361764765378239, 0.9360691049559496, 0.9365648397654724]","[-21.242169486090372, -20.882366741178174, -20.886774208958197, -20.937560771580255, -21.14396611725907]","[0.4101505014503918, 0.40991418351844544, 0.39828362416828306, 0.3975596965540882, 0.40491681096957444]"
17,"[0.9174500931493059, 0.9225410759062541, 0.9228345941624941, 0.92272686315628, 0.923457024752885]","[-21.954102376580835, -21.57645151553519, -21.569224785034717, -21.619872246182847, -21.829058031363132]","[0.4325216875943285, 0.4255885600304451, 0.3900743783060366, 0.3890171463377596, 0.40160199292788556]"
18,"[0.9517968149384742, 0.953265470816063, 0.9544848025154057, 0.9545232267748106, 0.9538244464402457]","[-21.447615934762915, -21.08398968385394, -20.910236170464735, -20.951103973559626, -21.253799752435185]","[0.427088617335754, 0.41964246868699784, 0.39572157446608225, 0.395443420782435, 0.40474552967875915]"
19,"[0.9308192866747603, 0.9334838312722663, 0.9340240296417135, 0.9339674338876779, 0.9344023645852979]","[-21.34429490094216, -21.040465345567274, -21.06974594286318, -21.120139179032073, -21.325117920252744]","[0.11068801354827258, 0.10626546346052679, 0.10611346612361607, 0.10618924870926288, 0.10555216808250681]"
20,"[0.9517161971570753, 0.9525464563187593, 0.9542228580009564, 0.9542585525283205, 0.953754566192983]","[-21.428201780869085, -21.061120892951347, -20.918285898924772, -20.960860819121223, -21.246707578272176]","[0.5680096305557536, 0.5906059343254714, 0.5990982804741665, 0.5989059641815733, 0.6014107419362397]"
21,"[0.9566394795947711, 0.957653509303328, 0.9585842663884603, 0.958605543414921, 0.9583213041769204]","[-21.626475998912866, -21.1912522828064, -21.001215882446115, -21.043108448132244, -21.340770187827697]","[0.3210001153774086, 0.33225019988392784, 0.46916283182829205, 0.4746570843431907, 0.4153477102516115]"
22,"[0.9537223909225697, 0.9543952079152621, 0.9544725230497438, 0.9544204705816186, 0.9545886854698125]","[-21.281547440613053, -20.987748639321058, -20.93963218873017, -20.985139401999028, -21.235819134160778]","[0.5629847281713674, 0.5252322447144686, 0.531828319114501, 0.532523346095787, 0.5251963827576565]"
23,"[0.9590717383875365, 0.9594080273886082, 0.9598450591005807, 0.959860581847499, 0.9597233850012866]","[-21.524926701073333, -21.176143297554272, -21.11546603728834, -21.162031427047772, -21.40737503675469]","[0.2821733493735598, 0.3156782243433669, 0.3488878675692017, 0.3519086305563258, 0.3358239606320344]"
24,"[0.9573351638925294, 0.9581688981085625, 0.9588764908363024, 0.9588294013945069, 0.9587641813305449]","[-20.65611192317131, -20.411140071402123, -20.464951521101362, -20.514645281797787, -20.720196984660195]","[0.7698318863040677, 0.7006215143436456, 0.6069614490659359, 0.6032488029064775, 0.6394711020729023]"
25,"[0.9523793810519259, 0.9538070028587305, 0.9545095917528572, 0.9544943178804787, 0.9543724718559422]","[-21.798419821754646, -21.343994684826296, -21.12895440663179, -21.17002018067552, -21.47724191008766]","[0.37687418918848686, 0.40541686412048267, 0.42872783147891086, 0.42902504244156975, 0.42973158573478615]"
26,"[0.9551377399677105, 0.9569314153647547, 0.9564307786511299, 0.9563758319924296, 0.9566814205943773]","[-21.322510162529987, -20.958221223593803, -20.842034397894956, -20.8859628812114, -21.158206809879307]","[0.25867826164538843, 0.2330225655364487, 0.22299747236181985, 0.22249200843014097, 0.228777420868727]"
27,"[0.9616747182044159, 0.9620641687572863, 0.9614750771368524, 0.9614063747961109, 0.9617930135560604]","[-21.271630099753967, -20.967013856229485, -20.937159049911845, -20.98406627982843, -21.222192875639223]","[0.46946501998011814, 0.3633759395386489, 0.30028650608147783, 0.29452878122993, 0.3241774918112875]"
28,"[0.9630192335511283, 0.9637944630173914, 0.9641163180447477, 0.9641186801868248, 0.9639908608564766]","[-21.043571064182668, -20.63105215398636, -20.49524847016327, -20.539452795956223, -20.812684321552318]","[0.4464505152798077, 0.42171806709732235, 0.3786139961678624, 0.37691523598636595, 0.39891198548295953]"
29,"[0.9627008783037427, 0.9634701920933966, 0.9625902350862074, 0.9625126990678644, 0.9632258440215807]","[-21.005144009163565, -20.721069523239713, -20.746592954709588, -20.79604536776367, -21.007925020339425]","[0.5087630570926006, 0.4178314260725843, 0.31305621915307247, 0.3107124915686255, 0.3349419804431035]"
30,"[0.9619783935582387, 0.9631416945002691, 0.9629340916149882, 0.9629070350115596, 0.9630095669524377]","[-21.0479449556927, -20.723184427003126, -20.709950642475256, -20.75850526201382, -20.982752936082786]","[0.5557007705605418, 0.5469440934241527, 0.5736125205224611, 0.576071881659852, 0.5560414505261426]"
31,"[0.9595834167744288, 0.9610507765008431, 0.9607519952114831, 0.9606997006916569, 0.9609273339159319]","[-21.12649175070238, -20.797184863477444, -20.818817421712147, -20.869635854638233, -21.073035050172773]","[0.4389415738436148, 0.4386652836523362, 0.4433492420210679, 0.4443852097128069, 0.4390759658282433]"
32,"[0.9584589190716432, 0.9603860797118924, 0.9597966747857783, 0.9596612414487838, 0.960437009454498]","[-20.903395666845455, -20.606054613035724, -20.68006007013099, -20.73301523209553, -20.913649783364832]","[0.7524703098183625, 0.7460787354733455, 0.6923319478458293, 0.6902859956066851, 0.7101575256031838]"
33,"[0.9581448946434518, 0.9596119411119169, 0.9590818654613429, 0.9590410595852044, 0.9594586208195929]","[-21.043068686186302, -20.858357481635476, -20.982276569132818, -21.033783091147885, -21.215275843512174]","[0.6979490760028527, 0.7107311586271585, 0.5385038129771146, 0.5251992924978824, 0.64024243639178]"
34,"[0.9627999046557989, 0.9639540815247359, 0.963872144358329, 0.9638412194588909, 0.964091411184757]","[-21.19723704306489, -20.815019497800797, -20.70944516865709, -20.754475187084296, -21.017373027143307]","[0.31247798909274355, 0.2921868700328653, 0.26651706196873465, 0.26490908147677905, 0.2777355111424243]"
35,"[0.962817464197618, 0.9639445806779743, 0.9638384963906771, 0.9637959730296752, 0.9639614471369817]","[-20.683476567339035, -20.42220828091222, -20.54952628091688, -20.604531899891953, -20.762808906928985]","[0.8451603358536582, 0.8447452921266833, 0.7629630111351217, 0.761715679366427, 0.7967366559753687]"
36,"[0.9656249104360831, 0.9669234420541624, 0.9666763405864867, 0.9666323166994427, 0.9668728206265198]","[-20.558536645537508, -20.229697024197325, -20.198909399095264, -20.246565091866845, -20.479719328196865]","[0.26467969062224805, 0.2637584874229456, 0.2613091443978032, 0.2610973570042513, 0.2627769691737268]"
37,"[0.9666266780705927, 0.9674059058058675, 0.9665899151616315, 0.9665120283718064, 0.9672310319921217]","[-20.7092649982888, -20.366576255564773, -20.332864113247133, -20.380799004172626, -20.612517211578325]","[0.48405693009011297, 0.4460628244714421, 0.41235670851422157, 0.41150633189953784, 0.4224169828384774]"
38,"[0.9649383271482429, 0.9659797531496362, 0.9654649077184131, 0.965424920546923, 0.9661499981933622]","[-20.7459310798488, -20.411274780284508, -20.38672347380997, -20.434936274934127, -20.66330832686674]","[0.23946086689225912, 0.2539822432019772, 0.30506520253726493, 0.308809321462794, 0.271268624610891]"
39,"[0.9630218017795523, 0.9647987432937759, 0.9654653861231638, 0.9654298111454114, 0.965605517757974]","[-20.996166683537037, -20.61045144541499, -20.55911237586909, -20.607352077426278, -20.839742157457913]","[0.5533749608750961, 0.5366229677279748, 0.44589541855790504, 0.4433941179691814, 0.4811536476469314]"
40,"[0.9668079093753076, 0.9670971744313609, 0.9668508619404006, 0.9668101948202308, 0.9671917311779697]","[-20.67820098998301, -20.38968719491713, -20.4293136971753, -20.479787970235225, -20.6825265128755]","[0.5230392727285219, 0.5429458355856062, 0.5160240807787877, 0.5147554473434279, 0.5263214700283122]"
41,"[0.967225443272869, 0.9679100140370855, 0.9674780402592082, 0.9674142721252116, 0.9676852206058846]","[-20.702401784486984, -20.324064113571218, -20.21538177844178, -20.260126707767487, -20.52549207714026]","[0.37964940288822896, 0.4288272569854285, 0.562105447452229, 0.5658796782010155, 0.520544075955165]"
42,"[0.9681654312596202, 0.9691076513617614, 0.9699144817262597, 0.9699281889015974, 0.9697506578810083]","[-20.662023442992727, -20.283258620898614, -20.19585652830439, -20.241802386509, -20.495528269548558]","[0.15580617195989607, 0.16801059685186023, 0.18928739858335117, 0.18994525580768346, 0.18234908638570999]"
43,"[0.9668936430933307, 0.9677818233694275, 0.9686326539508062, 0.9685872935411429, 0.9684553384563519]","[-20.365904109050316, -20.018668050099222, -19.954660686451167, -20.000982800983742, -20.248495884607202]","[0.4799013145112551, 0.5208850130240719, 0.5324828914376631, 0.5293981533394602, 0.5365743213718882]"
44,"[0.9689080144826605, 0.9684848249596071, 0.9669696253412585, 0.9668590605438545, 0.9676904316713596]","[-20.47526180416033, -20.25331326502301, -20.311605266217754, -20.360663681762084, -20.569704752585036]","[0.3145596126443672, 0.28300275792637836, 0.2836879704372873, 0.28427545266615983, 0.26985289779080646]"
45,"[0.9683954429993014, 0.969647925679771, 0.9696793352024066, 0.9695903866831411, 0.970000966016579]","[-20.32652297043501, -20.0542964787242, -20.125177661364447, -20.17698021310264, -20.365706634973602]","[0.27363869555685233, 0.27627409824758903, 0.31365557699666785, 0.31555363540424997, 0.2957814181941067]"
46,"[0.9672768720454822, 0.9684217436254408, 0.9695587417997437, 0.9695623478964757, 0.9692051645442811]","[-20.825078686575903, -20.421692853056197, -20.311719322534458, -20.357101750999576, -20.618186223697258]","[0.42684280024242194, 0.47469585151815824, 0.529425634675453, 0.531624009446106, 0.5105293536081985]"
47,"[0.9602020912546562, 0.9609638953176018, 0.9602937618125018, 0.9602271938901361, 0.9609358813818142]","[-20.195598826058664, -19.954012436943884, -20.097449270584914, -20.152692346130376, -20.306617145229893]","[0.4041008049105608, 0.3775546488560095, 0.41297265150405044, 0.4138361314537558, 0.39660604945445244]"
48,"[0.9291436410610102, 0.9342866517719015, 0.9374980406324606, 0.937529360011802, 0.936617136193809]","[-20.82940677524849, -20.419752289204336, -20.373346531995267, -20.42260110365325, -20.647337849847705]","[0.3594982026233225, 0.3586226051781649, 0.36578554337569424, 0.3659391672122879, 0.36435394120294623]"
49,"[0.9122620670947776, 0.9160985812147154, 0.9176230082214293, 0.9176118021582985, 0.9174393524592109]","[-20.894225620219284, -20.550497004966292, -20.610839722959586, -20.66461828368279, -20.842193648091573]","[0.38287313763983616, 0.32043773326662184, 0.2906278521001022, 0.2902760444360174, 0.2956332004611389]"
50,"[0.9197066265648753, 0.9233024463652056, 0.9259752745108741, 0.9260144855362099, 0.9253826801186193]","[-21.175643815163486, -20.75465891559857, -20.714073105886513, -20.764012892684423, -20.983190704734994]","[0.6064334743063028, 0.6137205809559079, 0.591413131723519, 0.592209732028377, 0.5994698018751393]"
51,"[0.9042246458887447, 0.9056176882666233, 0.906851672924153, 0.90690196795774, 0.9064375811194386]","[-21.16081800007935, -20.796424137807893, -20.864532328006607, -20.919548692103813, -21.087802454862565]","[0.5127868328100841, 0.46048892450498474, 0.3824032785085678, 0.3795452761853942, 0.4104384691741272]"
52,"[0.9004939776588367, 0.9015870108256098, 0.9036949373939065, 0.9038000559508987, 0.9027321484417509]","[-21.034561259759815, -20.605960028508385, -20.598673022802327, -20.650909495169646, -20.849532810733088]","[0.1667004116173505, 0.16734036245912745, 0.16913154917559942, 0.16924346882026983, 0.16827082106335495]"
53,"[0.9115302814922126, 0.9127279984874275, 0.9133142847370599, 0.9133143217556414, 0.9131864659097387]","[-20.830085395291558, -20.47574724517364, -20.560689943633825, -20.61646845938721, -20.777008987517736]","[0.6306756509443698, 0.6061799333591226, 0.5500138321423289, 0.5489120054065109, 0.5688346843234491]"
54,"[0.9430474022087709, 0.9444973195554359, 0.9457540534961383, 0.9457365609761761, 0.9456145950682885]","[-21.1271360968197, -20.7257726976202, -20.740448879233064, -20.793230698153508, -20.98476013437577]","[0.7084164397063918, 0.7085104170907633, 0.686400860480132, 0.685215237049604, 0.6974422222180524]"
55,"[0.9293452605055381, 0.9326533424289728, 0.935294041105631, 0.9353475045468975, 0.9344748523713178]","[-21.865567062973195, -21.450610101904545, -21.43558937619528, -21.48693345133045, -21.69276563764564]","[0.4814174238780723, 0.4824642714658268, 0.47970181170989323, 0.47964350499105013, 0.48028209216578077]"
56,"[0.9099466143274487, 0.9105104961495466, 0.9101752968296722, 0.9101418612549228, 0.9103160014776168]","[-20.967795592673657, -20.5920372752456, -20.617848306265522, -20.670505111266323, -20.861067635020305]","[0.5377436127364063, 0.5126862158455858, 0.4903601602309927, 0.49062893646284605, 0.4925890849288708]"
57,"[0.9112605685875157, 0.91145438671698, 0.9110004274989852, 0.9109602504428698, 0.9113013716458892]","[-20.99496480915279, -20.656436063066497, -20.746624459033743, -20.802175473325377, -20.963292579859957]","[0.3640074654230156, 0.40788348712770317, 0.454218998951927, 0.45622241456498436, 0.43850893119364687]"
58,"[0.9072548405006775, 0.9091767134530757, 0.9105993869283202, 0.9106065548451955, 0.9101551281136445]","[-21.195309593539733, -20.835616781660722, -20.887087765066532, -20.94085168979097, -21.119993700126518]","[0.6603122476069637, 0.601664989699531, 0.5430882912809327, 0.5422908987050731, 0.5554631224823957]"
59,"[0.9034092931856522, 0.9065537791527036, 0.9093939122506189, 0.9094836348171794, 0.908507506635004]","[-21.360331956037403, -21.058888217399282, -21.176714201844558, -21.232710625442785, -21.38631481336039]","[0.6668198832063319, 0.6137065633787346, 0.535247748612604, 0.5318051245663634, 0.5670045885466328]"
