epoch,stft_mean_power,wavelet_mean_power
0,"[7.801096826342576e-08, 1.5855970034704534e-07, 2.1529059504334946e-07, 3.016004327688804e-07, 4.178915347676259e-07]","[3.6657008599510454e-06, 7.38980650824012e-06, 1.0034023544517384e-05, 1.391965825426957e-05, 1.945507455290351e-05]"
1,"[7.747023197973594e-08, 1.610360960993333e-07, 2.1862657241065915e-07, 3.606818257096189e-07, 4.2744092207251055e-07]","[3.003944418661635e-06, 6.12728018014333e-06, 8.319342433538005e-06, 1.2300811729900875e-05, 1.6174550649578707e-05]"
2,"[6.644556984970836e-08, 1.3866118165499024e-07, 1.8825259533004273e-07, 3.068171767176772e-07, 3.679082436558637e-07]","[2.4808723512578805e-06, 5.145983895419406e-06, 6.986836646103474e-06, 1.0555589734847283e-05, 1.3615279157887345e-05]"
3,"[9.246256571416334e-08, 1.8951632066261477e-07, 2.573080466433152e-07, 4.2211193290527804e-07, 5.013497988168321e-07]","[2.840424733624581e-06, 5.964087817262991e-06, 8.096952009801299e-06, 1.3057519430405916e-05, 1.5828351771728162e-05]"
4,"[8.421622631718798e-08, 1.680336454160849e-07, 2.2815529061192954e-07, 3.833026131411243e-07, 4.429742117179032e-07]","[3.1824622338838206e-06, 6.544697147188517e-06, 8.885913636071636e-06, 1.3299576293792007e-05, 1.729266388785981e-05]"
5,"[3.846925951196575e-08, 7.918875501852238e-08, 1.075129158075118e-07, 1.6736597409442014e-07, 2.0968920505193397e-07]","[2.118152560447251e-06, 4.349206418964001e-06, 5.905140073650721e-06, 8.53682238507477e-06, 1.1483788160324037e-05]"
6,"[4.505818995240037e-08, 9.084048825086906e-08, 1.233402882889999e-07, 1.8843909535920437e-07, 2.3946230320259264e-07]","[2.3892563012397615e-06, 4.886143022618015e-06, 6.634196435063274e-06, 9.452261572216453e-06, 1.2891926783973154e-05]"
7,"[3.320750730399484e-08, 6.838495545834358e-08, 9.284701819264587e-08, 1.348322490017326e-07, 1.806388517380874e-07]","[2.0263185168575525e-06, 4.168176839727164e-06, 5.65928231783896e-06, 8.13240988818514e-06, 1.1006738957265564e-05]"
8,"[2.978164615851004e-08, 6.178990191139502e-08, 8.389024943739072e-08, 1.2395652994911062e-07, 1.6339607231523733e-07]","[1.8216096084113255e-06, 3.7588808250567973e-06, 5.103490382226573e-06, 7.382092388987123e-06, 9.930384571085537e-06]"
9,"[3.0050049250358865e-08, 6.281719211556659e-08, 8.528378548315961e-08, 1.2986557546916906e-07, 1.664028551875762e-07]","[1.7139765746093898e-06, 3.528998301147659e-06, 4.791483172824467e-06, 6.912859502149455e-06, 9.320569855955125e-06]"
10,"[3.48120065787496e-08, 7.164721288363649e-08, 9.727658370137207e-08, 1.4568660418094105e-07, 1.894154000497675e-07]","[1.8171655908376674e-06, 3.7696784432705757e-06, 5.118035450369247e-06, 7.558845766364376e-06, 9.968998429157674e-06]"
11,"[3.7358258999491856e-08, 7.804049440080133e-08, 1.0595477352342248e-07, 1.613448867544413e-07, 2.0667607360336014e-07]","[1.869626483482447e-06, 3.8649886944610825e-06, 5.24760402218836e-06, 7.691565651879396e-06, 1.0215565929718296e-05]"
12,"[3.1298502490920326e-08, 6.450355184959508e-08, 8.757950848086297e-08, 1.2753837234680752e-07, 1.7039106983584784e-07]","[1.5965966849031564e-06, 3.2845583087563397e-06, 4.45959437813696e-06, 6.446181984643127e-06, 8.67441951036621e-06]"
