epoch,hjorth_activity,hjorth_mobility,hjorth_complexity,perm_entropy,approx_entropy,sample_entropy,shannon_entropy
0,"[1.31935410e-11 5.38337060e-11 9.92516834e-11 1.89436275e-10
 3.73259533e-10]",[0.14059987 0.14621669 0.14682592 0.14982451 0.14762354],[0.90430049 1.36933573 1.53483364 1.6510455  1.74345152],[0.58297481 0.58453613 0.58455003 0.58542223 0.58476172],[0.52278916 0.52578489 0.52580732 0.5364651  0.52689651],[0.4139652  0.41912919 0.419105   0.43310267 0.41992732],[3.86171947 3.87617591 3.87613898 3.89965994 3.8782653 ]
1,"[2.04938396e-11 8.66361316e-11 1.59676330e-10 5.90142437e-10
 6.12730541e-10]",[0.095721   0.09595504 0.09622172 0.07049013 0.09552969],[1.15077104 1.88888529 2.17979555 3.31250301 2.61475305],[0.58062816 0.58259212 0.58258705 0.5808123  0.58275378],[0.3837121  0.38394885 0.38388123 0.27272057 0.38102757],[0.2874877  0.29434714 0.2943424  0.21624403 0.29467109],[3.23137377 3.25277228 3.25281528 3.01689312 3.25059608]
2,"[1.83592581e-11 7.94364325e-11 1.46414689e-10 4.34268334e-10
 5.59703944e-10]",[0.08492767 0.08654951 0.08680223 0.07476188 0.08670783],[1.13065107 1.95019674 2.30040326 3.12365752 2.85563023],[0.58040893 0.57927248 0.57927068 0.58152782 0.57927861],[0.30979341 0.30798909 0.30796334 0.25392399 0.30700884],[0.23325694 0.2304471  0.23045802 0.18665801 0.22932387],[3.27598064 3.23333792 3.2335138  3.04226173 3.22468604]
3,"[4.22951696e-11 1.76000357e-10 3.24420158e-10 1.00533049e-09
 1.23605294e-09]",[0.06460491 0.06646543 0.06655303 0.05638261 0.06651806],[1.58270277 2.6039916  3.01649736 3.99400535 3.61075664],[0.57173056 0.57151925 0.57152941 0.57064893 0.57109976],[0.23205087 0.23460458 0.23457956 0.1889789  0.23437852],[0.15189927 0.15140506 0.15141777 0.12372542 0.15072926],[3.0683174  3.04783514 3.04803762 2.64764512 3.03540154]
4,"[2.54226108e-11 9.90371363e-11 1.82574491e-10 6.08549009e-10
 6.91480378e-10]",[0.10207755 0.10764001 0.10788826 0.08392144 0.10797515],[1.22497111 1.8331077  2.06018162 2.87185924 2.35259392],[0.57929733 0.57789876 0.57789067 0.57692706 0.57769561],[0.36720668 0.38030925 0.38026656 0.31089175 0.37951323],[0.22763402 0.23714382 0.23714574 0.19322027 0.23687072],[3.53466462 3.57874114 3.57875401 3.24297611 3.57726666]
5,"[3.03618650e-12 1.28798086e-11 2.37414315e-11 6.47245300e-11
 9.03602843e-11]",[0.11566684 0.12897718 0.13116189 0.11861837 0.13289173],[0.47273912 0.81085036 1.00594317 1.41348944 1.42767246],[0.56764252 0.5674064  0.56740681 0.56674222 0.56763729],[0.52732653 0.52892139 0.52891731 0.49294281 0.52871099],[0.45484769 0.4559331  0.45594541 0.42080571 0.45520248],[3.55021973 3.55352194 3.55351755 3.5733175  3.55437912]
6,"[5.48308199e-12 2.08527303e-11 3.84483186e-11 9.57716194e-11
 1.44073004e-10]",[0.1242074  0.13892753 0.14039392 0.12770178 0.1423307 ],[0.61306896 0.99085845 1.19063923 1.54971559 1.53401807],[0.55779278 0.56040901 0.56063315 0.56530342 0.56039613],[0.43716916 0.45779936 0.45774133 0.43438702 0.45936505],[0.35909783 0.37954727 0.37950393 0.35392317 0.38144982],[3.68401492 3.69817428 3.69816235 3.66032509 3.69904375]
7,"[2.49790271e-12 1.05542364e-11 1.94566944e-11 3.99276814e-11
 7.35722319e-11]",[0.10119335 0.11456576 0.11690214 0.12087359 0.11912266],[0.36859711 0.64196504 0.81033279 1.08189598 1.22267668],[0.54394432 0.54590089 0.54592208 0.55256784 0.54642283],[0.50110386 0.50200381 0.502004   0.50884181 0.5024451 ],[0.44281982 0.44389221 0.44386944 0.44994018 0.44408131],[3.2292602  3.24354085 3.24347261 3.3309491  3.24682477]
8,"[2.01372720e-12 8.59824545e-12 1.58500153e-11 3.37967494e-11
 6.00502408e-11]",[0.0961434  0.11211324 0.11488115 0.12055337 0.11764407],[0.35533205 0.61323785 0.77794339 1.05190274 1.20772921],[0.55016958 0.55312085 0.55312117 0.55643282 0.5533686 ],[0.49054467 0.49317688 0.49318965 0.50479164 0.49378131],[0.42872129 0.43097575 0.43095599 0.43990384 0.4313118 ],[3.23087915 3.24480996 3.24473252 3.32572213 3.24792171]
9,"[1.96235300e-12 8.66008663e-12 1.59624454e-11 3.93495600e-11
 6.08835217e-11]",[0.10446943 0.11866689 0.12159097 0.112522   0.12374824],[0.41353043 0.71210604 0.89931578 1.26706225 1.37668786],[0.56036094 0.56180863 0.56180429 0.56598623 0.56202641],[0.49743301 0.48970851 0.48972965 0.46134548 0.48818212],[0.41623386 0.40832358 0.4083306  0.38202802 0.40677421],[3.57767007 3.56617252 3.56622682 3.50814273 3.56390255]
