mean,std,variance,skew,kurtosis,rms,zcr,delta_power,delta_relative_power,theta_power,theta_relative_power,alpha_power,alpha_relative_power,beta_power,beta_relative_power,gamma_power,gamma_relative_power,epoch
"[-1.13566182e-07 -2.25907543e-07 -3.06773743e-07 -3.87399542e-07
 -5.92853589e-07]","[3.63229143e-06 7.33714563e-06 9.96251391e-06 1.37635851e-05
 1.93199258e-05]","[1.31935410e-11 5.38337060e-11 9.92516834e-11 1.89436275e-10
 3.73259533e-10]",[-0.19730038 -0.16609478 -0.16618934 -0.12020994 -0.16182358],[0.76347359 0.74572069 0.74572666 0.86762433 0.74805978],"[3.63406636e-06 7.34062260e-06 9.96723600e-06 1.37690360e-05
 1.93290198e-05]",[0.04127604 0.04127604 0.04127604 0.04270833 0.04127604],"[1.04734426e-12 4.15174493e-12 7.65495972e-12 1.45363871e-11
 2.86834086e-11]",[0.23536678 0.22801761 0.22803472 0.22501336 0.22709136],"[1.11186332e-12 4.43372345e-12 8.17475801e-12 1.53207864e-11
 3.06468719e-11]",[0.24986597 0.24350413 0.24351906 0.23715533 0.24263643],"[1.10913164e-12 4.54437473e-12 8.37817600e-12 1.56976813e-11
 3.15143111e-11]",[0.24925209 0.2495812  0.24957871 0.24298941 0.24950409],"[1.80973593e-12 7.55076117e-12 1.39204237e-11 2.73092275e-11
 5.25171726e-11]",[0.40669696 0.41469468 0.41467754 0.42272822 0.41578727],"[1.36492273e-13 5.78162759e-13 1.06588754e-12 2.18656655e-12
 4.03167951e-12]",[0.03067353 0.03175322 0.03175188 0.03384656 0.03191948],0
"[6.53531888e-08 1.00895937e-07 1.37127839e-07 9.35926122e-09
 2.51767023e-07]","[4.52701221e-06 9.30785322e-06 1.26363100e-05 2.42928474e-05
 2.47533945e-05]","[2.04938396e-11 8.66361316e-11 1.59676330e-10 5.90142437e-10
 6.12730541e-10]","[ 5.80742514e-03  1.00636300e-05  5.61822425e-05 -1.42355636e-01
 -3.02105141e-03]",[3.02676022 2.74393711 2.74503629 3.48321975 2.68348732],"[4.52748392e-06 9.30840006e-06 1.26370540e-05 2.42928492e-05
 2.47546749e-05]",[0.03489583 0.03346354 0.03346354 0.03072917 0.03372396],"[2.68203882e-12 1.07423563e-11 1.98037968e-11 5.26763151e-11
 7.48126781e-11]",[0.52284451 0.51151003 0.51151522 0.55762072 0.51115502],"[1.17812343e-12 4.77520759e-12 8.80359349e-12 1.99439360e-11
 3.31879978e-11]",[0.22966684 0.22737717 0.22738933 0.21112243 0.22675584],"[6.17196859e-13 2.60508889e-12 4.80244192e-12 1.02036527e-11
 1.81693199e-11]",[0.12031817 0.1240444  0.12404299 0.10801378 0.12414125],"[1.24901525e-12 5.08690861e-12 9.37869763e-12 1.78963320e-11
 3.52635545e-11]",[0.24348669 0.24221919 0.24224378 0.18944692 0.24093701],"[9.56692613e-14 3.94153214e-13 7.26620896e-13 1.48354362e-12
 2.73914713e-12]",[0.01865005 0.01876807 0.018768   0.01570449 0.01871513],1
"[-3.84676581e-08 -4.85197878e-08 -6.60049940e-08  7.42083040e-08
 -1.14797785e-07]","[4.28477049e-06 8.91271185e-06 1.21001938e-05 2.08391059e-05
 2.36580630e-05]","[1.83592581e-11 7.94364325e-11 1.46414689e-10 4.34268334e-10
 5.59703944e-10]",[-0.7535044  -1.07854975 -1.0777606  -1.27211078 -1.12055651],[8.58347339 8.236091   8.23853813 4.8043021  8.08800553],"[4.28494316e-06 8.91284391e-06 1.21003738e-05 2.08392380e-05
 2.36583415e-05]",[0.03196615 0.0311849  0.0311849  0.0281901  0.03144531],"[1.80941194e-12 8.22950164e-12 1.51670604e-11 4.22326934e-11
 5.82053736e-11]",[0.50827669 0.52166273 0.52160658 0.57635309 0.52431023],"[8.07036220e-13 3.59744092e-12 6.63081233e-12 1.71172492e-11
 2.53453891e-11]",[0.22670222 0.22803943 0.22803861 0.23360053 0.22830962],"[4.98745927e-13 2.13829039e-12 3.94189613e-12 8.53049447e-12
 1.49458413e-11]",[0.14010128 0.13554483 0.13556476 0.11641637 0.13463117],"[8.71560030e-13 3.72028013e-12 6.85831829e-12 1.44880615e-11
 2.59790213e-11]",[0.24482742 0.23582612 0.23586271 0.19771978 0.23401734],"[8.87734457e-14 3.94842179e-13 7.27763720e-13 1.71756940e-12
 2.77564036e-12]",[0.02493709 0.02502879 0.02502834 0.02343981 0.02500279],2
"[-1.93918204e-08 -4.03773750e-08 -5.48111788e-08 -7.93357481e-08
 -1.06772365e-07]","[6.50347365e-06 1.32665126e-05 1.80116673e-05 3.17069470e-05
 3.51575446e-05]","[4.22951696e-11 1.76000357e-10 3.24420158e-10 1.00533049e-09
 1.23605294e-09]",[-0.25767697 -0.30305728 -0.30303397 -0.13993127 -0.30297101],[0.99820158 1.42625275 1.42493498 2.03801148 1.50018936],"[6.50350257e-06 1.32665741e-05 1.80117507e-05 3.17070463e-05
 3.51577068e-05]",[0.02174479 0.02252604 0.02252604 0.02070312 0.02278646],"[2.89349808e-12 1.29195621e-11 2.38084571e-11 9.30131112e-11
 9.20906876e-11]",[0.54926725 0.55613624 0.55607541 0.65733425 0.55978667],"[1.02825085e-12 4.60104385e-12 8.47913027e-12 3.07550342e-11
 3.27246942e-11]",[0.19519091 0.19805681 0.19804038 0.21734933 0.19892182],"[5.56544116e-13 2.41431414e-12 4.45034617e-12 1.01874580e-11
 1.69153051e-11]",[0.10564771 0.10392671 0.10394324 0.07199593 0.10282215],"[1.22380392e-12 5.27267382e-12 9.71980882e-12 2.06867489e-11
 3.68617581e-11]",[0.23231237 0.22696783 0.22701793 0.14619561 0.22406957],"[6.96557382e-14 2.99032394e-13 5.51233559e-13 1.17849499e-12
 2.08982158e-12]",[0.01322262 0.01287217 0.01287473 0.00832856 0.01270329],3
"[-3.15168666e-09 -1.03939590e-08 -1.40988594e-08 -4.09837385e-08
 -2.91307494e-08]","[5.04208398e-06 9.95174037e-06 1.35120129e-05 2.46687861e-05
 2.62960145e-05]","[2.54226108e-11 9.90371363e-11 1.82574491e-10 6.08549009e-10
 6.91480378e-10]",[-0.1108629   0.04561428  0.04532317 -0.00948658  0.06013062],[3.19495265 3.40596608 3.40541799 3.57382141 3.4400751 ],"[5.04208496e-06 9.95174580e-06 1.35120202e-05 2.46688202e-05
 2.62960306e-05]",[0.03450521 0.03802083 0.03802083 0.02864583 0.03789062],"[2.24771408e-12 8.77106932e-12 1.61689084e-11 5.62353947e-11
 6.13308431e-11]",[0.40607059 0.39045736 0.39044574 0.51020706 0.39140441],"[1.05851534e-12 4.37977528e-12 8.07338833e-12 2.27680546e-11
 3.06631151e-11]",[0.1912307  0.19497229 0.19495565 0.20656781 0.19568749],"[8.81107880e-13 3.68095872e-12 6.78592166e-12 1.34267009e-11
 2.56092025e-11]",[0.15918039 0.16386342 0.16386599 0.12181648 0.16343416],"[1.86514596e-12 7.85003128e-12 1.44719000e-11 2.86597938e-11
 5.46629926e-11]",[0.33695608 0.34945596 0.34946649 0.26002181 0.34885117],"[1.14024637e-13 4.80817614e-13 8.86392982e-13 1.75112347e-12
 3.34877179e-12]",[0.02059962 0.02140432 0.02140456 0.01588742 0.02137137],4
"[-1.64551325e-08 -3.65324687e-08 -4.95983037e-08 -8.40243303e-08
 -9.75951064e-08]","[1.74246564e-06 3.58884502e-06 4.87251799e-06 8.04515569e-06
 9.50580267e-06]","[3.03618650e-12 1.28798086e-11 2.37414315e-11 6.47245300e-11
 9.03602843e-11]",[0.13213508 0.13742748 0.13740381 0.01116521 0.1353486 ],[0.29802763 0.40481377 0.40473487 0.61595688 0.41248244],"[1.74254333e-06 3.58903095e-06 4.87277042e-06 8.04559445e-06
 9.50630365e-06]",[0.04186198 0.0421224  0.0421224  0.04108073 0.04251302],"[2.57056801e-13 1.10483077e-12 2.03654043e-12 4.99432149e-12
 7.74417781e-12]",[0.2062487  0.20757946 0.20756689 0.23327922 0.20823018],"[4.52491494e-13 1.91995241e-12 3.53937372e-12 7.38459583e-12
 1.33946755e-11]",[0.3630551  0.36072737 0.36073765 0.34492628 0.36016422],"[5.25102853e-13 2.22609729e-12 4.10377622e-12 8.22533929e-12
 1.55174566e-11]",[0.42131459 0.41824694 0.4182623  0.38419648 0.41724285],"[3.12886675e-13 1.34547729e-12 2.48022470e-12 5.56911092e-12
 9.41385062e-12]",[0.25104362 0.25279297 0.25278778 0.26012699 0.25312537],"[1.95694418e-14 8.09491743e-14 1.49259132e-13 2.80768072e-13
 5.62113741e-13]",[0.01570148 0.01520901 0.01521269 0.01311437 0.01511446],5
"[1.60376322e-08 4.09763220e-08 5.56117886e-08 1.21290869e-07
 1.11628875e-07]","[2.34159817e-06 4.56647898e-06 6.20067082e-06 9.78629754e-06
 1.20030414e-05]","[5.48308199e-12 2.08527303e-11 3.84483186e-11 9.57716194e-11
 1.44073004e-10]",[-0.36732588 -0.27467875 -0.27486194 -0.36601987 -0.26771058],[4.05491622 3.8032686  3.80268171 4.22724145 3.83203478],"[2.34165309e-06 4.56666283e-06 6.20092019e-06 9.78704914e-06
 1.20035605e-05]",[0.03841146 0.03919271 0.03919271 0.03763021 0.03932292],"[4.80610244e-13 1.81690881e-12 3.35010862e-12 8.02040721e-12
 1.25327335e-11]",[0.25190527 0.23386055 0.23389196 0.26763149 0.23233291],"[5.22828034e-13 2.14174393e-12 3.94850650e-12 7.98305635e-12
 1.48719237e-11]",[0.27403314 0.27567119 0.27566984 0.26638514 0.27569702],"[6.50231986e-13 2.72330847e-12 5.02048010e-12 9.76853635e-12
 1.89464654e-11]",[0.34081018 0.35052635 0.350511   0.32596449 0.35123123],"[5.97823246e-13 2.53001155e-12 4.66398587e-12 9.59037292e-12
 1.76399867e-11]",[0.31334085 0.32564644 0.32562192 0.32001939 0.32701162],"[3.97255564e-14 1.64732716e-13 3.03723608e-13 5.69666571e-13
 1.14410068e-12]",[0.02082161 0.02120331 0.02120484 0.0190091  0.02120944],6
"[1.65845960e-09 5.53730369e-09 7.50724104e-09 2.20728891e-08
 1.55293322e-08]","[1.58047547e-06 3.24872843e-06 4.41097431e-06 6.31883545e-06
 8.57742571e-06]","[2.49790271e-12 1.05542364e-11 1.94566944e-11 3.99276814e-11
 7.35722319e-11]",[0.00461834 0.02065998 0.02062776 0.06855422 0.02338672],[-0.09687276 -0.11347627 -0.11332734 -0.16427751 -0.11628889],"[1.58047634e-06 3.24873315e-06 4.41098070e-06 6.31887400e-06
 8.57743977e-06]",[0.03821615 0.03821615 0.03834635 0.03821615 0.03821615],"[1.85593018e-13 8.06805523e-13 1.48723278e-12 3.34299715e-12
 5.65205403e-12]",[0.1799971  0.18524932 0.18523532 0.20370813 0.18618921],"[3.78146303e-13 1.60202422e-12 2.95333150e-12 5.99615955e-12
 1.11687477e-11]",[0.36674461 0.36783821 0.3678384  0.36538064 0.3679194 ],"[5.83692909e-13 2.43206070e-12 4.48372583e-12 8.52687358e-12
 1.69037115e-11]",[0.56609368 0.55842155 0.55844951 0.51959167 0.55683982],"[1.66687787e-13 7.09094675e-13 1.30716046e-12 2.93149657e-12
 4.95515501e-12]",[0.1616619  0.16281409 0.16280726 0.17863302 0.16323206],"[4.64497708e-15 2.03298138e-14 3.74570566e-14 8.83220111e-14
 1.42622501e-13]",[0.00450492 0.0046679  0.00466529 0.00538197 0.00469825],7
"[-1.94113305e-08 -4.21356329e-08 -5.72057123e-08 -9.20838082e-08
 -1.12180290e-07]","[1.41905856e-06 2.93227650e-06 3.98120777e-06 5.81349717e-06
 7.74920905e-06]","[2.01372720e-12 8.59824545e-12 1.58500153e-11 3.37967494e-11
 6.00502408e-11]",[0.30367983 0.32776418 0.32772588 0.3807     0.33145427],[0.57924186 0.61396715 0.61389067 0.63837979 0.61842387],"[1.41919132e-06 2.93257922e-06 3.98161874e-06 5.81422641e-06
 7.75002098e-06]",[0.03665365 0.0374349  0.0374349  0.03795573 0.03730469],"[1.80934997e-13 7.73701417e-13 1.42624097e-12 3.07552557e-12
 5.40562132e-12]",[0.21644333 0.21676662 0.21676804 0.22116019 0.21688883],"[3.50625918e-13 1.49437620e-12 2.75473794e-12 5.67742423e-12
 1.04280087e-11]",[0.41943594 0.41867686 0.4186804  0.40826201 0.41840123],"[4.22789713e-13 1.78534103e-12 3.29125005e-12 6.52147571e-12
 1.24365789e-11]",[0.50576181 0.50019598 0.5002225  0.46895751 0.49899076],"[1.47642299e-13 6.46368155e-13 1.19136581e-12 2.84833557e-12
 4.53685994e-12]",[0.17661697 0.18109188 0.1810704  0.20482302 0.18203167],"[3.55668615e-15 1.54418830e-14 2.84623922e-14 6.69289923e-14
 1.08247244e-13]",[0.00425468 0.00432633 0.00432587 0.00481285 0.00434319],8
"[1.80482202e-08 4.06014024e-08 5.51169918e-08 9.60355830e-08
 1.08670893e-07]","[1.40084011e-06 2.94280251e-06 3.99530292e-06 6.27292277e-06
 7.80278935e-06]","[1.96235300e-12 8.66008663e-12 1.59624454e-11 3.93495600e-11
 6.08835217e-11]",[-0.08950612 -0.125021   -0.12500778 -0.21140658 -0.13060021],[0.53831865 0.67382692 0.67346432 1.12645616 0.69770996],"[1.40095637e-06 2.94308259e-06 3.99568309e-06 6.27365785e-06
 7.80354605e-06]",[0.03697917 0.03671875 0.03671875 0.03483073 0.03645833],"[2.08996713e-13 9.21552908e-13 1.69860410e-12 4.36379930e-12
 6.48419428e-12]",[0.27461852 0.28313321 0.28310057 0.3306261  0.28502128],"[2.85064117e-13 1.21750018e-12 2.24436592e-12 4.79940929e-12
 8.50392417e-12]",[0.37456994 0.37405854 0.37406083 0.36363038 0.37380117],"[2.59335509e-13 1.09034282e-12 2.01007732e-12 3.96219274e-12
 7.59084282e-12]",[0.34076294 0.33499136 0.33501275 0.30019812 0.33366548],"[2.01493267e-13 8.45773516e-13 1.55919406e-12 3.15831601e-12
 5.88968614e-12]",[0.26475911 0.25985114 0.25986557 0.23929187 0.2588889 ],"[8.93565214e-15 3.75942165e-14 6.93245276e-14 1.40405670e-13
 2.61914490e-13]",[0.01174131 0.01155026 0.01155408 0.01063793 0.0115128 ],9
