epoch,higuchi_fd,lyapunov_exponent,hurst_exponent
0,"[0.8775284412027599, 0.8766629690497776, 0.876665041455773, 0.8739257705795218, 0.8765196179831453]","[-23.96962190631653, -22.5637693964387, -21.952009681129624, -21.30584790604672, -20.62743700062308]","[0.19203679264024975, 0.1939601432402202, 0.1939508597390139, 0.2048739109595632, 0.194299659252818]"
1,"[0.8790605320699509, 0.8787536620704465, 0.8787545501172702, 0.8799938526637819, 0.8787636045323538]","[-23.519257358821285, -22.077220113406657, -21.46579097649943, -20.155247106392682, -20.120854520550868]","[0.5345097315418537, 0.5735031035010427, 0.5732921141190059, 0.9037896259621462, 0.5848722608408531]"
2,"[0.8797010611508944, 0.8792589004627825, 0.8792607100792277, 0.8793507792353829, 0.8792208973464278]","[-23.62867084776927, -22.16334509350815, -21.55186130987218, -20.462441365685276, -20.210781654569704]","[0.3954927520020447, 0.3686006777360996, 0.3686870346749257, 0.37051950498954095, 0.3622239357518123]"
3,"[0.8936172217163024, 0.8935492404333901, 0.8935478524589479, 0.8965240827753997, 0.8935750245658801]","[-22.790450764740662, -21.364747672956973, -20.7531943891473, -19.621294097010306, -19.415544380410843]","[0.7912050715651215, 0.7859662378786647, 0.7860225248464593, 0.7008498593499617, 0.7827789655967493]"
4,"[0.8814188908726968, 0.8817078155836022, 0.8817060519440977, 0.8837961810763376, 0.8817921052784485]","[-23.30377935566571, -21.944499706218487, -21.332836511520078, -20.12582441374875, -20.00114056220726]","[0.916114487284913, 0.8994597589586038, 0.8994361336876352, 0.9421429984419141, 0.9007405119030237]"
5,"[0.9061584054718728, 0.9055660070239137, 0.9055685211299376, 0.903661582430595, 0.9054684162768846]","[-25.433592750742587, -23.988789103720176, -23.377228580789275, -22.372591114189486, -22.040632954093955]","[0.38586755186414673, 0.416522188349361, 0.4164341249210127, 0.49570443661234925, 0.4223961031849042]"
6,"[0.911239861693851, 0.9102970209263729, 0.910302265787778, 0.9060722778075275, 0.9101109975805933]","[-24.842766046493477, -23.508351010268715, -22.896518406896, -21.981627020666746, -21.57564646336295]","[0.4202530401295706, 0.41972823608024573, 0.4197635429342323, 0.39503064969068546, 0.41686644472720596]"
7,"[0.9344358154235051, 0.9333544776793286, 0.9333601173344535, 0.9263872387673909, 0.9331133873509357]","[-25.626568055971553, -24.185504650518695, -23.573840508764288, -22.855340771138863, -22.24377245042644]","[0.22299690190193153, 0.24061357234352954, 0.24053110872928335, 0.2968642920332145, 0.2435035698556029]"
8,"[0.929585216779355, 0.928488155887123, 0.9284964856856088, 0.9220891629311335, 0.9282332485678723]","[-25.84164362860171, -24.390210936951195, -23.778598128898054, -23.02203413378191, -22.44661471028111]","[0.44012542060108945, 0.4488291561335837, 0.4487808442498602, 0.4678381275216659, 0.45012418366129586]"
9,"[0.9112368210788582, 0.9104472251519679, 0.91044119776305, 0.9072937662454649, 0.9102528753809483]","[-25.86925251988361, -24.384127340238038, -23.77261523513156, -22.868477227335738, -22.433789258744675]","[0.2813561935502034, 0.289714194053106, 0.28968557342558043, 0.32670336903166564, 0.2910767978172547]"
10,"[0.9093666191967084, 0.9090577895837663, 0.9090541085406123, 0.9065905769094912, 0.908953431398564]","[-25.465115651265737, -24.03224309133068, -23.42060397409308, -22.622391523952, -22.089967276468826]","[0.5412933920114207, 0.4800796475344422, 0.48025386088626104, 0.32098116750068095, 0.46902994564005396]"
11,"[0.8999768111682187, 0.8997019945174184, 0.8996979980665752, 0.8987914057386793, 0.8996607989033751]","[-25.442110507582434, -23.946362116755022, -23.33491687286371, -22.334390216136928, -21.99269581705556]","[0.40520186383887064, 0.4021413048741473, 0.402155250691021, 0.3851925383298073, 0.40117769682435983]"
12,"[0.9020290217419418, 0.9017178225292742, 0.9017132142512716, 0.897882883516892, 0.9015966876578834]","[-25.725640976340763, -24.27900886781971, -23.66736406309399, -22.925484613506416, -22.336203554012585]","[0.1244482059356987, 0.126229743988025, 0.12621834641267188, 0.13188421621960864, 0.1265199971630384]"
13,"[0.8984591253601812, 0.8978594581939142, 0.897868293008766, 0.8953031084452155, 0.8977200146129575]","[-25.061043846759848, -23.663968476602935, -23.05229633574105, -22.085505629544805, -21.722297161858254]","[0.7464447585506265, 0.6899695323754598, 0.6901383355907895, 0.5548904813009419, 0.6802544611479379]"
14,"[0.9114853752551191, 0.9109538282056429, 0.9109656979309982, 0.90794562621929, 0.9108622279667934]","[-25.80834877407436, -24.358917639519415, -23.74729986197867, -22.98776506344196, -22.415471062665638]","[0.45864887414584626, 0.44490065495841485, 0.44492403580327244, 0.39670531182129015, 0.44260732205903525]"
15,"[0.9113483376594735, 0.9095607678500633, 0.9095662057187193, 0.9027226509994025, 0.9092483766720663]","[-25.825648412057323, -24.379119958627275, -23.76745120795434, -23.032736473176275, -22.43644773426936]","[0.5630551282047929, 0.5418566830762996, 0.5419108425535673, 0.46799143089489487, 0.5385435374653582]"
16,"[0.9158841445735685, 0.9138137953236818, 0.9138210204469719, 0.9070355449303102, 0.9134997534437057]","[-25.823643665688614, -24.375735297856128, -23.764113302869145, -23.009983131494426, -22.432569080188223]","[0.30250612135381166, 0.2957988983632962, 0.2958504920114304, 0.298842063892992, 0.29460305367301093]"
17,"[0.9113077754307746, 0.9102433068659466, 0.9102441706583806, 0.904667349977416, 0.9099996156471344]","[-25.02160546935749, -23.718001121055593, -23.105943046811525, -22.68302781684895, -21.798046266505413]","[0.7642909417933214, 0.7296358342625565, 0.7297473448603323, 0.6364994842266234, 0.7235026246711783]"
18,"[0.9127176620292977, 0.9117902851371565, 0.9117906882949081, 0.9063676213823713, 0.9115750990949202]","[-25.729122614446457, -24.33061710240648, -23.718853792472103, -23.05294465701609, -22.394828704918012]","[0.11492247302069802, 0.12492680357200717, 0.12489280234314348, 0.1899668235863746, 0.12686687166107946]"
19,"[0.9144380413295701, 0.9139766832293028, 0.9139768935529542, 0.9117163853491788, 0.9138526518124807]","[-25.947597570103316, -24.489177142989167, -23.877604522421937, -23.072562485523523, -22.543868679639157]","[0.41977736474188904, 0.39777637796431997, 0.3978522658207466, 0.3185322826263079, 0.39327631024169063]"
20,"[0.9136905662829033, 0.9135784785519604, 0.9135771316902974, 0.912016079601227, 0.9135110479287253]","[-25.786504390741182, -24.32995092656754, -23.718337544525735, -22.93004995590518, -22.38515515669874]","[0.48885826536732685, 0.4941661898562908, 0.49417263825370167, 0.49713727019614706, 0.49486456971573983]"
21,"[0.920489761304043, 0.9181718954438058, 0.9181828383890059, 0.9089819621051316, 0.9176798055839736]","[-25.755216130084452, -24.3057517861126, -23.694119567672672, -22.935146314866586, -22.362298554560912]","[0.34740078322072915, 0.3446116037232008, 0.34463562680226806, 0.3184078796932561, 0.34329411173358165]"
22,"[0.9220925737916091, 0.921674668361233, 0.9216852732069183, 0.919771295140582, 0.921600331477516]","[-25.624436610956543, -24.171281629769723, -23.55965417575783, -22.7669903390315, -22.226769304383854]","[0.3585376298150526, 0.36787458936890216, 0.3678133418822179, 0.45252660258832667, 0.36948160921452705]"
23,"[0.9285741671443135, 0.9273303371394256, 0.9273337074317145, 0.9233382542928942, 0.9271231149620666]","[-25.498011947505383, -24.043190048214214, -23.431570438721934, -22.639904792986282, -22.098513509429953]","[0.41240379784090714, 0.40323480267644873, 0.4032653673982911, 0.39136586898138664, 0.4006084625367085]"
24,"[0.945271004714302, 0.9444399054864827, 0.9444429067059307, 0.9402633372216335, 0.9442537036726912]","[-25.02274766106584, -23.568030395989734, -22.956435615316053, -22.183945018137095, -21.623747862085292]","[0.3212988131570339, 0.3155796778398197, 0.3155888055162242, 0.3165412274797409, 0.3152890113611103]"
25,"[0.9498786692252711, 0.9495311481194886, 0.9495278998265329, 0.9471737147227539, 0.949454474300177]","[-24.787688719531378, -23.348617430685316, -22.736952541196406, -21.9980170487646, -21.406738804151686]","[0.39282590331596096, 0.3883219121802583, 0.38834733149214157, 0.39113927440684726, 0.3876544953087586]"
26,"[0.9497587569167248, 0.9487923107668068, 0.948790127424634, 0.9457101961967319, 0.9486458846388647]","[-24.99854726650294, -23.542177236953314, -22.93056048868076, -22.14519232709888, -21.59743975809042]","[0.3075524463628668, 0.3060122268561192, 0.3059968394775025, 0.31100392560109796, 0.30566313589905386]"
27,"[0.9538508304516612, 0.9536428088603229, 0.9536412900834693, 0.9519801169932072, 0.9536059219474203]","[-24.78044883869735, -23.352369378880432, -22.74067788791984, -22.048626824131528, -21.412616794461528]","[0.3409925793569569, 0.34639136368441575, 0.3463811664036966, 0.34556276889635124, 0.347313960318228]"
28,"[0.9554731506617204, 0.9544520279641784, 0.9544481504863164, 0.950253445108987, 0.95423406688535]","[-24.604551264150228, -23.16658462510128, -22.5549157917727, -21.853011907497432, -21.225500189287086]","[0.454919779643389, 0.43983378289674047, 0.43984333864270697, 0.42782785111348653, 0.43935876046841554]"
29,"[0.956826047425517, 0.9562121011653423, 0.9562131727011369, 0.9532631349887701, 0.9560891219049492]","[-24.745119857934796, -23.303737344203547, -22.69210195138708, -21.962720889952042, -21.36178826327551]","[0.38060877466463855, 0.3718502179081704, 0.37187285045186536, 0.3595179423005853, 0.3700583630777472]"
30,"[0.9585246369649982, 0.9579945240402117, 0.9580010424354891, 0.9548699475524938, 0.9578669667738404]","[-24.304650312300392, -22.86120988365751, -22.24955520489743, -21.530140138068507, -20.919183310888876]","[0.35925257878107447, 0.35407344036540855, 0.35408796159103284, 0.3121120481752629, 0.35320487403934947]"
31,"[0.9578955889113207, 0.9571894655358538, 0.957189335659638, 0.9532407807985709, 0.957032019519516]","[-24.72162454613045, -23.286879770093527, -22.675197754188154, -21.962611091346744, -21.34597086922168]","[0.3725341100306481, 0.3557714857080411, 0.3558244302706264, 0.3002210806733813, 0.3530340239527227]"
32,"[0.9592012164966685, 0.9581918387292115, 0.9581961991686698, 0.953813587421655, 0.9579954776662075]","[-24.831678104890237, -23.403137468430423, -22.791441326172883, -22.082109272712245, -21.46300851731244]","[0.21097866776267502, 0.2112336383129862, 0.2112090458348723, 0.23945552750573224, 0.21265244131499134]"
33,"[0.958767996098088, 0.9577152911634097, 0.957722014341243, 0.9533433735127489, 0.9575006937289083]","[-24.814597255422544, -23.376843190251186, -22.765168094229548, -22.058540642647927, -21.435695569612538]","[0.29542824362142783, 0.2881930038427802, 0.28820088135122485, 0.27355222940740337, 0.28745304378252]"
34,"[0.9614690611656318, 0.9603802516411293, 0.9603905269935729, 0.955626753293613, 0.9601786534077728]","[-24.613806443484076, -23.16698184596613, -22.555335293015403, -21.809820909701422, -21.224074375365447]","[0.4618609359781056, 0.471303027699246, 0.47125618656623186, 0.4965961083049254, 0.4728572944223112]"
35,"[0.9633964175762019, 0.9628019455716892, 0.9628121926444922, 0.9596375009000624, 0.9626885233959566]","[-24.442190848706385, -22.99996730952009, -22.388320585277736, -21.66358452754126, -21.057995397099265]","[0.29646335601187235, 0.3046031484824902, 0.30455712360881465, 0.32197034483685033, 0.3065737299744989]"
36,"[0.962189782761681, 0.9616962641599455, 0.9616947828125232, 0.9592386405561955, 0.9615979788015797]","[-24.27818591382265, -22.823350851160907, -22.21173979782357, -21.449568813501315, -20.879242940336106]","[0.5914095995729808, 0.5962421369094669, 0.5962299536939014, 0.5990168706836525, 0.5974298954258613]"
